Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:04:00,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Berlin (GER),27 SEP 2015,1262
2,2:04:47,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,,London (GBR),26 APR 2015,1248
3,2:05:21,,Eliud KIPTANUI,06 JUN 1989,KEN,2,,Berlin (GER),27 SEP 2015,1239
4,2:05:28,,Lemi BERHANU,13 SEP 1994,ETH,1,,Dubai (UAE),23 JAN 2015,1237
5,2:05:49,,Mark KORIR,06 AUG 1988,KEN,1,,Paris (FRA),12 APR 2015,1231
6,2:05:50,,Dennis KIMETTO,22 APR 1984,KEN,3,,London (GBR),26 APR 2015,1230
7,2:05:52,,Lelisa DESISA,14 JAN 1990,ETH,2,,Dubai (UAE),23 JAN 2015,1230
7,2:05:52,,Stephen CHEBOGUT,09 JAN 1985,KEN,1,,Eindhoven (NED),11 OCT 2015,1230
9,2:05:58,,Deribe ROBI,26 SEP 1990,ETH,2,,Eindhoven (NED),11 OCT 2015,1228
10,2:06:00,,Endeshaw NEGESSE,13 MAR 1988,ETH,1,,Tokyo (JPN),22 FEB 2015,1227
10,2:06:00,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,3,,Eindhoven (NED),11 OCT 2015,1227
12,2:06:11,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,,Seoul (KOR),15 MAR 2015,1224
13,2:06:13,,John Nzau MWANGANGI,11 JAN 1990,KEN,1,,Valencia (ESP),15 NOV 2015,1224
14,2:06:19,,Moses MOSOP,07 JUL 1985,KEN,1,,Xiamen (CHN),03 JAN 2015,1222
14,2:06:19,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,1,,Amsterdam (NED),18 OCT 2015,1222
16,2:06:26,,Sisay LEMMA,12 DEC 1990,ETH,1,,Frankfurt (GER),25 OCT 2015,1220
17,2:06:33,,Stephen KIPROTICH,27 FEB 1989,UGA,2,,Tokyo (JPN),22 FEB 2015,1218
17,2:06:33,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,2,,Valencia (ESP),15 NOV 2015,1218
19,2:06:34,,Dickson CHUMBA,27 OCT 1986,KEN,3,,Tokyo (JPN),22 FEB 2015,1218
19,2:06:34,,Lani RUTTO,29 MAR 1989,KEN,2,,Frankfurt (GER),25 OCT 2015,1218
21,2:06:35,,Feyisa LILESA,01 FEB 1990,ETH,4,,Dubai (UAE),23 JAN 2015,1218
22,2:06:41,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,4,,London (GBR),26 APR 2015,1216
23,2:06:47,,Abera KUMA,31 AUG 1990,ETH,1,,Rotterdam (NED),12 APR 2015,1214
24,2:06:48,,Alfers LAGAT,07 AUG 1986,KEN,3,,Frankfurt (GER),25 OCT 2015,1214
25,2:06:54,,Tilahun REGASSA,18 JAN 1990,ETH,2,,Xiamen (CHN),03 JAN 2015,1212
26,2:06:59,,Filex Kipchirchir KIPROTICH,07 DEC 1988,KEN,2,,Seoul (KOR),15 MAR 2015,1211
27,2:07:07,,Samuel Kiplimo KOSGEI,20 JAN 1986,KEN,1,,Košice (SVK),04 OCT 2015,1209
27,2:07:07,,Felix Kipchirchir KANDIE,10 APR 1987,KEN,3,,Valencia (ESP),15 NOV 2015,1209
29,2:07:09,,Bazu WORKU HAYLA,15 SEP 1990,ETH,6,,Dubai (UAE),23 JAN 2015,1208
30,2:07:14,,Paul LONYANGATA,12 DEC 1992,KEN,1,,Shanghai (CHN),08 NOV 2015,1207
31,2:07:16,,Abayneh AYELE,04 NOV 1987,ETH,4,,Eindhoven (NED),11 OCT 2015,1206
32,2:07:17,,Lucas Kimeli ROTICH,16 APR 1990,KEN,1,,Hamburg (GER),26 APR 2015,1206
33,2:07:18,,Ezekiel CHEBII,03 JAN 1991,KEN,2,,Amsterdam (NED),18 OCT 2015,1205
34,2:07:20,,Shumi DECHASA,28 MAY 1989,BRN,4,,Tokyo (JPN),22 FEB 2015,1205
34,2:07:20,,Lukas Lokobe KANDA,01 JAN 1983,KEN,2,,Paris (FRA),12 APR 2015,1205
36,2:07:22,,Peter Kimeli SOME,05 JUN 1990,KEN,5,,Tokyo (JPN),22 FEB 2015,1204
37,2:07:25,,Markos GENETI,07 JUN 1984,ETH,6,,Tokyo (JPN),22 FEB 2015,1203
38,2:07:26,,Girmay Birhanu GEBRU,27 JAN 1987,ETH,1,,Daegu (KOR),05 APR 2015,1203
39,2:07:33,,Seboka Dibaba TOLA,10 NOV 1987,ETH,3,,Paris (FRA),12 APR 2015,1201
40,2:07:39,,Masato IMAI,02 APR 1984,JPN,7,,Tokyo (JPN),22 FEB 2015,1200
41,2:07:40,,Stephen MOKOKA,31 JAN 1985,RSA,2,,Shanghai (CHN),08 NOV 2015,1199
42,2:07:42,,Kaan Kigen ÖZBILEN,15 JAN 1986,KEN,4,,Paris (FRA),12 APR 2015,1199
