Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:36,,Bashir ABDI,10 FEB 1989,BEL,1,,Rotterdam (NED),24 OCT 2021,1269
2,2:03:39,,Tamirat TOLA,11 AUG 1991,ETH,1,,Amsterdam (NED),17 OCT 2021,1268
3,2:03:55,,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,1,,Milano (ITA),16 MAY 2021,1263
4,2:04:01,,Sisay LEMMA,12 DEC 1990,ETH,1,,London (GBR),03 OCT 2021,1262
5,2:04:04,,Marius KIPSEREM,17 MAY 1988,KEN,2,,Rotterdam (NED),24 OCT 2021,1261
6,2:04:09,,Bernard Kiprop KOECH,31 JAN 1988,KEN,2,,Amsterdam (NED),17 OCT 2021,1259
7,2:04:12,,Leul GEBRESILASE,20 SEP 1992,ETH,3,,Amsterdam (NED),17 OCT 2021,1258
8,2:04:17,,Barnabas KIPTUM,08 DEC 1986,KEN,2,,Milano (ITA),16 MAY 2021,1257
9,2:04:21,,Elisha ROTICH,12 APR 1990,KEN,1,,Paris (FRA),17 OCT 2021,1256
10,2:04:27,,Dawit WOLDE,19 MAY 1991,ETH,3,,Rotterdam (NED),24 OCT 2021,1254
11,2:04:28,,Vincent KIPCHUMBA,03 AUG 1990,KEN,2,,London (GBR),03 OCT 2021,1254
12,2:04:29,,Seifu TURA,19 JUN 1997,ETH,3,,Milano (ITA),16 MAY 2021,1253
13,2:04:30,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Enschede (NED),18 APR 2021,1253
14,2:04:32,,Jonathan Kipleting KORIR,20 NOV 1986,KEN,4,,Amsterdam (NED),17 OCT 2021,1253
15,2:04:35,,Hiskel TEWELDE,15 SEP 1986,ERI,5,,Amsterdam (NED),17 OCT 2021,1252
16,2:04:41,,Mosinet GEREMEW,12 FEB 1992,ETH,3,,London (GBR),03 OCT 2021,1250
16,2:04:41,,Hailemaryam KIROS,05 FEB 1997,ETH,2,,Paris (FRA),17 OCT 2021,1250
18,2:04:44,,Hillary KIPSAMBU,04 FEB 1985,KEN,3,,Paris (FRA),17 OCT 2021,1249
19,2:04:48,,Barselius KIPYEGO,22 JUL 1993,KEN,4,,Paris (FRA),17 OCT 2021,1248
20,2:04:53,,Abayneh DEGU,01 DEC 1998,ETH,5,,Paris (FRA),17 OCT 2021,1247
21,2:04:55,,Gabriel Gerald GEAY,10 SEP 1996,TAN,5,,Milano (ITA),16 MAY 2021,1246
22,2:04:56,,Kengo SUZUKI,11 JUN 1995,JPN,1,,Otsu (JPN),28 FEB 2021,1246
23,2:05:01,,Nicholas KIRWA,16 JUN 1994,KEN,6,,Milano (ITA),16 MAY 2021,1244
24,2:05:09,,Morris Munene GACHAGA,07 APR 1995,KEN,6,,Paris (FRA),17 OCT 2021,1242
25,2:05:11,,Tsegaye GETACHEW,30 NOV 1996,ETH,7,,Paris (FRA),17 OCT 2021,1241
26,2:05:12,,Lawrence CHERONO,07 AUG 1988,KEN,1,,Valencia (ESP),05 DEC 2021,1241
27,2:05:16,,Chalu DESO,14 DEC 1997,ETH,2,,Valencia (ESP),05 DEC 2021,1240
28,2:05:19,,Joel Kemboi KIMURER,21 JAN 1988,KEN,7,,Milano (ITA),16 MAY 2021,1239
28,2:05:19,,Philemon Kacheran LOKEDI,04 JUL 1992,KEN,3,,Valencia (ESP),05 DEC 2021,1239
30,2:05:20,,Moses KIBET,04 FEB 1997,KEN,6,,Amsterdam (NED),17 OCT 2021,1239
31,2:05:22,,Afewerki BERHANE,06 MAY 1996,ERI,7,,Amsterdam (NED),17 OCT 2021,1238
31,2:05:22,,Titus KIPRUTO,25 JUN 1998,KEN,4,,Rotterdam (NED),24 OCT 2021,1238
33,2:05:23,,Geoffrey KAMWOROR,22 NOV 1992,KEN,4,,Valencia (ESP),05 DEC 2021,1238
34,2:05:27,,Abebe NEGEWO,20 MAY 1984,ETH,5,,Valencia (ESP),05 DEC 2021,1237
35,2:05:28,,Goitom KIFLE,03 DEC 1993,ERI,6,,Valencia (ESP),05 DEC 2021,1237
36,2:05:43,,Evans CHEBET,10 NOV 1988,KEN,4,,London (GBR),03 OCT 2021,1232
37,2:05:45,,Guye Idemo ADOLA,20 OCT 1990,ETH,1,,Berlin (GER),26 SEP 2021,1232
38,2:05:47,,Eric Kiprono KIPTANUI,19 APR 1990,KEN,1,,Siena (ITA),11 APR 2021,1231
39,2:05:51,,Emmanuel SAINA,06 SEP 1992,KEN,5,,Rotterdam (NED),24 OCT 2021,1230
40,2:05:52,,Andualem BELAY,05 APR 1992,ETH,1,,Lisboa (POR),17 OCT 2021,1230
41,2:05:54,,Kinde ATANAW,15 APR 1993,ETH,7,,Valencia (ESP),05 DEC 2021,1229
42,2:05:57,,Abdi FUFA,27 SEP 1995,ETH,2,,Siena (ITA),11 APR 2021,1228
43,2:06:03,,Samuel Kiplimo KOSGEI,20 JAN 1986,KEN,1,,Barcelona (ESP),07 NOV 2021,1227
44,2:06:05,,Kenneth KETER,04 AUG 1996,KEN,8,,Amsterdam (NED),17 OCT 2021,1226
45,2:06:10,,Birhanu LEGESE,11 SEP 1994,ETH,5,,London (GBR),03 OCT 2021,1225
