Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:05:56,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,,Berlin (GER),24 SEP 2006,1229
2,2:06:38,,Sammy Kipchoge KORIR,12 DEC 1971,KEN,1,,Rotterdam (NED),09 APR 2006,1217
3,2:06:39,,Felix LIMO,22 AUG 1980,KEN,1,,London (GBR),23 APR 2006,1216
4,2:06:41,,Martin Kiptolo LEL,29 OCT 1978,KEN,2,,London (GBR),23 APR 2006,1216
5,2:06:44,,Paul Kiprop KIRUI,05 FEB 1980,KEN,2,,Rotterdam (NED),09 APR 2006,1215
6,2:06:52,,Charles Kibiwott SERONEI,08 AUG 1974,KEN,3,,Rotterdam (NED),09 APR 2006,1213
6,2:06:52,,Julio REY,13 JAN 1972,ESP,1,,Hamburg (GER),23 APR 2006,1213
8,2:06:55,,Hendrick RAMAALA,02 FEB 1972,RSA,3,,London (GBR),23 APR 2006,1212
9,2:07:04,,Khalid KHANNOUCHI,22 DEC 1971,USA,4,,London (GBR),23 APR 2006,1209
10,2:07:15,,Dmytri BARANOVSKIY,28 JUL 1979,UKR,2,,Fukuoka (JPN),03 DEC 2006,1206
11,2:07:19,,Jaouad GHARIB,22 MAY 1972,MAR,3,,Fukuoka (JPN),03 DEC 2006,1205
12,2:07:22,,Stefano BALDINI,25 MAY 1971,ITA,5,,London (GBR),23 APR 2006,1204
13,2:07:34,,Rodgers ROP,16 FEB 1976,KEN,6,,London (GBR),23 APR 2006,1201
14,2:07:35,,Robert Kipkoech CHERUIYOT,26 SEP 1978,KEN,1,,"Chicago, IL (USA)",22 OCT 2006,1201
15,2:07:37,,Robert CHEBOROR,09 SEP 1978,KEN,2,,Hamburg (GER),23 APR 2006,1200
16,2:07:40,,Daniel NJENGA,07 MAY 1976,KEN,2,,"Chicago, IL (USA)",22 OCT 2006,1199
17,2:07:51,,Jimmy Mwangangi MUINDI,14 AUG 1973,KEN,3,,"Chicago, IL (USA)",22 OCT 2006,1196
18,2:07:58,,Benson Kipchumba CHERONO,30 JUN 1984,KEN,1,,Milano (ITA),08 OCT 2006,1194
19,2:07:59,,Hicham CHATT,18 FEB 1969,MAR,7,,London (GBR),23 APR 2006,1194
20,2:08:03,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,1,,Paris (FRA),09 APR 2006,1193
21,2:08:13,,Jason MBOTE,05 JAN 1977,KEN,1,,Seoul (KOR),05 NOV 2006,1190
22,2:08:18,,Philip SINGOEI,31 DEC 1975,KEN,1,,Eindhoven (NED),08 OCT 2006,1189
23,2:08:20,,Lahoussine MRIKIK,07 JUN 1972,MAR,1,,Wien (AUT),07 MAY 2006,1188
24,2:08:33,,Benson Kipchumba BARUS,04 JUL 1980,KEN,2,,Milano (ITA),08 OCT 2006,1184
25,2:08:38,,David Mandago KIPKORIR,15 DEC 1974,KEN,1,,Roma (ITA),26 MAR 2006,1183
26,2:08:46,,Dejene BIRHANU,12 DEC 1980,ETH,4,,Rotterdam (NED),09 APR 2006,1181
27,2:08:49,,Wataru OKUTANI,09 JAN 1975,JPN,4,,Fukuoka (JPN),03 DEC 2006,1180
28,2:08:51,,Kenai Kiprotich KENEI,01 JAN 1978,KEN,2,,Paris (FRA),09 APR 2006,1179
29,2:08:52,,Bernard BARMASAI,06 MAY 1974,KEN,3,,Paris (FRA),09 APR 2006,1179
29,2:08:52,,Solomon BUSHENDICH,10 JAN 1984,KEN,1,,Amsterdam (NED),15 OCT 2006,1179
29,2:08:52,,Toshinari SUWA,29 JAN 1977,JPN,5,,Fukuoka (JPN),03 DEC 2006,1179
32,2:08:55,,Luís JESUS,19 NOV 1968,POR,4,,Paris (FRA),09 APR 2006,1178
33,2:08:56,,Peter Kiplagat CHEBET,24 JUN 1976,KEN,2,,Wien (AUT),07 MAY 2006,1178
33,2:08:56,,Abdi ABDIRAHMAN,01 JAN 1977,USA,4,,"Chicago, IL (USA)",22 OCT 2006,1178
35,2:08:58,,Ambesse TOLOSSA,28 AUG 1977,ETH,1,,Tokyo (JPN),12 FEB 2006,1177
35,2:08:58,,David Kiprono LANGAT,,KEN,5,,Paris (FRA),09 APR 2006,1177
37,2:09:06,,Wilfred Kibet KIGEN,23 FEB 1975,KEN,1,,Frankfurt (GER),29 OCT 2006,1175
38,2:09:11,,Rachid EL GHANMOUNI,10 APR 1978,MAR,6,,Paris (FRA),09 APR 2006,1174
39,2:09:15,,José RÍOS,15 MAR 1974,ESP,1,,Otsu (JPN),05 MAR 2006,1173
39,2:09:15,,Jackson KOECH,26 DEC 1978,KEN,5,,Rotterdam (NED),09 APR 2006,1173
41,2:09:25,,James ROTICH,22 DEC 1978,KEN,3,,Hamburg (GER),23 APR 2006,1170
42,2:09:26,,Salim KIPSANG,22 DEC 1979,KEN,6,,Rotterdam (NED),09 APR 2006,1170
43,2:09:27,,Joseph Ngeny KIPROTICH,20 JUL 1977,KEN,3,,Milano (ITA),08 OCT 2006,1169
44,2:09:28,,Samson BARMAO,17 APR 1982,KEN,2,,Eindhoven (NED),08 OCT 2006,1169
45,2:09:30,,Daniele CAIMMI,17 DEC 1972,ITA,2,,Roma (ITA),26 MAR 2006,1169
46,2:09:31,,Toshinari TAKAOKA,24 SEP 1970,JPN,2,,Tokyo (JPN),12 FEB 2006,1168
47,2:09:35,,Evans RUTTO,08 APR 1978,KEN,10,,London (GBR),23 APR 2006,1167
47,2:09:35,,Philip MANYIM,24 MAR 1978,KEN,3,,Seoul (KOR),05 NOV 2006,1167
49,2:09:41,,Christopher CHEBOIBOCH,03 MAR 1977,KEN,7,,Rotterdam (NED),09 APR 2006,1165
50,2:09:45,,Gert THYS,12 NOV 1971,RSA,1,,Beppu (JPN),04 FEB 2006,1164
51,2:09:47,,Wilson ONSARE,15 JUN 1976,KEN,4,,Seoul (KOR),05 NOV 2006,1164
52,2:09:52,,Laurence SAINA,04 AUG 1981,KEN,1,,Porto (POR),15 OCT 2006,1162
53,2:10:00,,Laban KIPNGETICH,07 AUG 1976,KEN,3,,Roma (ITA),26 MAR 2006,1160
54,2:10:05,,Thomas CHEMITEI,22 MAY 1978,KEN,4,,Roma (ITA),26 MAR 2006,1159
54,2:10:05,,Thomas KIPLITAN,15 JUN 1983,KEN,8,,Rotterdam (NED),09 APR 2006,1159
56,2:10:06,,Luke KIBET,12 APR 1983,KEN,3,,Eindhoven (NED),08 OCT 2006,1159
57,2:10:08,,Laban KIPKEMBOI,30 DEC 1977,KEN,2,,"Los Angeles, CA (USA)",18 MAR 2006,1158
58,2:10:09,,Oleksandr KUZIN,21 OCT 1974,UKR,5,,Roma (ITA),26 MAR 2006,1158
59,2:10:10,,Stephen Kipkoech KIBIWOTT,03 APR 1980,KEN,1,,Torino (ITA),24 SEP 2006,1157
60,2:10:15,,Daniel Kipkurgat RONO,13 JUL 1978,KEN,1,,Toronto (CAN),24 SEP 2006,1156
61,2:10:17,,Hosea Kiprop ROTICH,02 AUG 1979,KEN,1,,Nairobi (KEN),29 OCT 2006,1156
62,2:10:19,,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,,Brescia (ITA),30 APR 2006,1155
63,2:10:20,,Takayuki MATSUMIYA,21 FEB 1980,JPN,2,,Otsu (JPN),05 MAR 2006,1155
