Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
64,2:10:24,,Abdelkader EL MOUAZIZ,1969,MAR,11,,London (GBR),23 APR 2006,1154
65,2:10:30,,Moses Kimeli ARUSEI,1983,KEN,2,,Frankfurt (GER),29 OCT 2006,1152
66,2:10:35,,Simon Njuguna WANGAI,11 DEC 1978,KEN,3,,"Los Angeles, CA (USA)",18 MAR 2006,1151
67,2:10:40,,Francis KIPROP,25 DEC 1984,KEN,8,,Paris (FRA),09 APR 2006,1149
68,2:10:41,,Abderrahim BOURAMDANE,01 JAN 1978,MAR,2,,Toronto (CAN),24 SEP 2006,1149
69,2:10:43,,Henry Kapkiai KIMELI,1983,KEN,2,,Torino (ITA),24 SEP 2006,1148
69,2:10:43,,Gudisa SHENTAMA,19 JUN 1980,ETH,2,,Berlin (GER),24 SEP 2006,1148
71,2:10:45,,Kamiel MAASE,20 OCT 1971,NED,1,,Rotterdam (NED),09 APR 2006,1148
71,2:10:45,,Mesfin ADIMASU,05 MAR 1985,ETH,9,,Rotterdam (NED),09 APR 2006,1148
71,2:10:45,,Philip KIRUI,11 SEP 1973,KEN,9,,Paris (FRA),09 APR 2006,1148
74,2:10:47,,Satoshi IRIFUNE,14 DEC 1975,JPN,4,,Tokyo (JPN),12 FEB 2006,1147
74,2:10:47,,Benjamin ITOK,1972,KEN,1,,Linz (AUT),23 APR 2006,1147
74,2:10:47,,Getuli AMNAAY BAYO,07 JUN 1980,TAN,3,,Amsterdam (NED),15 OCT 2006,1147
74,2:10:47,,Brian SELL,11 APR 1979,USA,6,,"Chicago, IL (USA)",22 OCT 2006,1147
78,2:10:48,,Tsuyoshi OGATA,11 MAY 1973,JPN,6,,Fukuoka (JPN),03 DEC 2006,1147
79,2:10:49,,Satoshi OSAKI,04 JUN 1976,JPN,3,,Otsu (JPN),05 MAR 2006,1147
79,2:10:49,,Francis Kipkoech BOWEN,12 OCT 1973,KEN,3,,Frankfurt (GER),29 OCT 2006,1147
79,2:10:49,,Bong-ju LEE,11 OCT 1970,KOR,5,,Seoul (KOR),05 NOV 2006,1147
82,2:10:50,,Haiyang DENG,15 OCT 1984,CHN,1,,Xiamen (CHN),25 MAR 2006,1146
83,2:10:51,,Ottaviano ANDRIANI,04 JAN 1974,ITA,10,,Paris (FRA),09 APR 2006,1146
84,2:10:52,,David RAMARD,03 FEB 1978,FRA,11,,Paris (FRA),09 APR 2006,1146
85,2:10:54,,Japhet KIPKORIR,07 APR 1981,KEN,1,,Beograd (SRB),22 APR 2006,1145
86,2:10:57,,Peter Kiprotich CHERUS,27 FEB 1979,KEN,4,,Frankfurt (GER),29 OCT 2006,1145
87,2:10:59,,Leonid SHVETSOV,28 MAR 1969,RUS,4,,Otsu (JPN),05 MAR 2006,1144
88,2:11:04,,Fred KIPROP,03 JUN 1974,KEN,5,,Hamburg (GER),23 APR 2006,1143
89,2:11:05,,Yuichi WASHIO,01 DEC 1977,JPN,1,,Nobeoka (JPN),19 FEB 2006,1142
90,2:11:06,,José Manuel MARTÍNEZ,22 OCT 1971,ESP,6,,Hamburg (GER),23 APR 2006,1142
90,2:11:06,,Philip KEMEI KIPKEMBOI,06 JUN 1977,KEN,1,,Mombasa (KEN),14 MAY 2006,1142
92,2:11:08,,Michael MISOI,,KEN,2,,Mombasa (KEN),14 MAY 2006,1141
93,2:11:09,,Danilo GOFFI,03 DEC 1972,ITA,7,,Hamburg (GER),23 APR 2006,1141
94,2:11:10,,Tesfaye DEREJE,30 SEP 1985,ETH,8,,Hamburg (GER),23 APR 2006,1141
95,2:11:11,,Mubarak Hassan SHAMI,02 DEC 1980,QAT,1,,Praha (CZE),14 MAY 2006,1141
96,2:11:12,,Ernest KIPYEGO,06 OCT 1978,KEN,2,,Linz (AUT),23 APR 2006,1140
97,2:11:17,,Stanley LELEITO,15 JUN 1984,KEN,4,,Amsterdam (NED),15 OCT 2006,1139
98,2:11:18,,Nephat Ngotho KINYANJUI,30 JUN 1977,KEN,1,,Nagano (JPN),16 APR 2006,1139
99,2:11:19,,Grigoriy ANDREYEV,07 JAN 1976,RUS,2,,Nagano (JPN),16 APR 2006,1138
100,2:11:24,,Teferi WODAJO,27 JAN 1982,ETH,1,,Köln (GER),08 OCT 2006,1137
