Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:02:57,,Dennis KIMETTO,22 APR 1984,KEN,1,,Berlin (GER),28 SEP 2014,1280
2,2:03:13,,Emmanuel MUTAI,12 OCT 1984,KEN,2,,Berlin (GER),28 SEP 2014,1275
3,2:04:11,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,"Chicago, IL (USA)",12 OCT 2014,1259
4,2:04:28,,Sammy KITWARA,26 NOV 1986,KEN,2,,"Chicago, IL (USA)",12 OCT 2014,1254
5,2:04:29,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,London (GBR),13 APR 2014,1253
6,2:04:32,,Tsegaye MEKONNEN,15 JUN 1995,ETH,1,,Dubai (UAE),24 JAN 2014,1253
6,2:04:32,,Dickson CHUMBA,27 OCT 1986,KEN,3,,"Chicago, IL (USA)",12 OCT 2014,1253
8,2:04:55,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,,London (GBR),13 APR 2014,1246
9,2:05:04,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,Paris (FRA),06 APR 2014,1243
10,2:05:13,,Markos GENETI,07 JUN 1984,ETH,2,,Dubai (UAE),24 JAN 2014,1241
11,2:05:41,,Getu FELEKE,28 NOV 1986,ETH,1,,Wien (AUT),13 APR 2014,1233
12,2:05:49,,Girmay Birhanu GEBRU,27 JAN 1987,ETH,3,,Dubai (UAE),24 JAN 2014,1231
13,2:05:56,,Abera KUMA,31 AUG 1990,ETH,3,,Berlin (GER),28 SEP 2014,1229
14,2:05:57,,Tadesse TOLA,31 OCT 1987,ETH,2,,Tokyo (JPN),23 FEB 2014,1228
15,2:06:08,,Bernard Kiprop KOECH,31 JAN 1988,KEN,2,,Rotterdam (NED),13 APR 2014,1225
16,2:06:17,,Tamirat TOLA,11 AUG 1991,ETH,4,,Dubai (UAE),24 JAN 2014,1223
16,2:06:17,,Yacob JARSO,05 FEB 1988,ETH,1,,Seoul (KOR),16 MAR 2014,1223
18,2:06:21,,Tilahun REGASSA,18 JAN 1990,ETH,1,,Eindhoven (NED),12 OCT 2014,1222
19,2:06:22,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,1,,Amsterdam (NED),19 OCT 2014,1221
20,2:06:24,,Stephen CHEMLANY,09 AUG 1982,KEN,2,,Seoul (KOR),16 MAR 2014,1221
21,2:06:30,,Tsegaye KEBEDE,15 JAN 1987,ETH,3,,London (GBR),13 APR 2014,1219
22,2:06:31,,Ayele ABSHERO,28 DEC 1990,ETH,4,,London (GBR),13 APR 2014,1219
23,2:06:39,,Geoffrey KAMWOROR,22 NOV 1992,KEN,4,,Berlin (GER),28 SEP 2014,1216
24,2:06:43,,Shumi DECHASA,28 MAY 1989,BRN,1,,Hamburg (GER),04 MAY 2014,1215
25,2:06:44,,Gilbert Kipruto KIRWA,20 DEC 1985,KEN,3,,Seoul (KOR),16 MAR 2014,1215
26,2:06:47,,Jonathan MAIYO,05 MAY 1988,KEN,2,,Eindhoven (NED),12 OCT 2014,1214
27,2:06:49,,Limenih GETACHEW,30 APR 1990,ETH,2,,Paris (FRA),06 APR 2014,1214
27,2:06:49,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,1,,Frankfurt (GER),26 OCT 2014,1214
29,2:06:51,,Yemane TSEGAY,08 APR 1985,ETH,1,,Daegu (KOR),06 APR 2014,1213
30,2:06:58,,Michael KIPYEGO,02 OCT 1983,KEN,4,,Tokyo (JPN),23 FEB 2014,1211
31,2:06:59,,Kaan Kigen ÖZBILEN,15 JAN 1986,KEN,2,,Frankfurt (GER),26 OCT 2014,1211
32,2:07:00,,Eric NDIEMA,28 DEC 1992,KEN,2,,Hamburg (GER),04 MAY 2014,1210
33,2:07:02,,Tariku JUFAR,18 JUL 1984,ETH,4,,Seoul (KOR),16 MAR 2014,1210
34,2:07:05,,Peter Kimeli SOME,05 JUN 1990,KEN,5,,Tokyo (JPN),23 FEB 2014,1209
35,2:07:06,,Gebretsadik ABRAHA,16 JUL 1992,ETH,2,,Daegu (KOR),06 APR 2014,1209
36,2:07:07,,Philemon RONO,08 FEB 1991,KEN,3,,Hamburg (GER),04 MAY 2014,1209
37,2:07:08,,Abraham CHERKOS,23 SEP 1989,ETH,5,,Seoul (KOR),16 MAR 2014,1208
37,2:07:08,,Gilbert YEGON,06 AUG 1988,KEN,3,,Frankfurt (GER),26 OCT 2014,1208
39,2:07:10,,Belay Asefa BEDADA,17 JUN 1992,ETH,4,,Hamburg (GER),04 MAY 2014,1208
39,2:07:10,,Tebalu ZAWUDE HEYI,02 NOV 1987,ETH,4,,Frankfurt (GER),26 OCT 2014,1208
41,2:07:11,,Alfers LAGAT,07 AUG 1986,KEN,3,,Eindhoven (NED),12 OCT 2014,1207
41,2:07:11,,Nixson KURGAT,02 MAY 1988,KEN,1,,Chuncheon (KOR),26 OCT 2014,1207
43,2:07:12,,Azmero Bekele MOLALIGN,22 JAN 1986,ETH,5,,Dubai (UAE),24 JAN 2014,1207
44,2:07:15,,Silas CHEPROT,06 NOV 1992,KEN,1,,Gongju (KOR),19 OCT 2014,1206
45,2:07:16,,Deribe ROBI,26 SEP 1990,ETH,5,,Frankfurt (GER),26 OCT 2014,1206
46,2:07:18,,Lucas Kimeli ROTICH,16 APR 1990,KEN,2,,Amsterdam (NED),19 OCT 2014,1205
47,2:07:28,,Eliud KIPTANUI,06 JUN 1989,KEN,5,,Berlin (GER),28 SEP 2014,1203
47,2:07:28,,John Nzau MWANGANGI,11 JAN 1990,KEN,3,,Amsterdam (NED),19 OCT 2014,1203
49,2:07:29,,Ronald KORIR,10 APR 1991,KEN,6,,Frankfurt (GER),26 OCT 2014,1202
50,2:07:32,,Bazu WORKU HAYLA,15 SEP 1990,ETH,1,,"Houston, TX (USA)",19 JAN 2014,1201
51,2:07:35,,Franklin CHEPKWONY,15 JUN 1984,KEN,6,,Berlin (GER),28 SEP 2014,1201
52,2:07:38,,James Kipsang KWAMBAI,28 FEB 1983,KEN,6,,Seoul (KOR),16 MAR 2014,1200
53,2:07:40,,Deressa CHIMSA,21 NOV 1976,ETH,7,,Tokyo (JPN),23 FEB 2014,1199
54,2:07:43,,Elija KEMBOI,10 SEP 1984,KEN,4,,Daegu (KOR),06 APR 2014,1198
54,2:07:43,,Feysa BEKELE,04 AUG 1983,ETH,1,,Seoul (KOR),09 NOV 2014,1198
56,2:07:46,,Abrha MILAW ASEFA,27 FEB 1988,ETH,7,,Dubai (UAE),24 JAN 2014,1198
56,2:07:46,,Evans KIPLAGAT,05 MAR 1988,KEN,2,,Seoul (KOR),09 NOV 2014,1198
58,2:07:52,,Thomas KIPLAGAT,01 MAR 1987,KEN,3,,Seoul (KOR),09 NOV 2014,1196
59,2:07:53,,Jacob Kibet Chulyo KENDAGOR,24 AUG 1984,KEN,5,,Daegu (KOR),06 APR 2014,1196
59,2:07:53,,Joel Kemboi KIMURER,21 JAN 1988,KEN,2,,Gongju (KOR),19 OCT 2014,1196
61,2:07:54,,Negari Getachew TERFA,1983,ETH,2,,"Houston, TX (USA)",19 JAN 2014,1195
61,2:07:54,,Essa Ismail RASHED,14 DEC 1986,QAT,4,,Amsterdam (NED),19 OCT 2014,1195
63,2:08:02,,Lukas Lokobe KANDA,01 JAN 1983,KEN,3,,Paris (FRA),06 APR 2014,1193
64,2:08:03,,Laban MUTAI,15 JAN 1988,KEN,1,,Linz (AUT),06 APR 2014,1193
65,2:08:04,,Laban Kipngetich KORIR,30 JUN 1985,KEN,5,,Hamburg (GER),04 MAY 2014,1192
66,2:08:05,,Sammy Kigen KORIR,22 SEP 1985,KEN,4,,Eindhoven (NED),12 OCT 2014,1192
67,2:08:06,,Mariko KIPCHUMBA KIPLAGAT,04 JUL 1974,KEN,1,,Xiamen (CHN),02 JAN 2014,1192
68,2:08:07,,Patrick Kipyegon TERER,06 JUL 1989,KEN,1,,Praha (CZE),11 MAY 2014,1192
69,2:08:09,,Kohei MATSUMURA,05 NOV 1986,JPN,8,,Tokyo (JPN),23 FEB 2014,1191
69,2:08:09,,Levi Omari MATEBO,03 NOV 1989,KEN,2,,Warszawa (POL),13 APR 2014,1191
71,2:08:17,,Evans CHEBET,10 NOV 1988,KEN,2,,Praha (CZE),11 MAY 2014,1189
71,2:08:17,,Tesfaye DEREJE,30 SEP 1985,ETH,3,,Gongju (KOR),19 OCT 2014,1189
73,2:08:18,,Abere KASSW,08 DEC 1994,ETH,8,,Dubai (UAE),24 JAN 2014,1189
73,2:08:18,,Geoffrey MUTAI,07 OCT 1981,KEN,6,,London (GBR),13 APR 2014,1189
73,2:08:18,,Mulugeta WAMI,17 JUL 1982,ETH,2,,Ottawa (CAN),25 MAY 2014,1189
73,2:08:18,,Daniel KINYUA,25 MAY 1992,KEN,7,,Frankfurt (GER),26 OCT 2014,1189
77,2:08:21,,Mo FARAH,23 MAR 1983,GBR,8,,London (GBR),13 APR 2014,1188
77,2:08:21,,Samuel NDUNGU,04 APR 1988,KEN,1,,Lisboa (POR),05 OCT 2014,1188
79,2:08:22,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,,Fukuoka (JPN),07 DEC 2014,1187
80,2:08:25,,Ishimael BUSHENDICH,07 JUL 1991,KEN,1,,Ljubljana (SLO),26 OCT 2014,1187
81,2:08:26,,Feyisa LILESA,01 FEB 1990,ETH,9,,London (GBR),13 APR 2014,1186
81,2:08:26,,Gilbert CHEPKWONY,1985,KEN,1,,Košice (SVK),05 OCT 2014,1186
83,2:08:27,,Beraki BEYENE ZEREA,06 FEB 1980,ERI,2,,Hengshui (CHN),20 SEP 2014,1186
84,2:08:28,,Alfred KERING,20 NOV 1978,KEN,2,,Wien (AUT),13 APR 2014,1186
85,2:08:31,,Adugna TAKELE,26 FEB 1989,ETH,8,,Frankfurt (GER),26 OCT 2014,1185
86,2:08:32,,Endeshaw NEGESSE,13 MAR 1988,ETH,2,,Düsseldorf (GER),27 APR 2014,1185
86,2:08:32,,Serhiy LEBID,15 JUL 1975,UKR,4,,Seoul (KOR),09 NOV 2014,1185
88,2:08:33,,Cosmas LAGAT,12 DEC 1990,KEN,1,,Sevilla (ESP),23 FEB 2014,1184
89,2:08:37,,Elijah KEITANY,18 OCT 1983,KEN,2,,Ljubljana (SLO),26 OCT 2014,1183
90,2:08:41,,Shami Abdullah DAWIT,16 JUL 1984,ETH,3,,Toronto (CAN),19 OCT 2014,1182
91,2:08:43,,Stephen MOKOKA,31 JAN 1985,RSA,1,,Shanghai (CHN),02 NOV 2014,1182
92,2:08:48,,Robert KWAMBAI,22 NOV 1985,KEN,4,,Paris (FRA),06 APR 2014,1180
92,2:08:48,,Luka ROTICH,07 AUG 1988,KEN,5,,Seoul (KOR),09 NOV 2014,1180
92,2:08:48,,Raji ASSEFA,18 FEB 1986,ETH,2,,Fukuoka (JPN),07 DEC 2014,1180
95,2:08:50,,Ser-Od BAT-OCHIR,07 OCT 1981,MGL,3,,Fukuoka (JPN),07 DEC 2014,1180
96,2:08:51,,Koji KOBAYASHI,16 JAN 1989,JPN,9,,Tokyo (JPN),23 FEB 2014,1179
97,2:08:53,,Francis KIPROP,25 DEC 1984,KEN,1,,Milano (ITA),06 APR 2014,1179
98,2:08:55,,Jose Antonio URIBE MARINO,03 JAN 1986,MEX,3,,"Houston, TX (USA)",19 JAN 2014,1178
98,2:08:55,,Henryk SZOST,20 JAN 1982,POL,3,,Warszawa (POL),13 APR 2014,1178
100,2:08:58,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,3,,Wien (AUT),13 APR 2014,1177
