Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
58,2:08:17,,Sammy KIBET,02 FEB 1982,KEN,1,,Warszawa (POL),25 SEP 2011,1189
61,2:08:21,,William Chebon CHEBOR,22 DEC 1982,KEN,2,,Torino (ITA),13 NOV 2011,1188
62,2:08:22,,Henry Kemo SUGUT,04 MAY 1985,KEN,7,,Paris (FRA),10 APR 2011,1187
63,2:08:25,,Daniel Kirwa TOO,21 NOV 1976,KEN,1,,Ljubljana (SLO),23 OCT 2011,1187
64,2:08:26,,Jaouad GHARIB,22 MAY 1972,MAR,6,,London (GBR),17 APR 2011,1186
65,2:08:31,,Siraj Amda GENA,12 NOV 1984,ETH,8,,Frankfurt (GER),30 OCT 2011,1185
66,2:08:35,,Geoffrey GIKUNI,11 MAR 1984,KEN,1,,Dublin (IRL),31 OCT 2011,1184
67,2:08:37,,Yuki KAWAUCHI,05 MAR 1987,JPN,3,,Tokyo (JPN),27 FEB 2011,1183
68,2:08:38,,Duncan Cheruiyot KOECH,28 DEC 1981,KEN,9,,Frankfurt (GER),30 OCT 2011,1183
68,2:08:38,,James Mwangi MACHARIA,23 JUN 1984,KEN,2,,Fukuoka (JPN),04 DEC 2011,1183
70,2:08:39,,Daniel Kiprop LIMO,10 DEC 1983,KEN,2,,La Rochelle (FRA),27 NOV 2011,1183
71,2:08:40,,Deribe ROBI,26 SEP 1990,ETH,7,,Eindhoven (NED),09 OCT 2011,1182
72,2:08:41,,Patrick Mutuku IVUTI,30 JUL 1978,KEN,2,,Wien (AUT),17 APR 2011,1182
73,2:08:47,,Chele DECHASA,13 JUN 1984,ETH,3,,Rotterdam (NED),10 APR 2011,1180
73,2:08:47,,Hassane AHOUCHAR,1975,MAR,4,,Valencia (ESP),27 NOV 2011,1180
75,2:08:50,,Joseph Kimeli LANGAT,08 OCT 1986,KEN,2,,Ljubljana (SLO),23 OCT 2011,1180
75,2:08:50,,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,,Seoul (KOR),06 NOV 2011,1180
77,2:08:53,,Mushir Salim JAWHER,13 JUN 1978,KEN,2,,Daegu (KOR),10 APR 2011,1179
78,2:08:55,,Mergersa BACHA,18 JAN 1985,ETH,3,,Torino (ITA),13 NOV 2011,1178
79,2:08:56,,Samson BARMAO,17 APR 1982,KEN,1,,Köln (GER),02 OCT 2011,1178
79,2:08:56,,Peter Chesang KURUI,02 JAN 1988,KEN,4,,Torino (ITA),13 NOV 2011,1178
81,2:08:57,,Edwin KUTTO,08 JAN 1984,KEN,8,,Eindhoven (NED),09 OCT 2011,1178
82,2:09:00,,Francis KIPROP,25 DEC 1984,KEN,1,,Beijing (CHN),16 OCT 2011,1177
83,2:09:02,,Tadesse Tolesa AREDO,07 JAN 1988,ETH,1,,Padova (ITA),17 APR 2011,1176
84,2:09:03,,Yoshinori ODA,05 DEC 1980,JPN,4,,Tokyo (JPN),27 FEB 2011,1176
85,2:09:08,,Deressa CHIMSA,21 NOV 1976,ETH,4,,Dubai (UAE),21 JAN 2011,1175
85,2:09:08,,Eliud KIPTANUI,06 JUN 1989,KEN,4,,Rotterdam (NED),10 APR 2011,1175
87,2:09:10,,Cyrus Gichobi NJUI,11 FEB 1986,KEN,5,,Tokyo (JPN),27 FEB 2011,1174
88,2:09:12,,Michael CHEGE,15 NOV 1991,KEN,3,,Ljubljana (SLO),23 OCT 2011,1174
89,2:09:13,,Deriba Merga EJIGU,26 OCT 1980,ETH,2,,Otsu (JPN),06 MAR 2011,1173
89,2:09:13,,Mebrahtom KEFLEZIGHI,05 MAY 1975,USA,6,,"New York, NY (USA)",06 NOV 2011,1173
91,2:09:16,,Girma BEYENE,28 NOV 1983,ETH,5,,Valencia (ESP),27 NOV 2011,1172
92,2:09:19,,Berhanu SHIFERAW,31 MAY 1993,ETH,4,,Ljubljana (SLO),23 OCT 2011,1172
93,2:09:20,,Haile Haja GEMEDA,22 OCT 1988,ETH,3,,Daegu (KOR),10 APR 2011,1171
94,2:09:21,,David Kemboi KIYENG,22 APR 1983,KEN,2,,Seoul (KOR),06 NOV 2011,1171
95,2:09:22,,Evans KIPLAGAT,05 MAR 1988,KEN,3,,Wien (AUT),17 APR 2011,1171
96,2:09:23,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,,Gongju (KOR),16 OCT 2011,1170
97,2:09:25,,Hiroyuki HORIBATA,28 OCT 1986,JPN,3,,Otsu (JPN),06 MAR 2011,1170
97,2:09:25,,Felix KENY,25 DEC 1985,KEN,4,,Daegu (KOR),10 APR 2011,1170
97,2:09:25,,Lusapho APRIL,24 MAY 1982,RSA,1,,Hannover (GER),08 MAY 2011,1170
100,2:09:26,,Ben Kipruto CHEBET,22 FEB 1982,KEN,2,,Padova (ITA),17 APR 2011,1170
