Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:38,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,,Berlin (GER),25 SEP 2011,1268
2,2:03:42,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,Frankfurt (GER),30 OCT 2011,1267
3,2:04:40,,Emmanuel MUTAI,12 OCT 1984,KEN,1,,London (GBR),17 APR 2011,1250
4,2:05:06,,Geoffrey MUTAI,07 OCT 1981,KEN,1,,"New York, NY (USA)",06 NOV 2011,1243
5,2:05:16,,Levi Omari MATEBO,03 NOV 1989,KEN,2,,Frankfurt (GER),30 OCT 2011,1240
6,2:05:25,,Albert Kiplagat MATEBOR,25 DEC 1980,KEN,3,,Frankfurt (GER),30 OCT 2011,1237
7,2:05:27,,Wilson Kwambai CHEBET,12 JUL 1985,KEN,1,,Rotterdam (NED),10 APR 2011,1237
8,2:05:33,,Vincent KIPRUTO,13 SEP 1987,KEN,2,,Rotterdam (NED),10 APR 2011,1235
9,2:05:37,,Moses MOSOP,07 JUL 1985,KEN,1,,"Chicago, IL (USA)",09 OCT 2011,1234
10,2:05:45,,Martin Kiptolo LEL,29 OCT 1978,KEN,2,,London (GBR),17 APR 2011,1232
11,2:05:48,,Jafred Chirchir KIPCHUMBA,08 AUG 1983,KEN,1,,Eindhoven (NED),09 OCT 2011,1231
12,2:06:05,,Laban Kipngetich KORIR,30 JUN 1985,KEN,2,,Amsterdam (NED),16 OCT 2011,1226
13,2:06:07,,Eric NDIEMA,28 DEC 1992,KEN,3,,Amsterdam (NED),16 OCT 2011,1225
13,2:06:07,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,4,,Frankfurt (GER),30 OCT 2011,1225
15,2:06:15,,Wesley KORIR,15 NOV 1982,KEN,2,,"Chicago, IL (USA)",09 OCT 2011,1223
16,2:06:28,,Nathaniel KIPKOSGEI,01 SEP 1984,KEN,2,,Eindhoven (NED),09 OCT 2011,1220
17,2:06:29,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,3,,"Chicago, IL (USA)",09 OCT 2011,1219
17,2:06:29,,Robert Kiprono CHERUIYOT,10 AUG 1988,KEN,5,,Frankfurt (GER),30 OCT 2011,1219
19,2:06:31,,Benjamin KIPTOO,10 JAN 1979,KEN,1,,Paris (FRA),10 APR 2011,1219
19,2:06:31,,Peter Cheruiyot KIRUI,02 JAN 1988,KEN,6,,Frankfurt (GER),30 OCT 2011,1219
21,2:06:34,,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,4,,London (GBR),17 APR 2011,1218
21,2:06:34,,Nicholas Manza KAMAKYA,02 MAR 1985,KEN,4,,Amsterdam (NED),16 OCT 2011,1218
23,2:06:48,,Michael KIPYEGO,02 OCT 1983,KEN,3,,Eindhoven (NED),09 OCT 2011,1214
24,2:06:53,,Elijah KEITANY,18 OCT 1983,KEN,5,,Amsterdam (NED),16 OCT 2011,1212
25,2:06:54,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,6,,Amsterdam (NED),16 OCT 2011,1212
26,2:07:03,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,1,,Chuncheon (KOR),23 OCT 2011,1210
27,2:07:04,,Bekana DABA,29 JUL 1988,ETH,1,,"Houston, TX (USA)",30 JAN 2011,1209
28,2:07:07,,Benson Kipchumba BARUS,04 JUL 1980,KEN,1,,Praha (CZE),08 MAY 2011,1209
29,2:07:08,,John KIPROTICH,30 MAR 1989,KEN,7,,Amsterdam (NED),16 OCT 2011,1208
30,2:07:13,,Tadesse TOLA,31 OCT 1987,ETH,4,,Eindhoven (NED),09 OCT 2011,1207
30,2:07:13,,John Kipkorir KOMEN,28 AUG 1977,KEN,1,,La Rochelle (FRA),27 NOV 2011,1207
32,2:07:14,,Tsegaye KEBEDE,15 JAN 1987,ETH,3,,"New York, NY (USA)",06 NOV 2011,1207
33,2:07:18,,David Barmasai TUMO,1987,KEN,1,,Dubai (UAE),21 JAN 2011,1205
34,2:07:20,,Stephen KIPROTICH,27 FEB 1989,UGA,1,,Enschede (NED),17 APR 2011,1205
35,2:07:23,,Dickson CHUMBA,27 OCT 1986,KEN,7,,Frankfurt (GER),30 OCT 2011,1204
36,2:07:27,,Yared ASMEROM,04 FEB 1980,ERI,2,,Chuncheon (KOR),23 OCT 2011,1203
37,2:07:28,,Samuel Tsegay TESFAMARIAM,24 FEB 1988,ERI,8,,Amsterdam (NED),16 OCT 2011,1203
38,2:07:33,,Eshetu WENDIMU,03 OCT 1986,ETH,3,,Paris (FRA),10 APR 2011,1201
39,2:07:35,,Hailu MEKONNEN,04 APR 1980,ETH,1,,Tokyo (JPN),27 FEB 2011,1201
40,2:07:36,,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,2,,Praha (CZE),08 MAY 2011,1200
40,2:07:36,,Josphat Muchiri NDAMBIRI,12 FEB 1985,KEN,1,,Fukuoka (JPN),04 DEC 2011,1200
42,2:07:38,,Abel KIRUI,06 APR 1982,KEN,1,,"DS, Daegu (KOR)",04 SEP 2011,1200
43,2:07:41,,Alfred KERING,20 NOV 1978,KEN,4,,Paris (FRA),10 APR 2011,1199
44,2:07:43,,Girma ASSEFA,20 JUN 1986,ETH,5,,Paris (FRA),10 APR 2011,1198
45,2:07:47,,Samuel Kiplimo KOSGEI,20 JAN 1986,KEN,3,,Praha (CZE),08 MAY 2011,1197
46,2:07:55,,Stephen CHEMLANY,09 AUG 1982,KEN,2,,Berlin (GER),25 SEP 2011,1195
47,2:07:59,,Aadam Ismaeel KHAMIS,12 FEB 1989,BRN,1,,Valencia (ESP),27 NOV 2011,1194
48,2:08:00,,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,4,,"New York, NY (USA)",06 NOV 2011,1194
49,2:08:01,,Nicholas KEMBOI,25 NOV 1983,QAT,2,,Valencia (ESP),27 NOV 2011,1193
49,2:08:01,,Francis Kipkoech BOWEN,12 OCT 1973,KEN,3,,Valencia (ESP),27 NOV 2011,1193
51,2:08:02,,Stephen CHEBOGUT,09 JAN 1985,KEN,6,,Paris (FRA),10 APR 2011,1193
52,2:08:04,,Ryan HALL,14 OCT 1982,USA,5,,"Chicago, IL (USA)",09 OCT 2011,1192
52,2:08:04,,Charles Kiama MUNYEKI,02 NOV 1988,KEN,5,,Eindhoven (NED),09 OCT 2011,1192
54,2:08:05,,Augustine RONO,1982,KEN,6,,Eindhoven (NED),09 OCT 2011,1192
55,2:08:07,,Robert Kipkorir KIPCHUMBA,24 FEB 1984,KEN,1,,Xiamen (CHN),02 JAN 2011,1192
56,2:08:08,,Yusuf SONGOKA,05 FEB 1979,KEN,1,,Daegu (KOR),10 APR 2011,1191
57,2:08:13,,Aziz Naji EL IDRISSI,08 DEC 1986,MAR,1,,Torino (ITA),13 NOV 2011,1190
58,2:08:17,,Evans Kiprop CHERUIYOT,10 MAY 1982,KEN,2,,Dubai (UAE),21 JAN 2011,1189
58,2:08:17,,Hillary Kipchirchir KIMAIYO,30 APR 1981,KEN,1,,Torreón (MEX),06 MAR 2011,1189
