Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:04:48,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,,Rotterdam (NED),11 APR 2010,1248
2,2:04:55,,Geoffrey MUTAI,07 OCT 1981,KEN,2,,Rotterdam (NED),11 APR 2010,1246
3,2:04:57,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,Frankfurt (GER),31 OCT 2010,1245
4,2:05:13,,Vincent KIPRUTO,13 SEP 1987,KEN,3,,Rotterdam (NED),11 APR 2010,1241
5,2:05:19,,Tsegaye KEBEDE,15 JAN 1987,ETH,1,,London (GBR),25 APR 2010,1239
6,2:05:23,,Feyisa LILESA,01 FEB 1990,ETH,4,,Rotterdam (NED),11 APR 2010,1238
7,2:05:25,,Bazu WORKU HAYLA,15 SEP 1990,ETH,3,,Berlin (GER),26 SEP 2010,1237
8,2:05:39,,Eliud KIPTANUI,06 JUN 1989,KEN,1,,Praha (CZE),09 MAY 2010,1233
9,2:05:44,,Getu FELEKE,28 NOV 1986,ETH,1,,Amsterdam (NED),17 OCT 2010,1232
10,2:06:09,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,,Dubai (UAE),22 JAN 2010,1225
11,2:06:12,,Wilson Kwambai CHEBET,12 JUL 1985,KEN,2,,Amsterdam (NED),17 OCT 2010,1224
12,2:06:23,,Emmanuel MUTAI,12 OCT 1984,KEN,2,,London (GBR),25 APR 2010,1221
13,2:06:24,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,,"Chicago, IL (USA)",10 OCT 2010,1221
14,2:06:31,,Tadesse TOLA,31 OCT 1987,ETH,2,,Frankfurt (GER),31 OCT 2010,1219
15,2:06:33,,Chele DECHASA,13 JUN 1984,ETH,2,,Dubai (UAE),22 JAN 2010,1218
16,2:06:46,,Eshetu WENDIMU,03 OCT 1986,ETH,3,,Dubai (UAE),22 JAN 2010,1214
17,2:06:49,,Sylvester Kimeli TEIMET,04 JUN 1984,KEN,1,,Seoul (KOR),21 MAR 2010,1214
18,2:06:55,,Jaouad GHARIB,22 MAY 1972,MAR,3,,London (GBR),25 APR 2010,1212
19,2:06:59,,Gilbert Kipruto KIRWA,20 DEC 1985,KEN,2,,Seoul (KOR),21 MAR 2010,1211
20,2:07:01,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,5,,Rotterdam (NED),11 APR 2010,1210
21,2:07:04,,Elias KEMBOI,10 MAY 1984,KEN,3,,Frankfurt (GER),31 OCT 2010,1209
22,2:07:11,,Alfred KERING,20 NOV 1978,KEN,2,,Paris (FRA),11 APR 2010,1207
22,2:07:11,,Yemane TSEGAY,08 APR 1985,ETH,2,,Praha (CZE),09 MAY 2010,1207
22,2:07:11,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,4,,Frankfurt (GER),31 OCT 2010,1207
25,2:07:23,,Nicolas Kipruto KOECH,1982,KEN,3,,Praha (CZE),09 MAY 2010,1204
26,2:07:29,,Abraham CHERKOS,23 SEP 1989,ETH,4,,Amsterdam (NED),17 OCT 2010,1202
27,2:07:30,,Jackson Kobut KIPKOECH,12 FEB 1988,KEN,1,,Barcelona (ESP),07 MAR 2010,1202
28,2:07:33,,Abderrahim BOURAMDANE,01 JAN 1978,MAR,4,,London (GBR),25 APR 2010,1201
29,2:07:35,,Paul Kiprop KIRUI,05 FEB 1980,KEN,3,,Seoul (KOR),21 MAR 2010,1201
30,2:07:36,,Felix KENY,25 DEC 1985,KEN,2,,Barcelona (ESP),07 MAR 2010,1200
31,2:07:37,,Teshome Etanat GELANA,31 OCT 1983,ETH,1,,"Houston, TX (USA)",17 JAN 2010,1200
31,2:07:37,,Hailu MEKONNEN,04 APR 1980,ETH,5,,Amsterdam (NED),17 OCT 2010,1200
33,2:07:38,,Charles Waweru KAMATHI,18 MAY 1978,KEN,1,,Eindhoven (NED),10 OCT 2010,1200
33,2:07:38,,Nicholas Chelimo KIPKORIR,08 JAN 1983,KEN,2,,Eindhoven (NED),10 OCT 2010,1200
35,2:07:40,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,3,,Eindhoven (NED),10 OCT 2010,1199
36,2:07:54,,Benjamin KIPTOO,10 JAN 1979,KEN,1,,Chuncheon (KOR),24 OCT 2010,1195
37,2:07:56,,Shadrack KIPLAGAT,09 DEC 1977,KEN,6,,Amsterdam (NED),17 OCT 2010,1195
38,2:07:58,,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,1,,Toronto (CAN),26 SEP 2010,1194
39,2:08:04,,Abel KIRUI,06 APR 1982,KEN,5,,London (GBR),25 APR 2010,1192
40,2:08:10,,Jafred Chirchir KIPCHUMBA,08 AUG 1983,KEN,2,,Toronto (CAN),26 SEP 2010,1191
41,2:08:13,,Yared DAGNAW SHAREW,1980,ERI,4,,Eindhoven (NED),10 OCT 2010,1190
42,2:08:14,,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,1,,"New York, NY (USA)",07 NOV 2010,1190
43,2:08:15,,Daniel Kipkurgat RONO,13 JUL 1978,KEN,3,,Toronto (CAN),26 SEP 2010,1189
43,2:08:15,,David Kemboi KIYENG,22 APR 1983,KEN,1,,Seoul (KOR),07 NOV 2010,1189
45,2:08:17,,Mohamed EL HACHIMI,05 SEP 1980,MAR,2,,Seoul (KOR),07 NOV 2010,1189
46,2:08:22,,Nixon Machichim KIPKOECH,1983,KEN,4,,Toronto (CAN),26 SEP 2010,1187
47,2:08:24,,Daniel CHEPYEGUN,06 JAN 1986,UGA,5,,Frankfurt (GER),31 OCT 2010,1187
48,2:08:25,,Wegayehu Girma TEFERA,28 SEP 1988,ETH,3,,Seoul (KOR),07 NOV 2010,1187
49,2:08:27,,Zembaba YIGEZE,26 SEP 1983,ETH,2,,"Houston, TX (USA)",17 JAN 2010,1186
50,2:08:29,,Daniel KIPRUGUT,25 APR 1978,KEN,5,,Paris (FRA),11 APR 2010,1185
51,2:08:32,,Mulugeta WAMI,17 JUL 1982,ETH,6,,Paris (FRA),11 APR 2010,1185
51,2:08:32,,Iaroslav MUȘINSCHI,08 AUG 1976,MDA,1,,Düsseldorf (GER),02 MAY 2010,1185
53,2:08:33,,Gilbert CHEPKWONY,1985,KEN,1,,Košice (SVK),03 OCT 2010,1184
53,2:08:33,,Stephen MOKOKA,31 JAN 1985,RSA,4,,Seoul (KOR),07 NOV 2010,1184
55,2:08:39,,Siraj Amda GENA,12 NOV 1984,ETH,1,,Roma (ITA),21 MAR 2010,1183
56,2:08:40,,Henry Kemo SUGUT,04 MAY 1985,KEN,1,,Wien (AUT),18 APR 2010,1182
57,2:08:41,,Solomon BUSHENDICH,10 JAN 1984,KEN,2,,Košice (SVK),03 OCT 2010,1182
58,2:08:42,,Peter Kiplagat CHEBET,24 JUN 1976,KEN,3,,Košice (SVK),03 OCT 2010,1182
59,2:08:44,,Wesley KORIR,15 NOV 1982,KEN,4,,"Chicago, IL (USA)",10 OCT 2010,1181
60,2:08:45,,Samuel WOLDEAMANUEL GEBREMICHAEL,14 MAR 1981,ETH,3,,Barcelona (ESP),07 MAR 2010,1181
60,2:08:45,,Deressa CHIMSA,21 NOV 1976,ETH,1,,Daegu (KOR),11 APR 2010,1181
60,2:08:45,,Daniel KOSGEI,19 JUN 1986,KEN,7,,Amsterdam (NED),17 OCT 2010,1181
63,2:08:46,,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,6,,London (GBR),25 APR 2010,1181
64,2:08:53,,Francis KIPROP,25 DEC 1984,KEN,6,,Rotterdam (NED),11 APR 2010,1179
64,2:08:53,,Benson Kipchumba BARUS,04 JUL 1980,KEN,2,,Chuncheon (KOR),24 OCT 2010,1179
66,2:08:54,,David KIPSEREM,22 MAR 1983,KEN,3,,Chuncheon (KOR),24 OCT 2010,1179
67,2:08:55,,Yusuf SONGOKA,05 FEB 1979,KEN,1,,Hannover (GER),02 MAY 2010,1178
67,2:08:55,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,5,,Toronto (CAN),26 SEP 2010,1178
69,2:08:58,,Jason MBOTE,05 JAN 1977,KEN,3,,"Houston, TX (USA)",17 JAN 2010,1177
69,2:08:58,,Moses Kibet KANGOGO,10 NOV 1979,KEN,1,,Dublin (IRL),25 OCT 2010,1177
71,2:09:03,,Guta ABIYOTE,10 OCT 1985,ETH,4,,Dubai (UAE),22 JAN 2010,1176
71,2:09:03,,Shume GERBABA,19 NOV 1982,ETH,1,,Casablanca (MAR),24 OCT 2010,1176
71,2:09:03,,Terefe Zewdie MEREGA,23 OCT 1982,ETH,6,,Frankfurt (GER),31 OCT 2010,1176
74,2:09:09,,Hussen Adilo ROBA,18 MAY 1982,ETH,4,,"Houston, TX (USA)",17 JAN 2010,1174
74,2:09:09,,Silas TOEK,1985,KEN,4,,Barcelona (ESP),07 MAR 2010,1174
74,2:09:09,,Wilson KIPROP,14 APR 1987,KEN,5,,Praha (CZE),09 MAY 2010,1174
77,2:09:10,,Charles Kibiwott SERONEI,08 AUG 1974,KEN,5,,"Houston, TX (USA)",17 JAN 2010,1174
77,2:09:10,,Rachid KISRI,01 MAR 1975,MAR,2,,Casablanca (MAR),24 OCT 2010,1174
79,2:09:13,,Dejene YIRDAWE,21 AUG 1978,ETH,1,,Gongju (KOR),17 OCT 2010,1173
80,2:09:15,,Kedir Fikadu KASSA,1984,ETH,4,,Roma (ITA),21 MAR 2010,1173
81,2:09:17,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,7,,Frankfurt (GER),31 OCT 2010,1172
82,2:09:19,,Elijah KEITANY,18 OCT 1983,KEN,8,,Frankfurt (GER),31 OCT 2010,1172
83,2:09:21,,Bellor Miningwo YATOR,01 JAN 1984,QAT,5,,Barcelona (ESP),07 MAR 2010,1171
84,2:09:22,,Vincent Kiplagat MITEI,10 AUG 1984,KEN,6,,"Houston, TX (USA)",17 JAN 2010,1171
84,2:09:22,,Wilfred Kibet KIGEN,23 FEB 1975,KEN,1,,Hamburg (GER),25 APR 2010,1171
86,2:09:23,,Raymond KANDIE,07 SEP 1986,KEN,6,,Barcelona (ESP),07 MAR 2010,1170
87,2:09:24,,Tadesse ABRAHAM,12 AUG 1982,ERI,7,,Berlin (GER),26 SEP 2010,1170
87,2:09:24,,Abdellah FALIL,1976,MAR,2,,Gongju (KOR),17 OCT 2010,1170
89,2:09:25,,Cosmas Koech KIMUTAI,09 OCT 1985,KEN,6,,Eindhoven (NED),10 OCT 2010,1170
90,2:09:26,,Francis Kibiwott LARABAL,15 SEP 1978,KEN,9,,Paris (FRA),11 APR 2010,1170
91,2:09:27,,Arado Urige BUTA,28 NOV 1982,ETH,2,,Hamburg (GER),25 APR 2010,1169
91,2:09:27,,Boniface MBUVI MUEMA,20 DEC 1986,KEN,4,,Chuncheon (KOR),24 OCT 2010,1169
93,2:09:28,,Robert Kiprono CHERUIYOT,10 AUG 1988,KEN,6,,"Chicago, IL (USA)",10 OCT 2010,1169
94,2:09:31,,Young-joon JI,15 OCT 1981,KOR,2,,Daegu (KOR),11 APR 2010,1168
95,2:09:32,,Joseph LOMALA,1982,KEN,2,,Wien (AUT),18 APR 2010,1168
96,2:09:34,,Arata FUJIWARA,12 SEP 1981,JPN,1,,Ottawa (CAN),30 MAY 2010,1167
97,2:09:35,,Simon Kamama MUKUM,1984,KEN,1,,Venezia (ITA),24 OCT 2010,1167
98,2:09:38,,Stephen CHEBOGUT,09 JAN 1985,KEN,1,,Reims (FRA),17 OCT 2010,1166
99,2:09:40,,Negari Getachew TERFA,1983,ETH,2,,Xiamen (CHN),02 JAN 2010,1166
100,2:09:41,,Mesfin ADIMASU,05 MAR 1985,ETH,3,,Wien (AUT),18 APR 2010,1165
