Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:04:27,,Duncan KIBET,25 APR 1978,KEN,1,,Rotterdam (NED),05 APR 2009,1254
1,2:04:27,,James Kipsang KWAMBAI,28 FEB 1983,KEN,2,,Rotterdam (NED),05 APR 2009,1254
3,2:05:04,,Abel KIRUI,06 APR 1982,KEN,3,,Rotterdam (NED),05 APR 2009,1243
4,2:05:10,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,,London (GBR),26 APR 2009,1242
5,2:05:18,,Tsegaye KEBEDE,15 JAN 1987,ETH,1,,Fukuoka (JPN),06 DEC 2009,1239
6,2:05:27,,Jaouad GHARIB,22 MAY 1972,MAR,3,,London (GBR),26 APR 2009,1237
7,2:05:29,,Haile GEBRSELASSIE,18 APR 1973,ETH,1f1,,Dubai (UAE),16 JAN 2009,1236
8,2:05:47,,Vincent KIPRUTO,13 SEP 1987,KEN,1,,Paris (FRA),05 APR 2009,1231
9,2:06:14,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,4,,Rotterdam (NED),05 APR 2009,1224
9,2:06:14,,Gilbert Kipruto KIRWA,20 DEC 1985,KEN,1,,Frankfurt (GER),25 OCT 2009,1224
11,2:06:15,,Bazu WORKU HAYLA,15 SEP 1990,ETH,2,,Paris (FRA),05 APR 2009,1223
12,2:06:18,,Gilbert YEGON,06 AUG 1988,KEN,1,,Amsterdam (NED),18 OCT 2009,1222
13,2:06:23,,Robert Kiprono CHERUIYOT,10 AUG 1988,KEN,2,,Frankfurt (GER),25 OCT 2009,1221
14,2:06:26,,David Kemboi KIYENG,22 APR 1983,KEN,3,,Paris (FRA),05 APR 2009,1220
15,2:06:30,,Yemane TSEGAY,08 APR 1985,ETH,4,,Paris (FRA),05 APR 2009,1219
16,2:06:41,,Elijah KEITANY,18 OCT 1983,KEN,2,,Amsterdam (NED),18 OCT 2009,1216
17,2:06:48,,Rachid KISRI,01 MAR 1975,MAR,5,,Paris (FRA),05 APR 2009,1214
18,2:06:53,,David Mandago KIPKORIR,15 DEC 1974,KEN,6,,Paris (FRA),05 APR 2009,1212
18,2:06:53,,Emmanuel MUTAI,12 OCT 1984,KEN,4,,London (GBR),26 APR 2009,1212
20,2:07:01,,Geoffrey MUTAI,07 OCT 1981,KEN,1,,Eindhoven (NED),11 OCT 2009,1210
21,2:07:02,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,3,,Amsterdam (NED),18 OCT 2009,1210
22,2:07:04,,Francis KIPROP,25 DEC 1984,KEN,2,,Berlin (GER),20 SEP 2009,1209
23,2:07:05,,William KIPLAGAT,21 JUN 1972,KEN,3,,Frankfurt (GER),25 OCT 2009,1209
24,2:07:06,,Charles Kiama MUNYEKI,02 NOV 1988,KEN,3,,"Chicago, IL (USA)",11 OCT 2009,1209
25,2:07:17,,Benjamin KIPTOO,10 JAN 1979,KEN,1,,Roma (ITA),22 MAR 2009,1206
26,2:07:31,,Jonathan Kosgei KIPKORIR,29 DEC 1982,KEN,7,,Paris (FRA),05 APR 2009,1202
27,2:07:41,,Negari Getachew TERFA,1983,ETH,3,,Berlin (GER),20 SEP 2009,1199
28,2:07:44,,Hendrick RAMAALA,02 FEB 1972,RSA,5,,London (GBR),26 APR 2009,1198
29,2:07:45,,Teferi WODAJO,27 JAN 1982,ETH,4,,Amsterdam (NED),18 OCT 2009,1198
30,2:07:46,,Nicholas Chelimo KIPKORIR,08 JAN 1983,KEN,5,,Amsterdam (NED),18 OCT 2009,1198
31,2:07:48,,Patrick Mutuku IVUTI,30 JUL 1978,KEN,1,,Praha (CZE),10 MAY 2009,1197
32,2:07:52,,Deriba Merga EJIGU,26 OCT 1980,ETH,1f1,,"Houston, TX (USA)",18 JAN 2009,1196
32,2:07:52,,Tekeste KEBEDE,14 AUG 1981,ETH,2,,Fukuoka (JPN),06 DEC 2009,1196
34,2:07:54,,Deressa CHIMSA,21 NOV 1976,ETH,2f1,,Dubai (UAE),16 JAN 2009,1195
34,2:07:54,,Moses Kimeli ARUSEI,1983,KEN,1,,Seoul (KOR),14 MAR 2009,1195
34,2:07:54,,Stephen Kipkoech KIBIWOTT,03 APR 1980,KEN,2,,Praha (CZE),10 MAY 2009,1195
37,2:08:07,,Jackson Kobut KIPKOECH,12 FEB 1988,KEN,1f1,,See Genezareth (ISR),08 JAN 2009,1192
37,2:08:07,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,2,,Eindhoven (NED),11 OCT 2009,1192
39,2:08:10,,Joseph Ngeny KIPROTICH,20 JUL 1977,KEN,3,,Eindhoven (NED),11 OCT 2009,1191
40,2:08:11,,Shadrack KIPLAGAT,09 DEC 1977,KEN,8,,Paris (FRA),05 APR 2009,1191
41,2:08:12,,John Kipkorir KOMEN,28 AUG 1977,KEN,9,,Paris (FRA),05 APR 2009,1190
42,2:08:15,,Elias KEMBOI,10 MAY 1984,KEN,4,,Frankfurt (GER),25 OCT 2009,1189
43,2:08:19,,Dmytri BARANOVSKIY,28 JUL 1979,UKR,3,,Fukuoka (JPN),06 DEC 2009,1188
44,2:08:20,,Samuel Muturi MUGO,02 MAY 1986,KEN,1,,Beijing (CHN),18 OCT 2009,1188
44,2:08:20,,Daniel YEGO,28 AUG 1979,KEN,6,,Amsterdam (NED),18 OCT 2009,1188
46,2:08:23,,Paul Kiprop KIRUI,05 FEB 1980,KEN,2,,Roma (ITA),22 MAR 2009,1187
47,2:08:24,,Wesley KORIR,15 NOV 1982,KEN,1,,"Los Angeles, CA (USA)",25 MAY 2009,1187
48,2:08:28,,Yonas KIFLE,05 NOV 1977,ERI,6,,London (GBR),26 APR 2009,1186
49,2:08:30,,Dejene YIRDAWE,21 AUG 1978,ETH,2,,Seoul (KOR),14 MAR 2009,1185
49,2:08:30,,Young-joon JI,15 OCT 1981,KOR,1,,Daegu (KOR),12 APR 2009,1185
51,2:08:32,,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,1,,Toronto (CAN),27 SEP 2009,1185
52,2:08:36,,Evans Kipkosgei RUTO,14 JAN 1984,KEN,1,,Köln (GER),04 OCT 2009,1184
52,2:08:36,,Samson Kiptoo BUNGEI,17 NOV 1982,KEN,2,,Köln (GER),04 OCT 2009,1184
52,2:08:36,,Tesfaye DEREJE,30 SEP 1985,ETH,4,,Fukuoka (JPN),06 DEC 2009,1184
55,2:08:38,,Daniel KIPRUGUT,25 APR 1978,KEN,10,,Paris (FRA),05 APR 2009,1183
56,2:08:41,,Eshetu WENDIMU,03 OCT 1986,ETH,3f1,,Dubai (UAE),16 JAN 2009,1182
57,2:08:42,,Nicholas Manza KAMAKYA,02 MAR 1985,KEN,2,,Beijing (CHN),18 OCT 2009,1182
58,2:08:43,,Abraham CHELANGA,09 SEP 1984,KEN,11,,Paris (FRA),05 APR 2009,1182
58,2:08:43,,Richard LIMO,18 NOV 1980,KEN,4,,"Chicago, IL (USA)",11 OCT 2009,1182
60,2:08:46,,Shumye ALEMAYEHU,06 APR 1988,ETH,5,,Frankfurt (GER),25 OCT 2009,1181
61,2:08:49,,Chala LEMI,26 FEB 1987,ETH,2,,Toronto (CAN),27 SEP 2009,1180
62,2:08:51,,Benson Kipchumba BARUS,04 JUL 1980,KEN,3,,Beijing (CHN),18 OCT 2009,1179
63,2:08:58,,Daniel KOSGEI,19 JUN 1986,KEN,7,,Amsterdam (NED),18 OCT 2009,1177
64,2:09:00,,Francis Kibiwott LARABAL,15 SEP 1978,KEN,1,,Seoul (KOR),01 NOV 2009,1177
65,2:09:02,,Jacob YATOR,05 AUG 1982,KEN,1,,Enschede (NED),26 APR 2009,1176
66,2:09:08,,Dereje DEBELE,28 JUN 1986,ETH,2,,Wien (AUT),19 APR 2009,1175
66,2:09:08,,Joel KIPTOO,1986,KEN,1,,Karlsruhe (GER),20 SEP 2009,1175
68,2:09:09,,Aadam Ismaeel KHAMIS,12 FEB 1989,BRN,3,,Köln (GER),04 OCT 2009,1174
69,2:09:12,,Feyisa LILESA,01 FEB 1990,ETH,1,,Dublin (IRL),26 OCT 2009,1174
70,2:09:16,,Atsushi SATO,08 MAY 1978,JPN,7,,London (GBR),26 APR 2009,1172
71,2:09:19,,Alfred KERING,20 NOV 1978,KEN,6,,Rotterdam (NED),05 APR 2009,1172
72,2:09:20,,Samson BARMAO,17 APR 1982,KEN,4,,Eindhoven (NED),11 OCT 2009,1171
73,2:09:21,,Mebrahtom KEFLEZIGHI,05 MAY 1975,USA,8,,London (GBR),26 APR 2009,1171
74,2:09:23,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,3,,Toronto (CAN),27 SEP 2009,1170
75,2:09:24,,David TARUS,1978,KEN,6,,Eindhoven (NED),11 OCT 2009,1170
76,2:09:25,,Joseph Nganga MAREGU,22 NOV 1977,KEN,3,,Wien (AUT),19 APR 2009,1170
77,2:09:29,,Hillary BETT,1980,KEN,2,,Essen (GER),17 MAY 2009,1169
78,2:09:32,,Mesfin ADIMASU,05 MAR 1985,ETH,7,,Rotterdam (NED),05 APR 2009,1168
78,2:09:32,,Tariku JUFAR,18 JUL 1984,ETH,2,,"Los Angeles, CA (USA)",25 MAY 2009,1168
78,2:09:32,,Getu FELEKE,28 NOV 1986,ETH,8,,Amsterdam (NED),18 OCT 2009,1168
81,2:09:33,,James ROTICH,22 DEC 1978,KEN,7,,Eindhoven (NED),11 OCT 2009,1168
82,2:09:34,,Kenai Kiprotich KENEI,01 JAN 1978,KEN,8,,Eindhoven (NED),11 OCT 2009,1167
82,2:09:34,,Hailu Abebe DOGAGA,1985,ETH,1,,Reims (FRA),18 OCT 2009,1167
82,2:09:34,,Sammy Kiptoo KURGAT,1975,KEN,6,,Frankfurt (GER),25 OCT 2009,1167
85,2:09:35,,Raymond Kipkoech CHEMWELO,19 JUL 1978,KEN,3,,Essen (GER),17 MAY 2009,1167
86,2:09:37,,Mushir Salim JAWHER,13 JUN 1978,KEN,2f1,,See Genezareth (ISR),08 JAN 2009,1167
87,2:09:41,,William KIPCHUMBA,03 NOV 1976,KEN,1,,Utrecht (NED),13 APR 2009,1165
87,2:09:41,,Berga BIRHANU BEKELE,20 APR 1981,ETH,5,,Beijing (CHN),18 OCT 2009,1165
89,2:09:44,,Tsegay Reda GEBRESILASSIE,26 SEP 1984,NED,9,,Eindhoven (NED),11 OCT 2009,1165
90,2:09:46,,Zembaba YIGEZE,26 SEP 1983,ETH,2,,Reims (FRA),18 OCT 2009,1164
90,2:09:46,,Evans Kiprop CHERUIYOT,10 MAY 1982,KEN,5,,Fukuoka (JPN),06 DEC 2009,1164
92,2:09:47,,Hosea Kiprop ROTICH,02 AUG 1979,KEN,4,,Roma (ITA),22 MAR 2009,1164
92,2:09:47,,Felix LIMO,22 AUG 1980,KEN,9,,London (GBR),26 APR 2009,1164
94,2:09:50,,Mulugeta WAMI,17 JUL 1982,ETH,1,,Chuncheon (KOR),25 OCT 2009,1163
95,2:09:52,,Abebe NEGEWO,20 MAY 1984,ETH,4,,Wien (AUT),19 APR 2009,1162
96,2:09:53,,Ruggero PERTILE,08 AUG 1974,ITA,2,,Torino (ITA),19 APR 2009,1162
97,2:09:56,,Robert Kipkorir KIPCHUMBA,24 FEB 1984,KEN,8,,Rotterdam (NED),05 APR 2009,1161
98,2:09:58,,Girma ASSEFA,20 JUN 1986,ETH,6,,Berlin (GER),20 SEP 2009,1161
99,2:10:00,,Dathan RITZENHEIN,30 DEC 1982,USA,10,,London (GBR),26 APR 2009,1160
100,2:10:07,,Joseph KIPTUM ROP,,KEN,5,,Daegu (KOR),12 APR 2009,1158
