Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:00,,Evans CHEBET,10 NOV 1988,KEN,1,,Valencia (ESP),06 DEC 2020,1279
2,2:03:04,,Lawrence CHERONO,07 AUG 1988,KEN,2,,Valencia (ESP),06 DEC 2020,1278
3,2:03:16,,Birhanu LEGESE,11 SEP 1994,ETH,3,,Valencia (ESP),06 DEC 2020,1275
4,2:03:30,,Amos KIPRUTO,16 SEP 1992,KEN,4,,Valencia (ESP),06 DEC 2020,1270
5,2:04:12,,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,5,,Valencia (ESP),06 DEC 2020,1258
6,2:04:46,,Mekuant AYENEW,24 OCT 1991,ETH,1,,Sevilla (ESP),23 FEB 2020,1249
7,2:04:49,,Bashir ABDI,10 FEB 1989,BEL,2,,Tokyo (JPN),01 MAR 2020,1248
8,2:04:51,,Sisay LEMMA,12 DEC 1990,ETH,3,,Tokyo (JPN),01 MAR 2020,1247
9,2:04:53,,Chalu DESO,14 DEC 1997,ETH,6,,Valencia (ESP),06 DEC 2020,1247
10,2:05:05,,Barnabas KIPTUM,08 DEC 1986,KEN,2,,Sevilla (ESP),23 FEB 2020,1243
10,2:05:05,,Abel KIRUI,06 APR 1982,KEN,7,,Valencia (ESP),06 DEC 2020,1243
12,2:05:15,,Abebe NEGEWO,20 MAY 1984,ETH,8,,Valencia (ESP),06 DEC 2020,1240
13,2:05:29,,Suguru OSAKO,23 MAY 1991,JPN,4,,Tokyo (JPN),01 MAR 2020,1236
13,2:05:29,,Leul GEBRESILASE,20 SEP 1992,ETH,9,,Valencia (ESP),06 DEC 2020,1236
15,2:05:37,,Philemon RONO,08 FEB 1991,KEN,10,,Valencia (ESP),06 DEC 2020,1234
16,2:05:41,,Shura KITATA,09 JUN 1996,ETH,1,,London (GBR),04 OCT 2020,1233
17,2:05:42,,Vincent KIPCHUMBA,03 AUG 1990,KEN,2,,London (GBR),04 OCT 2020,1233
18,2:05:53,,Oqbe Kibrom RUESOM,01 JAN 1998,ERI,11,,Valencia (ESP),06 DEC 2020,1229
19,2:06:04,,Mosinet GEREMEW,12 FEB 1992,ETH,4,,London (GBR),04 OCT 2020,1226
20,2:06:08,,Mule WASIHUN,20 OCT 1993,ETH,5,,London (GBR),04 OCT 2020,1225
21,2:06:15,,Olika ADUGNA,12 SEP 1999,ETH,1,,Dubai (UAE),24 JAN 2020,1223
21,2:06:15,,Bedan KAROKI,21 AUG 1990,KEN,5,,Tokyo (JPN),01 MAR 2020,1223
23,2:06:17,,Eric Kiprono KIPTANUI,19 APR 1990,KEN,2,,Dubai (UAE),24 JAN 2020,1223
24,2:06:18,,Tsedat Abeje AYANA,18 FEB 1996,ETH,3,,Dubai (UAE),24 JAN 2020,1222
24,2:06:18,,Tesfaye Lencho ANBESA,1997,ETH,4,,Dubai (UAE),24 JAN 2020,1222
26,2:06:21,,Yitayal Atnafu ZERIHUN,20 JAN 1993,ETH,5,,Dubai (UAE),24 JAN 2020,1222
27,2:06:22,,Yihunilign ADANE,29 FEB 1996,ETH,6,,Dubai (UAE),24 JAN 2020,1221
27,2:06:22,,El Hassan EL ABBASSI,13 APR 1984,BRN,6,,Tokyo (JPN),01 MAR 2020,1221
29,2:06:23,,Aychew BANTIE,12 SEP 1995,ETH,7,,Dubai (UAE),24 JAN 2020,1221
29,2:06:23,,Asefa MENGSTU,22 JAN 1988,ETH,7,,Tokyo (JPN),01 MAR 2020,1221
31,2:06:24,,Regasa BEJIGA,1980,ETH,3,,Sevilla (ESP),23 FEB 2020,1221
32,2:06:26,,Seifu TURA,19 JUN 1997,ETH,8,,Dubai (UAE),24 JAN 2020,1220
33,2:06:27,,Tesfa WOKNETH,30 SEP 1984,ETH,4,,Sevilla (ESP),23 FEB 2020,1220
34,2:06:31,,Hailu ZEWDU,02 MAY 1995,ETH,10,,Dubai (UAE),24 JAN 2020,1219
35,2:06:32,,Hicham LAQOUAHI,13 JUN 1989,MAR,1,,Marrakech (MAR),26 JAN 2020,1218
36,2:06:34,,Beshah YERSIIE,,ETH,11,,Dubai (UAE),24 JAN 2020,1218
