Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:02:16,,Benson KIPRUTO,17 MAR 1991,KEN,1,,Tokyo (JPN),03 MAR 2024,1292
2,2:02:55,,Timothy KIPLAGAT,18 SEP 1993,KEN,2,,Tokyo (JPN),03 MAR 2024,1281
3,2:03:27,,Deresa GELETA,14 JAN 1996,ETH,1,,Sevilla (ESP),18 FEB 2024,1271
4,2:03:47,,Morhad AMDOUNI,21 JUN 1988,FRA,2,,Sevilla (ESP),18 FEB 2024,1266
5,2:04:01,,Alexander MUNYAO,10 SEP 1996,KEN,1,,London (GBR),21 APR 2024,1262
6,2:04:15,,Kenenisa BEKELE,13 JUN 1982,ETH,2,,London (GBR),21 APR 2024,1258
7,2:04:18,,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,3,,Tokyo (JPN),03 MAR 2024,1257
8,2:04:24,,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,,Hamburg (GER),28 APR 2024,1255
9,2:04:45,,Abdi NAGEEYE,02 MAR 1989,NED,1,,Rotterdam (NED),14 APR 2024,1249
10,2:04:50,,Amedework WALELEGN,11 MAR 1999,ETH,2,,Rotterdam (NED),14 APR 2024,1247
11,2:04:53,,Gashau AYALE,22 AUG 1996,ISR,3,,Sevilla (ESP),18 FEB 2024,1247
12,2:05:01,,Addisu GOBENA,20 OCT 2004,ETH,1,,Dubai (UAE),07 JAN 2024,1244
12,2:05:01,,Tadesse ABRAHAM,12 AUG 1982,SUI,1,,Barcelona (ESP),10 MAR 2024,1244
14,2:05:16,,Birhanu LEGESE,11 SEP 1994,ETH,3,,Rotterdam (NED),14 APR 2024,1240
15,2:05:20,,Lemi DUMECHA,12 SEP 1995,ETH,2,,Dubai (UAE),07 JAN 2024,1239
16,2:05:30,,Haymanot ALEW,11 NOV 1997,ETH,2,,Hamburg (GER),28 APR 2024,1236
17,2:05:33,,Mulugeta Asefa UMA,12 MAR 1998,ETH,1,,Paris (FRA),07 APR 2024,1235
18,2:05:37,,Philemon KIPLIMO,10 OCT 1998,KEN,3,,Hamburg (GER),28 APR 2024,1234
19,2:05:41,,Ronald KORIR,10 APR 1991,KEN,4,,Hamburg (GER),28 APR 2024,1233
20,2:05:42,,Dejene MEGERSA,24 JAN 2005,ETH,3,,Dubai (UAE),07 JAN 2024,1233
21,2:05:43,,Hailemaryam KIROS,05 FEB 1997,ETH,4,,Tokyo (JPN),03 MAR 2024,1232
21,2:05:43,,Kenneth Kiprop KIPKEMOI,02 AUG 1984,KEN,4,,Rotterdam (NED),14 APR 2024,1232
23,2:05:48,,Titus KIPRUTO,25 JUN 1998,KEN,2,,Paris (FRA),07 APR 2024,1231
24,2:06:05,,Amanal PETROS,17 MAY 1995,GER,1,,Hannover (GER),14 APR 2024,1226
25,2:06:06,,Yemaneberhan CRIPPA,15 OCT 1996,ITA,4,,Sevilla (ESP),18 FEB 2024,1226
26,2:06:07,,Enock ONCHARI,16 JAN 1999,KEN,5,,Rotterdam (NED),14 APR 2024,1225
27,2:06:08,,Jemal MEKONEN,11 SEP 1996,ETH,1,,Seoul (KOR),17 MAR 2024,1225
28,2:06:09,,Rhonzas Lokitam KILIMO,05 SEP 1996,KEN,2,,Seoul (KOR),17 MAR 2024,1225
