Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
90,2:10:14,,Ridouane HARROUFI,30 JUL 1981,MAR,5,,Seoul (KOR),02 NOV 2008,1156
92,2:10:16,,Deressa CHIMSA,21 NOV 1976,ETH,7,,Dubai (UAE),18 JAN 2008,1156
92,2:10:16,,Henry Kapkiai KIMELI,1983,KEN,3,,Roma (ITA),16 MAR 2008,1156
94,2:10:18,,Oleksandr SITKOVSKIY,09 JUN 1978,UKR,2,,Torino (ITA),13 APR 2008,1155
94,2:10:18,,Elias Kiptum MAINDI,06 JUN 1980,KEN,1,,Linz (AUT),13 APR 2008,1155
96,2:10:22,,Joseph LOMALA,1982,KEN,3,,Torino (ITA),13 APR 2008,1154
97,2:10:23,,Mesfin ADIMASU,05 MAR 1985,ETH,7,,Hamburg (GER),27 APR 2008,1154
97,2:10:23,,Vincent KIPSOS,22 JUN 1976,KEN,9,,Frankfurt (GER),26 OCT 2008,1154
99,2:10:30,,Luka Chelimo KIPKEMBOI,1977,KEN,2,,Beijing (CHN),19 OCT 2008,1152
99,2:10:30,,Samson Kikwei TUIYANGE,1974,KEN,1,,Nairobi (KEN),26 OCT 2008,1152
