Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:59,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,,Berlin (GER),28 SEP 2008,1262
2,2:05:15,,Martin Kiptolo LEL,29 OCT 1978,KEN,1,,London (GBR),13 APR 2008,1240
3,2:05:24,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,2,,London (GBR),13 APR 2008,1238
4,2:05:30,,Abderrahim GOUMRI,21 MAY 1976,MAR,3,,London (GBR),13 APR 2008,1236
5,2:05:36,,James Kipsang KWAMBAI,28 FEB 1983,KEN,2,,Berlin (GER),28 SEP 2008,1234
6,2:05:49,,William KIPSANG,26 JUN 1977,KEN,1,,Rotterdam (NED),13 APR 2008,1231
7,2:06:10,,Tsegaye KEBEDE,15 JAN 1987,ETH,1,,Fukuoka (JPN),07 DEC 2008,1225
8,2:06:15,,Emmanuel MUTAI,12 OCT 1984,KEN,4,,London (GBR),13 APR 2008,1223
9,2:06:17,,Ryan HALL,14 OCT 1982,USA,5,,London (GBR),13 APR 2008,1223
10,2:06:25,,Evans Kiprop CHERUIYOT,10 MAY 1982,KEN,1,,"Chicago, IL (USA)",12 OCT 2008,1220
11,2:06:38,,Deriba Merga EJIGU,26 OCT 1980,ETH,6,,London (GBR),13 APR 2008,1217
12,2:06:50,,Moses Kimeli ARUSEI,1983,KEN,2,,Paris (FRA),06 APR 2008,1213
13,2:06:58,,Daniel Kipkurgat RONO,13 JUL 1978,KEN,2,,Rotterdam (NED),13 APR 2008,1211
14,2:07:16,,Isaac Wanjohi MACHARIA,25 NOV 1978,KEN,2,,Dubai (UAE),18 JAN 2008,1206
14,2:07:16,,Jaouad GHARIB,22 MAY 1972,MAR,2,,"National Stadium, Beijing (CHN)",24 AUG 2008,1206
16,2:07:21,,Robert Kiprono CHERUIYOT,10 AUG 1988,KEN,1,,Frankfurt (GER),26 OCT 2008,1205
17,2:07:23,,Viktor RÖTHLIN,14 OCT 1974,SUI,1,,Tokyo (JPN),17 FEB 2008,1204
17,2:07:23,,David Mandago KIPKORIR,15 DEC 1974,KEN,1,,Hamburg (GER),27 APR 2008,1204
19,2:07:24,,Hosea Kiprop ROTICH,02 AUG 1979,KEN,3,,Paris (FRA),06 APR 2008,1204
20,2:07:32,,Sammy Kipchoge KORIR,12 DEC 1971,KEN,1,,Seoul (KOR),16 MAR 2008,1201
21,2:07:33,,Charles Waweru KAMATHI,18 MAY 1978,KEN,3,,Rotterdam (NED),13 APR 2008,1201
22,2:07:34,,Gudisa SHENTAMA,19 JUN 1980,ETH,4,,Paris (FRA),06 APR 2008,1201
23,2:07:37,,Jason MBOTE,05 JAN 1977,KEN,2,,Seoul (KOR),16 MAR 2008,1200
24,2:07:38,,Abel KIRUI,06 APR 1982,KEN,1,,Wien (AUT),27 APR 2008,1200
25,2:07:45,,Edwin KOMEN,1980,KEN,3,,Seoul (KOR),16 MAR 2008,1198
26,2:07:48,,Wilfred Kibet KIGEN,23 FEB 1975,KEN,2,,Hamburg (GER),27 APR 2008,1197
27,2:07:50,,Geoffrey MUTAI,07 OCT 1981,KEN,1,,Eindhoven (NED),12 OCT 2008,1196
28,2:07:52,,Paul Kiprop KIRUI,05 FEB 1980,KEN,1,,Amsterdam (NED),19 OCT 2008,1196
29,2:07:53,,David Kemboi KIYENG,22 APR 1983,KEN,1,,Reims (FRA),19 OCT 2008,1196
29,2:07:53,,Duncan KIBET,25 APR 1978,KEN,1,,Milano (ITA),23 NOV 2008,1196
31,2:08:06,,John Kipkorir KOMEN,28 AUG 1977,KEN,2,,Reims (FRA),19 OCT 2008,1192
32,2:08:10,,Tariku JUFAR,18 JUL 1984,ETH,3,,Hamburg (GER),27 APR 2008,1191
33,2:08:16,,Vincent KIPRUTO,13 SEP 1987,KEN,3,,Reims (FRA),19 OCT 2008,1189
33,2:08:16,,Wilson Kipkemboi KIGEN,10 AUG 1980,KEN,2,,Frankfurt (GER),26 OCT 2008,1189
35,2:08:23,,Mubarak Hassan SHAMI,02 DEC 1980,QAT,1,,Otsu (JPN),02 MAR 2008,1187
36,2:08:24,,Stephen KIOGORA,10 NOV 1974,KEN,3,,Frankfurt (GER),26 OCT 2008,1187
37,2:08:26,,Tessema ABSHERO,09 DEC 1986,ETH,4,,Hamburg (GER),27 APR 2008,1186
38,2:08:30,,Francis KIPROP,25 DEC 1984,KEN,4,,Seoul (KOR),16 MAR 2008,1185
39,2:08:31,,Chele DECHASA,13 JUN 1984,ETH,2,,Amsterdam (NED),19 OCT 2008,1185
40,2:08:33,,Charles Kibiwott SERONEI,08 AUG 1974,KEN,5,,Seoul (KOR),16 MAR 2008,1184
41,2:08:34,,Yared ASMEROM,04 FEB 1980,ERI,2,,Otsu (JPN),02 MAR 2008,1184
41,2:08:34,,David KEMBOI,23 NOV 1974,KEN,5,,Paris (FRA),06 APR 2008,1184
43,2:08:36,,Satoshi OSAKI,04 JUN 1976,JPN,3,,Otsu (JPN),02 MAR 2008,1184
44,2:08:39,,Elias KEMBOI,10 MAY 1984,KEN,2,,Milano (ITA),23 NOV 2008,1183
45,2:08:40,,Arata FUJIWARA,12 SEP 1981,JPN,2,,Tokyo (JPN),17 FEB 2008,1182
46,2:08:43,,Richard LIMO,18 NOV 1980,KEN,4,,Rotterdam (NED),13 APR 2008,1182
47,2:08:46,,Solomon MOLLA,20 JAN 1987,ETH,1,,Seoul (KOR),02 NOV 2008,1181
48,2:08:47,,Philemon KIRWA TARBEI,1983,KEN,4,,Frankfurt (GER),26 OCT 2008,1180
49,2:08:51,,Yonas KIFLE,05 NOV 1977,ERI,7,,London (GBR),13 APR 2008,1179
49,2:08:51,,Nicholas Chelimo KIPKORIR,08 JAN 1983,KEN,2,,Seoul (KOR),02 NOV 2008,1179
51,2:08:53,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,3,,Wien (AUT),27 APR 2008,1179
52,2:08:54,,Yuzo ONISHI,26 DEC 1977,JPN,4,,Otsu (JPN),02 MAR 2008,1179
53,2:08:55,,Sammy Kiptoo KURGAT,1975,KEN,5,,Hamburg (GER),27 APR 2008,1178
54,2:08:56,,Abraham CHELANGA,09 SEP 1984,KEN,6,,Paris (FRA),06 APR 2008,1178
55,2:08:57,,Julius GITAHI,29 APR 1978,KEN,3,,Tokyo (JPN),17 FEB 2008,1178
55,2:08:57,,Benson Kipchumba BARUS,04 JUL 1980,KEN,5,,Frankfurt (GER),26 OCT 2008,1178
57,2:09:01,,Samson BARMAO,17 APR 1982,KEN,7,,Paris (FRA),06 APR 2008,1177
58,2:09:03,,Mariko KIPCHUMBA KIPLAGAT,04 JUL 1974,KEN,4,,Berlin (GER),28 SEP 2008,1176
59,2:09:13,,Robert CHEBOROR,09 SEP 1978,KEN,3,,Amsterdam (NED),19 OCT 2008,1173
60,2:09:15,,Paul Malakwen KOSGEI,22 APR 1978,KEN,8,,Paris (FRA),06 APR 2008,1173
61,2:09:16,,Toshinari SUWA,29 JAN 1977,JPN,4,,Tokyo (JPN),17 FEB 2008,1172
62,2:09:22,,Jonathan Kosgei KIPKORIR,29 DEC 1982,KEN,4,,Amsterdam (NED),19 OCT 2008,1171
63,2:09:23,,Tomoya SHIMIZU,12 NOV 1980,JPN,5,,Otsu (JPN),02 MAR 2008,1170
63,2:09:23,,Satoshi IRIFUNE,14 DEC 1975,JPN,2,,Fukuoka (JPN),07 DEC 2008,1170
65,2:09:24,,Simon MUNYUTU,27 DEC 1977,FRA,11,,Paris (FRA),06 APR 2008,1170
65,2:09:24,,Benjamin KIPTOO,10 JAN 1979,KEN,1,,Brescia (ITA),20 APR 2008,1170
65,2:09:24,,Japheth KOSGEI,20 DEC 1968,KEN,6,,Frankfurt (GER),26 OCT 2008,1170
68,2:09:28,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,1,,Shanghai (CHN),30 NOV 2008,1169
69,2:09:31,,Philip MANYIM,24 MAR 1978,KEN,2,,Eindhoven (NED),12 OCT 2008,1168
70,2:09:33,,Joseph Ngeny KIPROTICH,20 JUL 1977,KEN,3,,Eindhoven (NED),12 OCT 2008,1168
71,2:09:36,,Chala LEMI,26 FEB 1987,ETH,4,,Seoul (KOR),02 NOV 2008,1167
72,2:09:38,,Tesfaye TOLA,19 OCT 1974,ETH,5,,Dubai (UAE),18 JAN 2008,1166
72,2:09:38,,José RÍOS,15 MAR 1974,ESP,6,,Otsu (JPN),02 MAR 2008,1166
72,2:09:38,,Alex KIRUI,1980,KEN,5,,Reims (FRA),19 OCT 2008,1166
75,2:09:39,,Raymond Kipkoech CHEMWELO,19 JUL 1978,KEN,6,,Dubai (UAE),18 JAN 2008,1166
76,2:09:42,,Jackson KOECH,26 DEC 1978,KEN,5,,Amsterdam (NED),19 OCT 2008,1165
77,2:09:46,,Laban KIPKEMBOI,30 DEC 1977,KEN,6,,Hamburg (GER),27 APR 2008,1164
78,2:09:49,,Kenai Kiprotich KENEI,01 JAN 1978,KEN,1,,Xiamen (CHN),05 JAN 2008,1163
79,2:09:53,,Sylvester Kimeli TEIMET,04 JUN 1984,KEN,1,,Gongju (KOR),19 OCT 2008,1162
80,2:09:54,,Hillary Kipchirchir KIMAIYO,30 APR 1981,KEN,1,,Monterrey (MEX),14 DEC 2008,1162
81,2:09:56,,Yerefu BIRHANU,29 AUG 1986,ETH,2,,Gongju (KOR),19 OCT 2008,1161
82,2:09:57,,Jonathan YEGO,1976,KEN,1,,Roma (ITA),16 MAR 2008,1161
83,2:09:58,,Benjamin MAIYO,06 OCT 1978,KEN,7,,Frankfurt (GER),26 OCT 2008,1161
84,2:09:59,,Tomoyuki SATO,31 JAN 1981,JPN,7,,Otsu (JPN),02 MAR 2008,1160
85,2:10:02,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,2,,Roma (ITA),16 MAR 2008,1160
86,2:10:04,,James ROTICH,22 DEC 1978,KEN,6,,Amsterdam (NED),19 OCT 2008,1159
87,2:10:05,,Mushir Salim JAWHER,13 JUN 1978,KEN,3,,Milano (ITA),23 NOV 2008,1159
88,2:10:13,,Stephen Kipkoech KIBIWOTT,03 APR 1980,KEN,1,,Torino (ITA),13 APR 2008,1157
88,2:10:13,,Deriba DEME,1986,ETH,7,,Amsterdam (NED),19 OCT 2008,1157
90,2:10:14,,Julius Kibet KOSKEI,06 APR 1982,KEN,8,,Frankfurt (GER),26 OCT 2008,1156
