Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
70,2:06:59,,Silas MWETICH,24 MAY 1997,KEN,5,,Toronto (CAN),20 OCT 2019,1211
72,2:07:00,,Reuben KERIO,02 JUN 1994,KEN,2,,Eindhoven (NED),13 OCT 2019,1210
72,2:07:00,,Robert KWAMBAI,22 NOV 1985,KEN,1,,Chuncheon (KOR),27 OCT 2019,1210
74,2:07:05,,Abrha MILAW ASEFA,27 FEB 1988,ETH,1,,Paris (FRA),14 APR 2019,1209
75,2:07:06,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,1,,Beijing (CHN),03 NOV 2019,1209
76,2:07:09,,Robert KIPKEMBOI,19 JUN 1988,KEN,5,,Seoul (KOR),17 MAR 2019,1208
76,2:07:09,,Evans KORIR,10 JUL 1987,KEN,5,,Daegu (KOR),07 APR 2019,1208
78,2:07:10,,Vincent RONO,10 NOV 1990,KEN,5,,Rotterdam (NED),07 APR 2019,1208
79,2:07:11,,John LANGAT,02 OCT 1993,KEN,3,,Eindhoven (NED),13 OCT 2019,1207
80,2:07:12,,Aweke AYALEW,23 FEB 1993,BRN,3,,Frankfurt (GER),27 OCT 2019,1207
81,2:07:15,,Leul GEBRESILASE,20 SEP 1992,ETH,8,,London (GBR),28 APR 2019,1206
82,2:07:20,,Josphat BOIT,25 NOV 1995,KEN,6,,Rotterdam (NED),07 APR 2019,1205
82,2:07:20,,Martin KIPRUGUT KOSGEY,21 MAR 1989,KEN,4,,Frankfurt (GER),27 OCT 2019,1205
84,2:07:22,,Balew YIHUNLE,21 SEP 1998,ETH,2,,Chuncheon (KOR),27 OCT 2019,1204
85,2:07:24,,Tadesse ABRAHAM,12 AUG 1982,SUI,2,,Wien (AUT),07 APR 2019,1204
86,2:07:29,,Paul LONYANGATA,12 DEC 1992,KEN,3,,Paris (FRA),14 APR 2019,1202
87,2:07:30,,Limenih GETACHEW,30 APR 1990,ETH,5,,Barcelona (ESP),10 MAR 2019,1202
87,2:07:30,,Solomon Kirwa YEGO,10 MAY 1987,KEN,4,,Praha (CZE),05 MAY 2019,1202
89,2:07:35,,Julius Kiprono TARUS,11 NOV 1991,KEN,4,,Eindhoven (NED),13 OCT 2019,1201
90,2:07:39,,Koen NAERT,03 SEP 1989,BEL,7,,Rotterdam (NED),07 APR 2019,1200
91,2:07:46,,Abrar OSMAN,01 JAN 1994,ERI,10,,Amsterdam (NED),20 OCT 2019,1198
92,2:07:47,,Asefa MENGISA,14 MAR 1997,ETH,1,,Osaka (JPN),01 DEC 2019,1197
93,2:07:48,,Albert KANGOGO,16 AUG 1987,KEN,11,,Valencia (ESP),01 DEC 2019,1197
94,2:07:50,,Yuta SHITARA,18 DEC 1991,JPN,1,,Gold Coast (AUS),07 JUL 2019,1196
95,2:07:52,,Salah-Eddine BOUNASR,27 SEP 1990,MAR,1,,Otsu (JPN),10 MAR 2019,1196
96,2:07:54,,Tsegaye KEBEDE,15 JAN 1987,ETH,12,,Valencia (ESP),01 DEC 2019,1195
97,2:07:56,,Leonard KORIR,10 DEC 1986,USA,11,,Amsterdam (NED),20 OCT 2019,1195
98,2:07:58,,Stephen MOKOKA,31 JAN 1985,RSA,3,,Otsu (JPN),10 MAR 2019,1194
98,2:07:58,,Barselius KIPYEGO,22 JUL 1993,KEN,5,,Paris (FRA),14 APR 2019,1194
100,2:08:03,,Albert KORIR,02 MAR 1994,KEN,1,,Ottawa (CAN),26 MAY 2019,1193
