Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:01:41,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,Berlin (GER),29 SEP 2019,1302
2,2:02:37,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,London (GBR),28 APR 2019,1286
3,2:02:48,,Birhanu LEGESE,11 SEP 1994,ETH,2,,Berlin (GER),29 SEP 2019,1283
4,2:02:55,,Mosinet GEREMEW,12 FEB 1992,ETH,2,,London (GBR),28 APR 2019,1281
5,2:03:16,,Mule WASIHUN,20 OCT 1993,ETH,3,,London (GBR),28 APR 2019,1275
6,2:03:34,,Getaneh MOLLA,10 JAN 1994,ETH,1,,Dubai (UAE),25 JAN 2019,1269
7,2:03:36,,Sisay LEMMA,12 DEC 1990,ETH,3,,Berlin (GER),29 SEP 2019,1269
8,2:03:40,,Herpasa NEGASA,11 SEP 1993,ETH,2,,Dubai (UAE),25 JAN 2019,1268
9,2:03:51,,Kinde ATANAW,15 APR 1993,ETH,1,,Valencia (ESP),01 DEC 2019,1264
10,2:04:11,,Marius KIPSEREM,17 MAY 1988,KEN,1,,Rotterdam (NED),07 APR 2019,1259
11,2:04:16,,Kaan Kigen ÖZBILEN,15 JAN 1986,TUR,2,,Valencia (ESP),01 DEC 2019,1257
12,2:04:24,,Asefa MENGSTU,22 JAN 1988,ETH,3,,Dubai (UAE),25 JAN 2019,1255
13,2:04:40,,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,1,,Abu Dhabi (UAE),06 DEC 2019,1250
14,2:04:42,,Guye Idemo ADOLA,20 OCT 1990,ETH,3,,Valencia (ESP),01 DEC 2019,1250
15,2:04:46,,Titus EKIRU,02 JAN 1992,KEN,1,,Milano (ITA),07 APR 2019,1249
16,2:04:51,,Abebe NEGEWO,20 MAY 1984,ETH,4,,Valencia (ESP),01 DEC 2019,1247
17,2:05:00,,Evans CHEBET,10 NOV 1988,KEN,1,,Buenos Aires (ARG),22 SEP 2019,1245
17,2:05:00,,Philemon RONO,08 FEB 1991,KEN,1,,Toronto (CAN),20 OCT 2019,1245
19,2:05:01,,Shura KITATA,09 JUN 1996,ETH,4,,London (GBR),28 APR 2019,1244
20,2:05:02,,Emmanuel SAINA,06 SEP 1992,KEN,4,,Dubai (UAE),25 JAN 2019,1244
21,2:05:09,,Vincent KIPCHUMBA,03 AUG 1990,KEN,1,,Amsterdam (NED),20 OCT 2019,1242
21,2:05:09,,Lemi BERHANU,13 SEP 1994,ETH,2,,Toronto (CAN),20 OCT 2019,1242
23,2:05:12,,Filex Malewa CHEMONGESI,19 AUG 1993,UGA,3,,Toronto (CAN),20 OCT 2019,1241
24,2:05:13,,Benson KIPRUTO,17 MAR 1991,KEN,4,,Toronto (CAN),20 OCT 2019,1241
25,2:05:16,,Solomon DEKSISA,11 MAR 1994,ETH,2,,Amsterdam (NED),20 OCT 2019,1240
26,2:05:18,,Shifera TAMRU,01 OCT 1998,ETH,5,,Dubai (UAE),25 JAN 2019,1239
26,2:05:18,,Elisha ROTICH,12 APR 1990,KEN,3,,Amsterdam (NED),20 OCT 2019,1239
28,2:05:28,,Betesfa GETAHUN,25 SEP 1998,ETH,4,,Amsterdam (NED),20 OCT 2019,1237
29,2:05:33,,Filex Kipchirchir KIPROTICH,07 DEC 1988,KEN,1,,Daegu (KOR),07 APR 2019,1235
30,2:05:39,,Mo FARAH,23 MAR 1983,GBR,5,,London (GBR),28 APR 2019,1233
31,2:05:45,,Lawrence CHERONO,07 AUG 1988,KEN,1,,"Chicago, IL (USA)",13 OCT 2019,1232
32,2:05:46,,Dejene DEBELA,09 JAN 1995,ETH,2,,"Chicago, IL (USA)",13 OCT 2019,1231
33,2:05:53,,Bedan KAROKI,21 AUG 1990,KEN,4,,"Chicago, IL (USA)",13 OCT 2019,1229
34,2:06:00,,Thomas KIPLAGAT,01 MAR 1987,KEN,1,,Seoul (KOR),17 MAR 2019,1227
34,2:06:00,,Andualem BELAY,05 APR 1992,ETH,1,,Lisboa (POR),20 OCT 2019,1227
36,2:06:02,,Samuel NDUNGU,04 APR 1988,KEN,2,,Lisboa (POR),20 OCT 2019,1227
36,2:06:02,,Alemu BEKELE,23 MAR 1990,BRN,2,,Seoul (KOR),03 NOV 2019,1227
38,2:06:04,,Fentahun HUNEGNAW,04 JAN 1996,ETH,5,,Amsterdam (NED),20 OCT 2019,1226
39,2:06:05,,Philemon Kacheran LOKEDI,04 JUL 1992,KEN,5,,Valencia (ESP),01 DEC 2019,1226
40,2:06:09,,Kelkile GEZAHEGN,01 OCT 1996,ETH,6,,Dubai (UAE),25 JAN 2019,1225
41,2:06:12,,Ashenafi MOGES,15 NOV 1994,ETH,6,,Valencia (ESP),01 DEC 2019,1224
42,2:06:13,,Tadu ABATE,11 SEP 1997,ETH,6,,Amsterdam (NED),20 OCT 2019,1224
43,2:06:14,,Bashir ABDI,10 FEB 1989,BEL,5,,"Chicago, IL (USA)",13 OCT 2019,1224
44,2:06:16,,Sondre Nordstad MOEN,12 JAN 1991,NOR,7,,Valencia (ESP),01 DEC 2019,1223
45,2:06:17,,Abdi NAGEEYE,02 MAR 1989,NED,4,,Rotterdam (NED),07 APR 2019,1223
46,2:06:18,,Dawit WOLDE,19 MAY 1991,ETH,1,,Praha (CZE),05 MAY 2019,1222
47,2:06:21,,Joel Kemboi KIMURER,21 JAN 1988,KEN,2,,Abu Dhabi (UAE),06 DEC 2019,1222
48,2:06:22,,Mike Kiptum BOIT,14 SEP 1992,KEN,3,,Seoul (KOR),17 MAR 2019,1221
48,2:06:22,,Stephen CHEMLANY,09 AUG 1982,KEN,3,,Lisboa (POR),20 OCT 2019,1221
50,2:06:23,,Aychew BANTIE,12 SEP 1995,ETH,2,,Praha (CZE),05 MAY 2019,1221
51,2:06:24,,Morris Munene GACHAGA,07 APR 1995,KEN,7,,Amsterdam (NED),20 OCT 2019,1221
52,2:06:25,,Chele DECHASA,13 JUN 1984,ETH,3,,Seoul (KOR),03 NOV 2019,1220
53,2:06:27,,Fikre BEKELE,11 SEP 1998,ETH,4,,Seoul (KOR),17 MAR 2019,1220
54,2:06:31,,Daniel KEMBOI,1986,KEN,8,,Amsterdam (NED),20 OCT 2019,1219
55,2:06:32,,Adugna TAKELE,26 FEB 1989,ETH,7,,Dubai (UAE),25 JAN 2019,1218
56,2:06:33,,Barnabas KIPTUM,08 DEC 1986,KEN,4,,Lisboa (POR),20 OCT 2019,1218
57,2:06:36,,Tsedat Abeje AYANA,18 FEB 1996,ETH,1,,Sevilla (ESP),17 FEB 2019,1217
58,2:06:39,,Belay Asefa BEDADA,17 JUN 1992,ETH,2,,Sevilla (ESP),17 FEB 2019,1216
59,2:06:40,,Laban MUTAI,15 JAN 1988,KEN,1,,Eindhoven (NED),13 OCT 2019,1216
60,2:06:41,,Berga BIRHANU BEKELE,20 APR 1981,ETH,3,,Sevilla (ESP),17 FEB 2019,1216
61,2:06:45,,Jonathan Kipleting KORIR,20 NOV 1986,KEN,4,,Berlin (GER),29 SEP 2019,1215
62,2:06:46,,Okubay TSEGAY,01 JAN 1986,ERI,4,,Sevilla (ESP),17 FEB 2019,1214
62,2:06:46,,Amos KIPRUTO,16 SEP 1992,KEN,3,,Praha (CZE),05 MAY 2019,1214
64,2:06:49,,Daniel KIBET,17 MAY 1996,KEN,5,,Sevilla (ESP),17 FEB 2019,1214
65,2:06:50,,Tsegaye GETACHEW,30 NOV 1996,ETH,8,,Valencia (ESP),01 DEC 2019,1213
66,2:06:52,,Birhan NEBEBEW,14 AUG 1994,ETH,5,,Lisboa (POR),20 OCT 2019,1213
67,2:06:54,,Anthony MARITIM,12 NOV 1986,KEN,3,,Barcelona (ESP),10 MAR 2019,1212
68,2:06:56,,Fred MUSOBO,12 AUG 1996,UGA,3,,Daegu (KOR),07 APR 2019,1212
69,2:06:57,,Tamirat TOLA,11 AUG 1991,ETH,6,,London (GBR),28 APR 2019,1211
70,2:06:59,,Kennedy CHEBOROR,26 APR 1990,KEN,4,,Daegu (KOR),07 APR 2019,1211
