Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:01:09,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Berlin (GER),25 SEP 2022,1312
2,2:01:53,,Kelvin KIPTUM,02 DEC 1999,KEN,1,,Valencia (ESP),04 DEC 2022,1299
3,2:03:00,,Gabriel Gerald GEAY,10 SEP 1996,TAN,2,,Valencia (ESP),04 DEC 2022,1279
4,2:03:13,,Amos KIPRUTO,16 SEP 1992,KEN,2,,Tokyo (JPN),06 MAR 2022,1275
5,2:03:29,,Alexander MUNYAO,10 SEP 1996,KEN,3,,Valencia (ESP),04 DEC 2022,1271
6,2:03:40,,Tamirat TOLA,11 AUG 1991,ETH,4,,Valencia (ESP),04 DEC 2022,1268
7,2:04:24,,Benson KIPRUTO,17 MAR 1991,KEN,1,,"Chicago, IL (USA)",09 OCT 2022,1255
8,2:04:36,,Kaan Kigen ÖZBILEN,15 JAN 1986,TUR,5,,Valencia (ESP),04 DEC 2022,1251
9,2:04:43,,Asrar HIYRDEN,25 NOV 1999,ETH,1,,Sevilla (ESP),20 FEB 2022,1249
9,2:04:43,,Mosinet GEREMEW,12 FEB 1992,ETH,1,,Seoul (KOR),17 APR 2022,1249
11,2:04:47,,CyBrian KOTUT,06 JUN 1992,KEN,1,,Hamburg (GER),24 APR 2022,1248
12,2:04:48,,Stephen KISSA,01 DEC 1988,UGA,2,,Hamburg (GER),24 APR 2022,1248
13,2:04:49,,Herpasa NEGASA,11 SEP 1993,ETH,2,,Seoul (KOR),17 APR 2022,1248
13,2:04:49,,Seifu TURA,19 JUN 1997,ETH,2,,"Chicago, IL (USA)",09 OCT 2022,1248
13,2:04:49,,Tsegaye GETACHEW,30 NOV 1996,ETH,1,,Amsterdam (NED),16 OCT 2022,1248
16,2:04:51,,Daniel DO NASCIMENTO,28 JUL 1998,BRA,3,,Seoul (KOR),17 APR 2022,1247
17,2:04:54,,Titus KIPRUTO,25 JUN 1998,KEN,2,,Amsterdam (NED),16 OCT 2022,1246
18,2:04:56,,Abdi NAGEEYE,02 MAR 1989,NED,1,,Rotterdam (NED),10 APR 2022,1246
18,2:04:56,,Leul GEBRESILASE,20 SEP 1992,ETH,2,,Rotterdam (NED),10 APR 2022,1246
18,2:04:56,,Chalu DESO,14 DEC 1997,ETH,6,,Valencia (ESP),04 DEC 2022,1246
21,2:04:57,,Bazezew ASMARE,11 SEP 1996,ETH,3,,Amsterdam (NED),16 OCT 2022,1245
22,2:05:01,,John KORIR,02 DEC 1996,KEN,3,,"Chicago, IL (USA)",09 OCT 2022,1244
23,2:05:04,,Abraham KIPTOO,16 JUL 1999,KEN,4,,Amsterdam (NED),16 OCT 2022,1243
24,2:05:05,,Mohamed ESA,11 SEP 2000,ETH,5,,Amsterdam (NED),16 OCT 2022,1243
25,2:05:07,,Workineh TADESE,13 DEC 2000,ETH,3,,Hamburg (GER),24 APR 2022,1243
26,2:05:09,,Victor KIPLANGAT,10 NOV 1999,UGA,4,,Hamburg (GER),24 APR 2022,1242
27,2:05:12,,Adeledelew MAMO,1999,ETH,2,,Sevilla (ESP),20 FEB 2022,1241
27,2:05:12,,Reuben Kiprop KIPYEGO,21 AUG 1996,KEN,3,,Rotterdam (NED),10 APR 2022,1241
29,2:05:19,,Bashir ABDI,10 FEB 1989,BEL,3,,London (GBR),02 OCT 2022,1239
30,2:05:20,,Daniel KIBET,17 MAY 1996,KEN,2,,Milano (ITA),03 APR 2022,1239
30,2:05:20,,Timothy KIPLAGAT,18 SEP 1993,KEN,1,,Abu Dhabi (UAE),17 DEC 2022,1239
32,2:05:22,,Morhad AMDOUNI,21 JUN 1988,FRA,3,,Paris (FRA),03 APR 2022,1238
33,2:05:27,,Kinde ATANAW,15 APR 1993,ETH,4,,London (GBR),02 OCT 2022,1237
34,2:05:28,,Kengo SUZUKI,11 JUN 1995,JPN,4,,Tokyo (JPN),06 MAR 2022,1237
35,2:05:29,,Milkesa MENGESHA,16 APR 2000,ETH,7,,Valencia (ESP),04 DEC 2022,1236
36,2:05:32,,Nobert KIGEN,24 JAN 1993,KEN,7,,Amsterdam (NED),16 OCT 2022,1235
37,2:05:34,,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,3,,Sevilla (ESP),20 FEB 2022,1235
38,2:05:37,,Ronald KORIR,10 APR 1991,KEN,8,,Valencia (ESP),04 DEC 2022,1234
39,2:05:41,,Laban Kipngetich KORIR,30 JUN 1985,KEN,8,,Amsterdam (NED),16 OCT 2022,1233
