Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:01:39,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Berlin (GER),16 SEP 2018,1303
2,2:04:00,,Mosinet GEREMEW,12 FEB 1992,ETH,1,,Dubai (UAE),26 JAN 2018,1262
3,2:04:02,,Leul GEBRESILASE,20 SEP 1992,ETH,2,,Dubai (UAE),26 JAN 2018,1261
4,2:04:06,,Tamirat TOLA,11 AUG 1991,ETH,3,,Dubai (UAE),26 JAN 2018,1260
4,2:04:06,,Asefa MENGSTU,22 JAN 1988,ETH,4,,Dubai (UAE),26 JAN 2018,1260
4,2:04:06,,Lawrence CHERONO,07 AUG 1988,KEN,1,,Amsterdam (NED),21 OCT 2018,1260
7,2:04:08,,Sisay LEMMA,12 DEC 1990,ETH,5,,Dubai (UAE),26 JAN 2018,1260
8,2:04:15,,Birhanu LEGESE,11 SEP 1994,ETH,6,,Dubai (UAE),26 JAN 2018,1258
9,2:04:37,,Mule WASIHUN,20 OCT 1993,ETH,2,,Amsterdam (NED),21 OCT 2018,1251
10,2:04:40,,Solomon DEKSISA,11 MAR 1994,ETH,3,,Amsterdam (NED),21 OCT 2018,1250
11,2:04:43,,El Hassan EL ABBASSI,13 APR 1984,BRN,2,,Valencia (ESP),02 DEC 2018,1249
12,2:04:44,,Seifu TURA,19 JUN 1997,ETH,7,,Dubai (UAE),26 JAN 2018,1249
13,2:04:49,,Shura KITATA,09 JUN 1996,ETH,2,,London (GBR),22 APR 2018,1248
14,2:04:53,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,3,,Valencia (ESP),02 DEC 2018,1247
15,2:05:11,,Mo FARAH,23 MAR 1983,GBR,1,,"Chicago, IL (USA)",07 OCT 2018,1241
16,2:05:21,,Emmanuel SAINA,06 SEP 1992,KEN,1,,Buenos Aires (ARG),23 SEP 2018,1239
16,2:05:21,,Tsegaye KEBEDE,15 JAN 1987,ETH,4,,Valencia (ESP),02 DEC 2018,1239
18,2:05:22,,Nobert KIGEN,24 JAN 1993,KEN,5,,Valencia (ESP),02 DEC 2018,1238
19,2:05:26,,El Mahjoub DAZZA,03 MAR 1991,MAR,6,,Valencia (ESP),02 DEC 2018,1237
20,2:05:30,,Dickson CHUMBA,27 OCT 1986,KEN,1,,Tokyo (JPN),25 FEB 2018,1236
21,2:05:44,,Kenneth Kiprop KIPKEMOI,02 AUG 1984,KEN,1,,Rotterdam (NED),08 APR 2018,1232
22,2:05:50,,Abera KUMA,31 AUG 1990,ETH,2,,Rotterdam (NED),08 APR 2018,1230
22,2:05:50,,Suguru OSAKO,23 MAY 1991,JPN,3,,"Chicago, IL (USA)",07 OCT 2018,1230
24,2:05:56,,Kelkile GEZAHEGN,01 OCT 1996,ETH,3,,Rotterdam (NED),08 APR 2018,1229
25,2:05:58,,Laban Kipngetich KORIR,30 JUN 1985,KEN,4,,Rotterdam (NED),08 APR 2018,1228
26,2:05:59,,Lelisa DESISA,14 JAN 1990,ETH,1,,"New York, NY (USA)",04 NOV 2018,1228
27,2:06:07,,Galen RUPP,08 MAY 1986,USA,1,,Praha (CZE),06 MAY 2018,1225
28,2:06:11,,Yuta SHITARA,18 DEC 1991,JPN,2,,Tokyo (JPN),25 FEB 2018,1224
29,2:06:15,,Gideon Kipkemoi KIPKETER,10 NOV 1992,KEN,4,,Amsterdam (NED),21 OCT 2018,1223
30,2:06:21,,Sammy KITWARA,26 NOV 1986,KEN,7,,Valencia (ESP),02 DEC 2018,1222
31,2:06:23,,Amos KIPRUTO,16 SEP 1992,KEN,2,,Berlin (GER),16 SEP 2018,1221
32,2:06:24,,Kaan Kigen ÖZBILEN,15 JAN 1986,TUR,5,,Amsterdam (NED),21 OCT 2018,1221
32,2:06:24,,Solomon Kirwa YEGO,10 MAY 1987,KEN,8,,Valencia (ESP),02 DEC 2018,1221
34,2:06:25,,Paul LONYANGATA,12 DEC 1992,KEN,1,,Paris (FRA),08 APR 2018,1220
35,2:06:26,,Geoffrey KAMWOROR,22 NOV 1992,KEN,3,,"New York, NY (USA)",04 NOV 2018,1220
36,2:06:29,,Abraham KIPTUM,15 SEP 1989,KEN,1,,Daegu (KOR),01 APR 2018,1219
37,2:06:35,,Evans KORIR,10 JUL 1987,KEN,2,,Daegu (KOR),01 APR 2018,1218
38,2:06:41,,Ernest NGENO,20 MAY 1995,KEN,3,,Paris (FRA),08 APR 2018,1216
38,2:06:41,,Martin KIPRUGUT KOSGEY,21 MAR 1989,KEN,2,,Frankfurt (GER),28 OCT 2018,1216
40,2:06:45,,Geoffrey KIRUI,16 FEB 1993,KEN,6,,"Chicago, IL (USA)",07 OCT 2018,1215
41,2:06:47,,Tadu ABATE,11 SEP 1997,ETH,7,,Amsterdam (NED),21 OCT 2018,1214
42,2:06:48,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,3,,Berlin (GER),16 SEP 2018,1214
43,2:06:49,,Peter Kimeli SOME,05 JUN 1990,KEN,3,,Daegu (KOR),01 APR 2018,1214
44,2:06:51,,Jonathan Kipleting KORIR,20 NOV 1986,KEN,8,,Amsterdam (NED),21 OCT 2018,1213
45,2:06:54,,Hiroto INOUE,06 JAN 1993,JPN,5,,Tokyo (JPN),25 FEB 2018,1212
46,2:06:57,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,,Seoul (KOR),18 MAR 2018,1211
47,2:07:00,,Yitayal Atnafu ZERIHUN,20 JAN 1993,ETH,4,,Paris (FRA),08 APR 2018,1210
48,2:07:03,,Mark KORIR,06 AUG 1988,KEN,2,,Seoul (KOR),18 MAR 2018,1210
49,2:07:07,,Abel KIRUI,06 APR 1982,KEN,4,,London (GBR),22 APR 2018,1209
50,2:07:09,,Alex KIBET,10 NOV 1990,KEN,3,,Frankfurt (GER),28 OCT 2018,1208
51,2:07:11,,Benson KIPRUTO,17 MAR 1991,KEN,3,,Seoul (KOR),18 MAR 2018,1207
52,2:07:19,,Ayele ABSHERO,28 DEC 1990,ETH,3,,Hamburg (GER),29 APR 2018,1205
53,2:07:20,,Hillary KIPSAMBU,04 FEB 1985,KEN,9,,Amsterdam (NED),21 OCT 2018,1205
54,2:07:22,,Marius KIPSEREM,17 MAY 1988,KEN,5,,Rotterdam (NED),08 APR 2018,1204
55,2:07:25,,Abrha MILAW ASEFA,27 FEB 1988,ETH,1,,Cannes (FRA),04 NOV 2018,1203
56,2:07:27,,Yuma HATTORI,13 NOV 1993,JPN,1,,Fukuoka (JPN),02 DEC 2018,1203
57,2:07:28,,Amos MITEI,10 MAR 1992,KEN,4,,Frankfurt (GER),28 OCT 2018,1203
58,2:07:30,,Feyisa LILESA,01 FEB 1990,ETH,6,,Tokyo (JPN),25 FEB 2018,1202
59,2:07:32,,Elisha ROTICH,12 APR 1990,KEN,1,,Eindhoven (NED),14 OCT 2018,1201
60,2:07:33,,Deribe ROBI,26 SEP 1990,ETH,9,,Valencia (ESP),02 DEC 2018,1201
61,2:07:34,,Kenneth KETER,04 AUG 1996,KEN,5,,Frankfurt (GER),28 OCT 2018,1201
62,2:07:37,,Benson SEUREI,27 MAR 1984,BRN,10,,Valencia (ESP),02 DEC 2018,1200
63,2:07:38,,Laban MUTAI,15 JAN 1988,KEN,2,,Eindhoven (NED),14 OCT 2018,1200
64,2:07:45,,Marius KIMUTAI,10 DEC 1992,BRN,4,,Seoul (KOR),18 MAR 2018,1198
65,2:07:46,,Augustino Paulo SULLE,13 OCT 1997,TAN,2,,Toronto (CAN),21 OCT 2018,1198
66,2:07:50,,Vincent RONO,10 NOV 1990,KEN,3,,Eindhoven (NED),14 OCT 2018,1196
66,2:07:50,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,6,,Frankfurt (GER),28 OCT 2018,1196
68,2:07:53,,Joseph Mana NDIRANGU,09 SEP 1994,KEN,1,,Otsu (JPN),04 MAR 2018,1196
69,2:07:57,,Filex Kipchirchir KIPROTICH,07 DEC 1988,KEN,5,,Seoul (KOR),18 MAR 2018,1194
69,2:07:57,,Stephen KIPROTICH,27 FEB 1989,UGA,5,,Hamburg (GER),29 APR 2018,1194
69,2:07:57,,Taku FUJIMOTO,11 SEP 1989,JPN,8,,"Chicago, IL (USA)",07 OCT 2018,1194
72,2:07:59,,Bedan KAROKI,21 AUG 1990,KEN,9,,"Chicago, IL (USA)",07 OCT 2018,1194
73,2:08:03,,Cosmas BIRECH,21 MAR 1986,KEN,1,,Roma (ITA),08 APR 2018,1193
74,2:08:08,,Ryo KINAME,22 JAN 1991,JPN,7,,Tokyo (JPN),25 FEB 2018,1191
74,2:08:08,,Anthony MARITIM,12 NOV 1986,KEN,1,,Barcelona (ESP),11 MAR 2018,1191
76,2:08:11,,Raymond Kipchumba CHOGE,02 JAN 1988,KEN,1,,Košice (SVK),07 OCT 2018,1191
77,2:08:15,,Aychew BANTIE,12 SEP 1995,ETH,2,,Košice (SVK),07 OCT 2018,1189
78,2:08:16,,Shogo NAKAMURA,16 SEP 1992,JPN,4,,Berlin (GER),16 SEP 2018,1189
79,2:08:17,,Albert KORIR,02 MAR 1994,KEN,2,,Otsu (JPN),04 MAR 2018,1189
