Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:32,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Berlin (GER),24 SEP 2017,1270
2,2:03:46,,Guye Idemo ADOLA,20 OCT 1990,ETH,2,,Berlin (GER),24 SEP 2017,1266
3,2:03:58,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,Tokyo (JPN),26 FEB 2017,1262
4,2:04:11,,Tamirat TOLA,11 AUG 1991,ETH,1,,Dubai (UAE),20 JAN 2017,1259
5,2:05:09,,Lawrence CHERONO,07 AUG 1988,KEN,1,,Amsterdam (NED),15 OCT 2017,1242
6,2:05:13,,Nobert KIGEN,24 JAN 1993,KEN,2,,Amsterdam (NED),15 OCT 2017,1241
7,2:05:15,,Sammy KITWARA,26 NOV 1986,KEN,1,,Valencia (ESP),19 NOV 2017,1240
8,2:05:26,,Abraham KIPTUM,15 SEP 1989,KEN,3,,Amsterdam (NED),15 OCT 2017,1237
9,2:05:30,,Evans CHEBET,10 NOV 1988,KEN,2,,Valencia (ESP),19 NOV 2017,1236
10,2:05:39,,Mule WASIHUN,20 OCT 1993,ETH,4,,Amsterdam (NED),15 OCT 2017,1233
11,2:05:43,,Amos KIPRUTO,16 SEP 1992,KEN,5,,Amsterdam (NED),15 OCT 2017,1232
12,2:05:48,,Daniel KINYUA,25 MAY 1992,KEN,1,,London (GBR),23 APR 2017,1231
12,2:05:48,,Sondre Nordstad MOEN,12 JAN 1991,NOR,1,,Fukuoka (JPN),03 DEC 2017,1231
14,2:05:50,,Shura KITATA,09 JUN 1996,ETH,1,,Frankfurt (GER),29 OCT 2017,1230
15,2:05:51,,Gideon Kipkemoi KIPKETER,10 NOV 1992,KEN,2,,Tokyo (JPN),26 FEB 2017,1230
16,2:05:57,,Kenenisa BEKELE,13 JUN 1982,ETH,2,,London (GBR),23 APR 2017,1228
17,2:06:03,,Felix Kipchirchir KANDIE,10 APR 1987,KEN,2,,Seoul (KOR),19 MAR 2017,1227
18,2:06:04,,Marius KIMUTAI,10 DEC 1992,BRN,1,,Rotterdam (NED),09 APR 2017,1226
19,2:06:05,,Mark KORIR,06 AUG 1988,KEN,3,,Seoul (KOR),19 MAR 2017,1226
20,2:06:10,,Paul LONYANGATA,12 DEC 1992,KEN,1,,Paris (FRA),09 APR 2017,1225
21,2:06:12,,Mosinet GEREMEW,12 FEB 1992,ETH,3,,Berlin (GER),24 SEP 2017,1224
22,2:06:13,,Festus TALAM,20 OCT 1994,KEN,1,,Eindhoven (NED),08 OCT 2017,1224
22,2:06:13,,Felix KIRWA,08 OCT 1995,KEN,2,,Eindhoven (NED),08 OCT 2017,1224
24,2:06:14,,Vincent KIPRUTO,13 SEP 1987,KEN,5,,Berlin (GER),24 SEP 2017,1224
25,2:06:25,,Dickson CHUMBA,27 OCT 1986,KEN,3,,Tokyo (JPN),26 FEB 2017,1220
25,2:06:25,,Laban Kipngetich KORIR,30 JUN 1985,KEN,3,,Rotterdam (NED),09 APR 2017,1220
27,2:06:27,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,5,,Seoul (KOR),19 MAR 2017,1220
28,2:06:38,,Deribe ROBI,26 SEP 1990,ETH,3,,Valencia (ESP),19 NOV 2017,1217
29,2:06:43,,Marius KIPSEREM,17 MAY 1988,KEN,3,,Eindhoven (NED),08 OCT 2017,1215
30,2:06:44,,Abera KUMA,31 AUG 1990,ETH,4,,Valencia (ESP),19 NOV 2017,1215
31,2:06:52,,Philemon RONO,08 FEB 1991,KEN,1,,Toronto (CAN),22 OCT 2017,1213
32,2:06:54,,Filex Kipchirchir KIPROTICH,07 DEC 1988,KEN,1,,Gongju (KOR),15 OCT 2017,1212
33,2:06:56,,Kelkile GEZAHEGN,01 OCT 1996,ETH,2,,Frankfurt (GER),29 OCT 2017,1212
34,2:06:57,,Stephen CHEBOGUT,09 JAN 1985,KEN,2,,Paris (FRA),09 APR 2017,1211
35,2:07:10,,Dejene DEBELA,09 JAN 1995,ETH,4,,Eindhoven (NED),08 OCT 2017,1208
35,2:07:10,,Stephen KIPROTICH,27 FEB 1989,UGA,2,,Fukuoka (JPN),03 DEC 2017,1208
37,2:07:12,,Solomon Kirwa YEGO,10 MAY 1987,KEN,3,,Paris (FRA),09 APR 2017,1207
38,2:07:13,,Edwin KOECH,25 MAR 1992,KEN,1,,Milano (ITA),02 APR 2017,1207
39,2:07:19,,Lucas Kimeli ROTICH,16 APR 1990,KEN,5,,Rotterdam (NED),09 APR 2017,1205
39,2:07:19,,Suguru OSAKO,23 MAY 1991,JPN,3,,Fukuoka (JPN),03 DEC 2017,1205
41,2:07:21,,Yitayal Atnafu ZERIHUN,20 JAN 1993,ETH,4,,Paris (FRA),09 APR 2017,1205
41,2:07:21,,Benson KIPRUTO,17 MAR 1991,KEN,2,,Gongju (KOR),15 OCT 2017,1205
43,2:07:25,,Eliud KIPTANUI,06 JUN 1989,KEN,5,,Valencia (ESP),19 NOV 2017,1203
44,2:07:26,,Tsegaye MEKONNEN,15 JUN 1995,ETH,1,,Hamburg (GER),23 APR 2017,1203
45,2:07:32,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,1,,Daegu (KOR),02 APR 2017,1201
46,2:07:33,,Jacob Kibet Chulyo KENDAGOR,24 AUG 1984,KEN,6,,Seoul (KOR),19 MAR 2017,1201
47,2:07:34,,Samuel Tsegay TESFAMARIAM,24 FEB 1988,ERI,6,,Valencia (ESP),19 NOV 2017,1201
48,2:07:39,,Alfers LAGAT,07 AUG 1986,KEN,5,,Tokyo (JPN),26 FEB 2017,1200
48,2:07:39,,Tesfaye ABERA,31 MAR 1992,ETH,8,,Amsterdam (NED),15 OCT 2017,1200
50,2:07:41,,Bedan KAROKI,21 AUG 1990,KEN,3,,London (GBR),23 APR 2017,1199
51,2:07:42,,Abayneh AYELE,04 NOV 1987,ETH,5,,Paris (FRA),09 APR 2017,1199
52,2:07:43,,Titus EKIRU,02 JAN 1992,KEN,1,,Sevilla (ESP),19 FEB 2017,1198
53,2:07:45,,Abel KIRUI,06 APR 1982,KEN,4,,London (GBR),23 APR 2017,1198
54,2:07:46,,Getu FELEKE,28 NOV 1986,ETH,3,,Frankfurt (GER),29 OCT 2017,1198
55,2:07:48,,Tariku KINFU,1996,ETH,2,,Sevilla (ESP),19 FEB 2017,1197
56,2:08:04,,Sisay LEMMA,12 DEC 1990,ETH,3,,Dubai (UAE),20 JAN 2017,1192
57,2:08:06,,Julius TUWEI,26 SEP 1993,KEN,7,,Valencia (ESP),19 NOV 2017,1192
