Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
58,2:08:09,,Sisay JISA,29 DEC 1982,ETH,4,,Dubai (UAE),20 JAN 2017,1191
59,2:08:10,,Bernard Kiprop KIPYEGO,16 JUL 1986,KEN,6,,Tokyo (JPN),26 FEB 2017,1191
60,2:08:11,,Saïd AÏT ADDI,29 JUN 1982,MAR,8,,Valencia (ESP),19 NOV 2017,1191
61,2:08:12,,Reuben KERIO,02 JUN 1994,KEN,1,,Košice (SVK),01 OCT 2017,1190
62,2:08:14,,Yohanes GHEBREGERGIS,01 JAN 1989,ERI,7,,Tokyo (JPN),26 FEB 2017,1190
62,2:08:14,,Robert KWAMBAI,22 NOV 1985,KEN,3,,Gongju (KOR),15 OCT 2017,1190
64,2:08:16,,Abdi NAGEEYE,02 MAR 1989,NED,9,,Amsterdam (NED),15 OCT 2017,1189
65,2:08:22,,Hiroto INOUE,06 JAN 1993,JPN,8,,Tokyo (JPN),26 FEB 2017,1187
66,2:08:26,,Kipkemoi KIPSANG,10 OCT 1990,KEN,3,,Sevilla (ESP),19 FEB 2017,1186
66,2:08:26,,Aperumoi KACHAPIN,12 JAN 1990,KEN,10,,Amsterdam (NED),15 OCT 2017,1186
68,2:08:27,,Lemi BERHANU,13 SEP 1994,ETH,1,,Xiamen (CHN),02 JAN 2017,1186
68,2:08:27,,Geoffrey KIRUI,16 FEB 1993,KEN,1,,"Olympic Stadium, London (GBR)",06 AUG 2017,1186
70,2:08:29,,Asbel KIPSANG,10 SEP 1993,KEN,6,,Paris (FRA),09 APR 2017,1185
71,2:08:32,,Bernard Kiprop KOECH,31 JAN 1988,KEN,9,,Valencia (ESP),19 NOV 2017,1185
72,2:08:35,,Stephen MOKOKA,31 JAN 1985,RSA,1,,Shanghai (CHN),12 NOV 2017,1184
73,2:08:36,,Fikre ASSEFA,18 JAN 1989,ETH,2,,Košice (SVK),01 OCT 2017,1184
74,2:08:37,,Ayele ABSHERO,28 DEC 1990,ETH,4,,Gongju (KOR),15 OCT 2017,1183
75,2:08:38,,Ernest NGENO,20 MAY 1995,KEN,2,,Shanghai (CHN),12 NOV 2017,1183
76,2:08:39,,Mark LOKWANAMOI,01 FEB 1988,KEN,5,,Dubai (UAE),20 JAN 2017,1183
76,2:08:39,,Samuel Kiplimo KOSGEI,20 JAN 1986,KEN,7,,Paris (FRA),09 APR 2017,1183
78,2:08:40,,Albert KORIR,02 MAR 1994,KEN,1,,Wien (AUT),23 APR 2017,1182
79,2:08:42,,Ishimael BUSHENDICH,07 JUL 1991,KEN,2,,Wien (AUT),23 APR 2017,1182
80,2:08:45,,Tsegaye KEBEDE,15 JAN 1987,ETH,9,,Tokyo (JPN),26 FEB 2017,1181
80,2:08:45,,Cosmas BIRECH,21 MAR 1986,KEN,5,,Eindhoven (NED),08 OCT 2017,1181
82,2:08:46,,Richard KIPROP,03 APR 1989,KEN,8,,Paris (FRA),09 APR 2017,1181
83,2:08:47,,Gebretsadik ABRAHA,16 JUL 1992,ETH,1,,Praha (CZE),07 MAY 2017,1180
84,2:08:48,,Bazu WORKU HAYLA,15 SEP 1990,ETH,2,,Praha (CZE),07 MAY 2017,1180
85,2:08:51,,Bira SEBOKA,16 NOV 1994,ETH,11,,Amsterdam (NED),15 OCT 2017,1179
86,2:08:52,,Victor KIPCHIRCHIR,05 DEC 1987,KEN,7,,Seoul (KOR),19 MAR 2017,1179
87,2:08:57,,Jonah CHESUM,05 MAY 1989,KEN,1,,Barcelona (ESP),12 MAR 2017,1178
88,2:08:58,,Elisha ROTICH,12 APR 1990,KEN,1,,Chuncheon (KOR),29 OCT 2017,1177
89,2:08:59,,Takuya NOGUCHI,02 JUL 1988,JPN,1,,Gold Coast (AUS),02 JUL 2017,1177
90,2:09:00,,Mekuant AYENEW,24 OCT 1991,ETH,3,,Praha (CZE),07 MAY 2017,1177
91,2:09:01,,Robert CHEMOSIN,01 FEB 1989,KEN,4,,Hamburg (GER),23 APR 2017,1177
92,2:09:03,,Yuta SHITARA,18 DEC 1991,JPN,6,,Berlin (GER),24 SEP 2017,1176
93,2:09:04,,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,2,,Gold Coast (AUS),02 JUL 2017,1176
94,2:09:05,,Richard SIGEI,11 APR 1985,KEN,3,,Košice (SVK),01 OCT 2017,1175
94,2:09:05,,Evans SAMBU,21 AUG 1993,KEN,5,,Gongju (KOR),15 OCT 2017,1175
96,2:09:06,,Ezekiel CHEBII,03 JAN 1991,KEN,1,,Otsu (JPN),05 MAR 2017,1175
97,2:09:08,,Dominic RUTO,05 MAY 1990,KEN,2,,Roma (ITA),02 APR 2017,1175
98,2:09:10,,Ezekiel KEMBOI OMULLO,10 DEC 1987,KEN,3,,Wien (AUT),23 APR 2017,1174
98,2:09:10,,Alphonce Felix SIMBU,14 FEB 1992,TAN,5,,London (GBR),23 APR 2017,1174
100,2:09:11,,Anthony MARITIM,12 NOV 1986,KEN,1,,Linz (AUT),09 APR 2017,1174
