Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:00:35,,Kelvin KIPTUM,02 DEC 1999,KEN,1,,"Chicago, IL (USA)",08 OCT 2023,1322
2,2:01:48,,Sisay LEMMA,12 DEC 1990,ETH,1,,Valencia (ESP),03 DEC 2023,1300
3,2:02:42,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Berlin (GER),24 SEP 2023,1284
4,2:03:11,,Alexander MUNYAO,10 SEP 1996,KEN,2,,Valencia (ESP),03 DEC 2023,1276
5,2:03:13,,Vincent Kipkemoi NGETICH,03 JAN 1999,KEN,2,,Berlin (GER),24 SEP 2023,1275
6,2:03:24,,Tadese TAKELE,03 AUG 2002,ETH,3,,Berlin (GER),24 SEP 2023,1272
7,2:03:47,,Bashir ABDI,10 FEB 1989,BEL,1,,Rotterdam (NED),16 APR 2023,1266
8,2:03:48,,Dawit WOLDE,19 MAY 1991,ETH,3,,Valencia (ESP),03 DEC 2023,1265
9,2:03:50,,Timothy KIPLAGAT,18 SEP 1993,KEN,2,,Rotterdam (NED),16 APR 2023,1265
10,2:04:02,,Benson KIPRUTO,17 MAR 1991,KEN,2,,"Chicago, IL (USA)",08 OCT 2023,1261
11,2:04:09,,Bernard Kiprop KOECH,31 JAN 1988,KEN,1,,Hamburg (GER),23 APR 2023,1259
12,2:04:18,,Joshua BELET,10 FEB 1998,KEN,1,,Amsterdam (NED),15 OCT 2023,1257
13,2:04:19,,Kenenisa BEKELE,13 JUN 1982,ETH,4,,Valencia (ESP),03 DEC 2023,1256
14,2:04:22,,Ronald KORIR,10 APR 1991,KEN,4,,Berlin (GER),24 SEP 2023,1256
15,2:04:23,,Geoffrey KAMWOROR,22 NOV 1992,KEN,2,,London (GBR),23 APR 2023,1255
16,2:04:33,,Gabriel Gerald GEAY,10 SEP 1996,TAN,5,,Valencia (ESP),03 DEC 2023,1252
17,2:04:34,,CyBrian KOTUT,06 JUN 1992,KEN,2,,Amsterdam (NED),15 OCT 2023,1252
18,2:04:37,,Bethwel KIBET,04 AUG 1991,KEN,3,,Amsterdam (NED),15 OCT 2023,1251
19,2:04:42,,Haftu TEKLU,21 JAN 2000,ETH,5,,Berlin (GER),24 SEP 2023,1250
20,2:04:44,,Andualem BELAY,05 APR 1992,ETH,6,,Berlin (GER),24 SEP 2023,1249
