Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:03:23,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,Berlin (GER),29 SEP 2013,1273
2,2:03:45,,Dennis KIMETTO,22 APR 1984,KEN,1,,"Chicago, IL (USA)",13 OCT 2013,1266
3,2:03:52,,Emmanuel MUTAI,12 OCT 1984,KEN,2,,"Chicago, IL (USA)",13 OCT 2013,1264
4,2:04:05,,Eliud KIPCHOGE,05 NOV 1984,KEN,2,,Berlin (GER),29 SEP 2013,1260
5,2:04:45,,Lelisa DESISA,14 JAN 1990,ETH,1,,Dubai (UAE),25 JAN 2013,1249
6,2:04:48,,Berhanu SHIFERAW,31 MAY 1993,ETH,2,,Dubai (UAE),25 JAN 2013,1248
7,2:04:49,,Tadesse TOLA,31 OCT 1987,ETH,3,,Dubai (UAE),25 JAN 2013,1248
8,2:04:52,,Endeshaw NEGESSE,13 MAR 1988,ETH,4,,Dubai (UAE),25 JAN 2013,1247
9,2:04:53,,Bernard Kiprop KOECH,31 JAN 1988,KEN,5,,Dubai (UAE),25 JAN 2013,1247
10,2:05:16,,Sammy KITWARA,26 NOV 1986,KEN,3,,"Chicago, IL (USA)",13 OCT 2013,1240
11,2:05:36,,Wilson Kwambai CHEBET,12 JUL 1985,KEN,1,,Amsterdam (NED),20 OCT 2013,1234
12,2:05:38,,Peter Kimeli SOME,05 JUN 1990,KEN,1,,Paris (FRA),07 APR 2013,1234
12,2:05:38,,Tilahun REGASSA,18 JAN 1990,ETH,1,,Rotterdam (NED),14 APR 2013,1234
14,2:06:04,,Tsegaye KEBEDE,15 JAN 1987,ETH,1,,London (GBR),21 APR 2013,1226
15,2:06:06,,Girmay Birhanu GEBRU,27 JAN 1987,ETH,2,,Amsterdam (NED),20 OCT 2013,1226
16,2:06:15,,Vincent KIPRUTO,13 SEP 1987,KEN,1,,Frankfurt (GER),27 OCT 2013,1223
17,2:06:16,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,2,,Frankfurt (GER),27 OCT 2013,1223
18,2:06:25,,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,,Seoul (KOR),03 NOV 2013,1220
19,2:06:26,,Geoffrey KAMWOROR,22 NOV 1992,KEN,3,,Berlin (GER),29 SEP 2013,1220
20,2:06:33,,Nicholas KIPKEMBOI,05 JUL 1986,KEN,6,,Dubai (UAE),25 JAN 2013,1218
21,2:06:34,,Eric NDIEMA,28 DEC 1992,KEN,3,,Paris (FRA),07 APR 2013,1218
22,2:06:35,,Stephen TUM,12 JUL 1986,KEN,1,,Marrakech (MAR),27 JAN 2013,1218
23,2:06:45,,Getu FELEKE,28 NOV 1986,ETH,2,,Rotterdam (NED),14 APR 2013,1215
24,2:06:56,,Mergersa BACHA,18 JAN 1985,ETH,4,,Paris (FRA),07 APR 2013,1212
24,2:06:56,,Micah Kemboi KOGO,30 JUN 1986,KEN,4,,"Chicago, IL (USA)",13 OCT 2013,1212
26,2:06:57,,Philip Sanga KIMUTAI,10 SEP 1983,KEN,5,,Paris (FRA),07 APR 2013,1211
26,2:06:57,,Ayele ABSHERO,28 DEC 1990,ETH,3,,London (GBR),21 APR 2013,1211
28,2:06:58,,Michael KIPYEGO,02 OCT 1983,KEN,2,,Tokyo (JPN),24 FEB 2013,1211
29,2:06:59,,Franklin CHEPKWONY,15 JUN 1984,KEN,1,,Seoul (KOR),17 MAR 2013,1211
30,2:07:05,,Deressa CHIMSA,21 NOV 1976,ETH,1,,Toronto (CAN),20 OCT 2013,1209
