Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:04:15,,Geoffrey MUTAI,07 OCT 1981,KEN,1,,Berlin (GER),30 SEP 2012,1258
2,2:04:16,,Dennis KIMETTO,22 APR 1984,KEN,2,,Berlin (GER),30 SEP 2012,1257
3,2:04:23,,Ayele ABSHERO,28 DEC 1990,ETH,1,,Dubai (UAE),27 JAN 2012,1255
4,2:04:38,,Tsegaye KEBEDE,15 JAN 1987,ETH,1,,"Chicago, IL (USA)",07 OCT 2012,1251
5,2:04:44,,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,,London (GBR),22 APR 2012,1249
6,2:04:48,,Yemane TSEGAY,08 APR 1985,ETH,1,,Rotterdam (NED),15 APR 2012,1248
7,2:04:50,,Dino SEFIR,28 MAY 1988,ETH,2,,Dubai (UAE),27 JAN 2012,1247
7,2:04:50,,Getu FELEKE,28 NOV 1986,ETH,2,,Rotterdam (NED),15 APR 2012,1247
9,2:04:52,,Feyisa LILESA,01 FEB 1990,ETH,2,,"Chicago, IL (USA)",07 OCT 2012,1247
10,2:04:54,,Markos GENETI,07 JUN 1984,ETH,3,,Dubai (UAE),27 JAN 2012,1246
11,2:04:56,,Jonathan MAIYO,05 MAY 1988,KEN,4,,Dubai (UAE),27 JAN 2012,1246
12,2:05:03,,Moses MOSOP,07 JUL 1985,KEN,3,,Rotterdam (NED),15 APR 2012,1244
13,2:05:10,,Tadesse TOLA,31 OCT 1987,ETH,5,,Dubai (UAE),27 JAN 2012,1242
14,2:05:12,,Stanley Kipleting BIWOTT,21 APR 1986,KEN,1,,Paris (FRA),15 APR 2012,1241
15,2:05:27,,Tilahun REGASSA,18 JAN 1990,ETH,3,,"Chicago, IL (USA)",07 OCT 2012,1237
16,2:05:37,,Wilson Loyanae ERUPE,20 NOV 1988,KEN,1,,Seoul (KOR),18 MAR 2012,1234
17,2:05:41,,Dadi Yami GEMEDA,02 APR 1988,ETH,6,,Dubai (UAE),27 JAN 2012,1233
17,2:05:41,,Wilson Kwambai CHEBET,12 JUL 1985,KEN,1,,Amsterdam (NED),21 OCT 2012,1233
19,2:05:42,,Shami Abdullah DAWIT,16 JUL 1984,ETH,7,,Dubai (UAE),27 JAN 2012,1233
19,2:05:42,,Deressa CHIMSA,21 NOV 1976,ETH,8,,Dubai (UAE),27 JAN 2012,1233
21,2:05:46,,Dickson CHUMBA,27 OCT 1986,KEN,1,,Eindhoven (NED),14 OCT 2012,1231
22,2:05:50,,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,,Seoul (KOR),04 NOV 2012,1230
23,2:05:54,,Sammy KITWARA,26 NOV 1986,KEN,4,,"Chicago, IL (USA)",07 OCT 2012,1229
24,2:06:05,,Mariko KIPCHUMBA KIPLAGAT,04 JUL 1974,KEN,1,,Reims (FRA),21 OCT 2012,1226
25,2:06:08,,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,,Frankfurt (GER),28 OCT 2012,1225
26,2:06:11,,Franklin CHEPKWONY,15 JUN 1984,KEN,2,,Eindhoven (NED),14 OCT 2012,1224
27,2:06:12,,Geoffrey KAMWOROR,22 NOV 1992,KEN,3,,Berlin (GER),30 SEP 2012,1224
28,2:06:13,,Wesley KORIR,15 NOV 1982,KEN,5,,"Chicago, IL (USA)",07 OCT 2012,1224
29,2:06:17,,Seboka Dibaba TOLA,10 NOV 1987,ETH,9,,Dubai (UAE),27 JAN 2012,1223
29,2:06:17,,Eric NDIEMA,28 DEC 1992,KEN,3,,Eindhoven (NED),14 OCT 2012,1223
31,2:06:22,,Assefa BENTAYEHU,,ETH,2,,Amsterdam (NED),21 OCT 2012,1221
32,2:06:23,,Gebretsadik ABRAHA,16 JUL 1992,ETH,3,,Amsterdam (NED),21 OCT 2012,1221
33,2:06:24,,Raji ASSEFA,18 FEB 1986,ETH,2,,Paris (FRA),15 APR 2012,1221
34,2:06:26,,Feysa BEKELE,04 AUG 1983,ETH,4,,Amsterdam (NED),21 OCT 2012,1220
35,2:06:27,,Sisay JISA,29 DEC 1982,ETH,3,,Paris (FRA),15 APR 2012,1220
