Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:06:14,,Felix LIMO,22 AUG 1980,KEN,1,,Rotterdam (NED),04 APR 2004,1224
2,2:06:16,,Evans RUTTO,08 APR 1978,KEN,1,,"Chicago, IL (USA)",10 OCT 2004,1223
3,2:06:23,,Robert CHEBOROR,09 SEP 1978,KEN,1,,Amsterdam (NED),17 OCT 2004,1221
4,2:06:48,,Sammy Kipchoge KORIR,12 DEC 1971,KEN,2,,London (GBR),18 APR 2004,1214
5,2:06:49,,Joseph RIRI,1973,KEN,2,,Berlin (GER),26 SEP 2004,1214
6,2:07:02,,Jaouad GHARIB,22 MAY 1972,MAR,3,,London (GBR),18 APR 2004,1210
7,2:07:05,,Joshua CHELANGA,07 APR 1973,KEN,3,,Berlin (GER),26 SEP 2004,1209
8,2:07:06,,Gert THYS,12 NOV 1971,RSA,1,,Seoul (KOR),14 MAR 2004,1209
9,2:07:42,,José RÍOS,15 MAR 1974,ESP,1,,Otsu (JPN),07 MAR 2004,1199
10,2:07:43,,William KIPSANG,26 JUN 1977,KEN,2,,Seoul (KOR),14 MAR 2004,1198
11,2:07:44,,Daniel NJENGA,07 MAY 1976,KEN,2,,"Chicago, IL (USA)",10 OCT 2004,1198
12,2:07:50,,Toshinari TAKAOKA,24 SEP 1970,JPN,3,,"Chicago, IL (USA)",10 OCT 2004,1196
13,2:08:10,,Mbarak HUSSEIN,04 APR 1965,USA,3,,Seoul (KOR),14 MAR 2004,1191
14,2:08:11,,Teferi WODAJO,27 JAN 1982,ETH,4,,Seoul (KOR),14 MAR 2004,1191
15,2:08:15,,Bong-ju LEE,11 OCT 1970,KOR,5,,Seoul (KOR),14 MAR 2004,1189
16,2:08:18,,Tadayuki OJIMA,22 NOV 1976,JPN,2,,Otsu (JPN),07 MAR 2004,1189
17,2:08:27,,Jimmy Mwangangi MUINDI,14 AUG 1973,KEN,4,,"Chicago, IL (USA)",10 OCT 2004,1186
18,2:08:33,,Wilson ONSARE,15 JUN 1976,KEN,3,,Otsu (JPN),07 MAR 2004,1184
19,2:08:35,,Samson KANDIE,20 APR 1971,KEN,1,,Wien (AUT),16 MAY 2004,1184
20,2:08:36,,Atsushi SATO,08 MAY 1978,JPN,4,,Otsu (JPN),07 MAR 2004,1184
21,2:08:37,,Stefano BALDINI,25 MAY 1971,ITA,4,,London (GBR),18 APR 2004,1183
22,2:08:38,,Fredrick CHERONO,23 NOV 1977,KEN,1,,Torino (ITA),18 APR 2004,1183
22,2:08:38,,Daniel Kiplagat CHERIBO,1981,KEN,1,,Milano (ITA),28 NOV 2004,1183
24,2:08:44,,Khalid KHANNOUCHI,22 DEC 1971,USA,5,,"Chicago, IL (USA)",10 OCT 2004,1181
25,2:08:46,,Satoshi OSAKI,04 JUN 1976,JPN,2,,Tokyo (JPN),08 FEB 2004,1181
26,2:08:48,,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,6,,"Chicago, IL (USA)",10 OCT 2004,1180
27,2:08:54,,Young-joon JI,15 OCT 1981,KOR,6,,Seoul (KOR),14 MAR 2004,1179
28,2:08:56,,Kazutoshi TAKATSUKA,08 AUG 1976,JPN,5,,Otsu (JPN),07 MAR 2004,1178
28,2:08:56,,Ambesse TOLOSSA,28 AUG 1977,ETH,1,,Paris (FRA),04 APR 2004,1178
30,2:09:07,,Michael Kosgei ROTICH,29 OCT 1982,KEN,2,,Rotterdam (NED),04 APR 2004,1175
30,2:09:07,,Tesfaye TOLA,19 OCT 1974,ETH,5,,London (GBR),18 APR 2004,1175
32,2:09:08,,Luís JESUS,19 NOV 1968,POR,5,,Berlin (GER),26 SEP 2004,1175
33,2:09:10,,Boaz KIMAIYO,10 DEC 1976,KEN,1,,Frankfurt (GER),31 OCT 2004,1174
33,2:09:10,,Tsuyoshi OGATA,11 MAY 1973,JPN,1,,Fukuoka (JPN),05 DEC 2004,1174
35,2:09:20,,Willy CHERUIYOT,02 AUG 1974,KEN,1,,Eindhoven (NED),10 OCT 2004,1171
36,2:09:21,,Stephen KIOGORA,10 NOV 1974,KEN,7,,"Chicago, IL (USA)",10 OCT 2004,1171
37,2:09:23,,Benjamin KIPCHUMBA,1976,KEN,2,,Milano (ITA),28 NOV 2004,1170
38,2:09:25,,Yuko MATSUMIYA,21 FEB 1980,JPN,6,,Otsu (JPN),07 MAR 2004,1170
39,2:09:27,,Benedict Muli KIMONDIU,30 NOV 1977,KEN,3,,Tokyo (JPN),08 FEB 2004,1169
40,2:09:28,,Yokinobu NAKAZAKI,04 APR 1979,JPN,4,,Tokyo (JPN),08 FEB 2004,1169
41,2:09:29,,Alberico DI CECCO,19 APR 1974,ITA,2,,Torino (ITA),18 APR 2004,1169
42,2:09:32,,Shin-ichi WATANABE,16 NOV 1976,JPN,6,,Berlin (GER),26 SEP 2004,1168
43,2:09:34,,Pavel LOSKUTOV,02 DEC 1969,EST,1,,Seoul (KOR),07 NOV 2004,1167
44,2:09:35,,Benoit ZWIERZCHLEWSKI,19 AUG 1976,FRA,6,,London (GBR),18 APR 2004,1167
45,2:09:39,,Vanderlei Cordeiro DE LIMA,11 AUG 1969,BRA,1,,Hamburg (GER),18 APR 2004,1166
46,2:09:41,,Luis NOVO,29 MAY 1970,POR,7,,Berlin (GER),26 SEP 2004,1165
47,2:09:42,,Abdelkader EL MOUAZIZ,1969,MAR,7,,London (GBR),18 APR 2004,1165
48,2:09:43,,Tomoyuki SATO,31 JAN 1981,JPN,5,,Tokyo (JPN),08 FEB 2004,1165
49,2:09:47,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,8,,Berlin (GER),26 SEP 2004,1164
50,2:09:52,,Andrew SAMBU,05 OCT 1972,TAN,2,,Seoul (KOR),07 NOV 2004,1162
51,2:09:55,,Viktor RÖTHLIN,14 OCT 1974,SUI,1,,Zürich (SUI),04 APR 2004,1162
52,2:09:58,,Lee TROOP,22 MAR 1973,AUS,8,,London (GBR),18 APR 2004,1161
53,2:10:07,,Muneyuki OJIMA,25 SEP 1975,JPN,8,,Otsu (JPN),07 MAR 2004,1158
53,2:10:07,,Philip SINGOEI,31 DEC 1975,KEN,2,,Eindhoven (NED),10 OCT 2004,1158
55,2:10:08,,Raymond Kipkoech CHEMWELO,19 JUL 1978,KEN,2,,Paris (FRA),04 APR 2004,1158
56,2:10:10,,El Hassan LAHSSINI,01 JAN 1975,FRA,3,,Amsterdam (NED),17 OCT 2004,1157
57,2:10:12,,Ruggero PERTILE,08 AUG 1974,ITA,1,,Roma (ITA),28 MAR 2004,1157
58,2:10:13,,John Yuda MSURI,09 JUN 1979,TAN,9,,London (GBR),18 APR 2004,1157
59,2:10:16,,Christopher CHEBOIBOCH,03 MAR 1977,KEN,1,,Leipzig (GER),25 APR 2004,1156
60,2:10:19,,Barnabas KOECH,1978,KEN,3,,Eindhoven (NED),10 OCT 2004,1155
61,2:10:22,,James ROTICH,22 DEC 1978,KEN,1,,Köln (GER),12 SEP 2004,1154
62,2:10:26,,Henry Kosgei CHERONO,17 JUL 1978,KEN,2,,Köln (GER),12 SEP 2004,1153
63,2:10:30,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,3,,Paris (FRA),04 APR 2004,1152
64,2:10:32,,Thomas CHEMITEI,22 MAY 1978,KEN,3,,Köln (GER),12 SEP 2004,1151
65,2:10:33,,Harun TOROITICH,1978,KEN,1,,"Tempe, AZ (USA)",11 JAN 2004,1151
65,2:10:33,,Girma TOLA,19 OCT 1974,ETH,1,,Enschede (NED),16 MAY 2004,1151
67,2:10:38,,Michitaka HOSOKAWA,26 APR 1976,JPN,6,,Tokyo (JPN),08 FEB 2004,1150
67,2:10:38,,Samson RAMADHANI,25 DEC 1982,TAN,7,,Seoul (KOR),14 MAR 2004,1150
67,2:10:38,,Robert Kiprotich CHERUIYOT,20 DEC 1974,KEN,5,,Paris (FRA),04 APR 2004,1150
67,2:10:38,,Guta ABIYOTE,10 OCT 1985,ETH,4,,Köln (GER),12 SEP 2004,1150
71,2:10:42,,James MOIBEN,20 APR 1977,KEN,1,,Beijing (CHN),17 OCT 2004,1149
72,2:10:44,,Thomas Nyakundi OMWENGA,22 NOV 1979,KEN,4,,Seoul (KOR),07 NOV 2004,1148
73,2:10:47,,Hosea KIMUTAI KIPTANUI,1978,KEN,1,,Brescia (ITA),14 MAR 2004,1147
74,2:10:49,,Khalid BOUMELILI,10 APR 1978,MAR,1,,Marrakech (MAR),18 JAN 2004,1147
75,2:10:52,,Enock MITEI,26 NOV 1980,KEN,3,,Milano (ITA),28 NOV 2004,1146
76,2:10:56,,Christopher ISEGWE,22 FEB 1976,TAN,2,,Beijing (CHN),17 OCT 2004,1145
77,2:10:57,,Luke METTO,1976,KEN,5,,Seoul (KOR),07 NOV 2004,1145
78,2:11:00,,James WAINAINA,16 JUN 1981,KEN,7,,Tokyo (JPN),08 FEB 2004,1144
78,2:11:00,,John Ekiru KELAI,29 DEC 1976,KEN,1,,Bruxelles (BEL),10 OCT 2004,1144
80,2:11:01,,Tadakatsu MUKAE,17 OCT 1976,JPN,9,,Otsu (JPN),07 MAR 2004,1143
81,2:11:03,,Erick WAINAINA,19 DEC 1973,KEN,8,,Tokyo (JPN),08 FEB 2004,1143
82,2:11:04,,Alberto CHAICA,17 SEP 1973,POR,8,,Seoul (KOR),14 MAR 2004,1143
83,2:11:05,,Toshiya KATAYAMA,23 APR 1973,JPN,9,,Tokyo (JPN),08 FEB 2004,1142
84,2:11:07,,Jomo KORORIA,1980,KEN,2,,"Tempe, AZ (USA)",11 JAN 2004,1142
85,2:11:10,,Ernest KIPYEGO,06 OCT 1978,KEN,2,,Leipzig (GER),25 APR 2004,1141
86,2:11:13,,Nelson Kiprono LEBO,27 DEC 1977,KEN,1,,Sevilla (ESP),29 FEB 2004,1140
86,2:11:13,,Migidio BOURIFA,31 JAN 1969,ITA,2,,Roma (ITA),28 MAR 2004,1140
86,2:11:13,,Luke KIBET,12 APR 1983,KEN,2,,Enschede (NED),16 MAY 2004,1140
89,2:11:17,,Oleg BOLOKHOVETS,20 APR 1976,RUS,2,,Sevilla (ESP),29 FEB 2004,1139
90,2:11:19,,Kamal ZIANI,20 FEB 1972,ESP,10,,Tokyo (JPN),08 FEB 2004,1138
90,2:11:19,,Johnstone Kipkorir CHEPKWONY,05 MAY 1984,KEN,2,,Brescia (ITA),14 MAR 2004,1138
92,2:11:26,,Isaac Wanjohi MACHARIA,25 NOV 1978,KEN,9,,Berlin (GER),26 SEP 2004,1137
93,2:11:28,,Romulo Wagner DA SILVA,26 MAY 1977,BRA,3,,Rotterdam (NED),04 APR 2004,1136
94,2:11:29,,Mebrahtom KEFLEZIGHI,05 MAY 1975,USA,2,,"Olympic Stadium, Athina (GRE)",29 AUG 2004,1136
95,2:11:30,,Joseph Peter KADON,1970,KEN,3,,Sevilla (ESP),29 FEB 2004,1135
96,2:11:32,,Yi-yong KIM,20 SEP 1973,KOR,6,,Seoul (KOR),07 NOV 2004,1135
97,2:11:37,,Satoshi IRIFUNE,14 DEC 1975,JPN,11,,Tokyo (JPN),08 FEB 2004,1134
98,2:11:42,,Alan CULPEPPER,15 SEP 1972,USA,1,,"Birmingham, AL (USA)",07 FEB 2004,1132
98,2:11:42,,Procopio FRANCO HERNÁNDEZ,08 JUL 1970,MEX,2,,Torreón (MEX),07 MAR 2004,1132
98,2:11:42,,Ryuji TAKEI,18 MAY 1971,JPN,10,,Otsu (JPN),07 MAR 2004,1132
