Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:04:26,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,,Berlin (GER),30 SEP 2007,1254
2,2:06:29,,Emmanuel MUTAI,12 OCT 1984,KEN,1,,Amsterdam (NED),21 OCT 2007,1219
3,2:06:39,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,,Fukuoka (JPN),02 DEC 2007,1216
4,2:06:45,,Richard LIMO,18 NOV 1980,KEN,2,,Amsterdam (NED),21 OCT 2007,1215
5,2:06:50,,Deriba Merga EJIGU,26 OCT 1980,ETH,2,,Fukuoka (JPN),02 DEC 2007,1213
6,2:06:51,,Abel KIRUI,06 APR 1982,KEN,2,,Berlin (GER),30 SEP 2007,1213
7,2:07:12,,Paul Kiprop KIRUI,05 FEB 1980,KEN,3,,Amsterdam (NED),21 OCT 2007,1207
7,2:07:12,,James ROTICH,22 DEC 1978,KEN,4,,Amsterdam (NED),21 OCT 2007,1207
9,2:07:13,,Atsushi SATO,08 MAY 1978,JPN,3,,Fukuoka (JPN),02 DEC 2007,1207
10,2:07:19,,Mubarak Hassan SHAMI,02 DEC 1980,QAT,1,,Paris (FRA),15 APR 2007,1205
11,2:07:29,,Salim KIPSANG,22 DEC 1979,KEN,3,,Berlin (GER),30 SEP 2007,1202
12,2:07:32,,Rodgers ROP,16 FEB 1976,KEN,1,,Hamburg (GER),29 APR 2007,1201
13,2:07:33,,Oleksandr KUZIN,21 OCT 1974,UKR,1,,Linz (AUT),15 APR 2007,1201
13,2:07:33,,Wilfred Kibet KIGEN,23 FEB 1975,KEN,2,,Hamburg (GER),29 APR 2007,1201
15,2:07:34,,Yonas KIFLE,05 NOV 1977,ERI,5,,Amsterdam (NED),21 OCT 2007,1201
16,2:07:41,,Martin Kiptolo LEL,29 OCT 1978,KEN,1,,London (GBR),22 APR 2007,1199
17,2:07:42,,Kenai Kiprotich KENEI,01 JAN 1978,KEN,3,,Hamburg (GER),29 APR 2007,1199
18,2:07:44,,Abderrahim GOUMRI,21 MAY 1976,MAR,2,,London (GBR),22 APR 2007,1198
19,2:07:47,,Felix LIMO,22 AUG 1980,KEN,3,,London (GBR),22 APR 2007,1197
