distance,unit,time,what,who,year,country,countryIso,countryIsoTwo,average speed km/h,gender,info,,
42195,m,02:00:35,WR Men,Kelvin KIPTUM,2023 WR (M),men,KEN,ke,20.99,m,02:00:35,,
42195,m,02:06:14,Fastest Time Men,Felix LIMO,2004 Fastest (M),menOld,KEN,ke,20.06,m,+05:39,40319,
42195,m,02:11:53,WR Woman,Tigst ASSEFA,2023 WR (W),woman,ETH,et,18.58,f,02:11:53,,
42195,m,02:19:41,Fastest Time Woman,Yoko SHIBUI,2004 Fastest (W),womanOld,JPN,jp,17.74,f,+07:48,39015,3180
42195,m,04:29:53,«good» time for all sexes,non-pro all sexes,Good Time non-pro runner,user,,,11.09,f,+02:18:00
