Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:22:11,,Irina MIKITENKO,23 AUG 1972,GER,1,,London (GBR),26 APR 2009,1211
2,2:23:12,,Mara YAMAUCHI,13 AUG 1973,GBR,2,,London (GBR),26 APR 2009,1201
3,2:23:42,,Yoko SHIBUI,14 MAR 1979,JPN,1,,Osaka (JPN),25 JAN 2009,1196
4,2:24:02,,Bezunesh BEKELE,29 JAN 1983,ETH,1f1,,Dubai (UAE),16 JAN 2009,1192
5,2:24:18,,Teyba ERKESSO,30 OCT 1982,ETH,1f1,,"Houston, TX (USA)",18 JAN 2009,1189
6,2:24:24,,Liliya SHOBUKHOVA,13 NOV 1977,RUS,3,,London (GBR),26 APR 2009,1188
7,2:24:42,,Atsede BAYISA,16 APR 1987,ETH,1,,Paris (FRA),05 APR 2009,1185
8,2:24:47,,Atsede HABTAMU,26 OCT 1987,ETH,1,,Berlin (GER),20 SEP 2009,1185
9,2:25:02,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,2,,Paris (FRA),05 APR 2009,1182
10,2:25:06,,Svetlana ZAKHAROVA,15 SEP 1970,RUS,4,,London (GBR),26 APR 2009,1181
11,2:25:10,,Kiyoko SHIMAHARA,22 DEC 1976,JPN,1,,Sapporo (JPN),30 AUG 2009,1181
12,2:25:15,,Xue BAI,13 DEC 1988,CHN,1,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1180
13,2:25:24,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,1,,Ljubljana (SLO),25 OCT 2009,1178
14,2:25:25,,Yoshimi OZAKI,01 JUL 1981,JPN,2,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1178
15,2:25:30,,Berhane ADERE,23 NOV 1973,ETH,5,,London (GBR),26 APR 2009,1177
16,2:25:35,,Helena Loshanyang KIROP,09 SEP 1976,KEN,3f1,,Dubai (UAE),16 JAN 2009,1177
17,2:25:37,,Robe GUTA,12 OCT 1986,ETH,1,,Seoul (KOR),14 MAR 2009,1176
18,2:25:38,,Mizuho NASUKAWA,22 NOV 1979,JPN,1,,Tokyo (JPN),22 MAR 2009,1176
19,2:25:39,,Chunxiu ZHOU,15 NOV 1978,CHN,4,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1176
20,2:25:40,,Yukiko AKABA,18 OCT 1979,JPN,2,,Osaka (JPN),25 JAN 2009,1176
21,2:25:43,,Christelle DAUNAY,05 DEC 1974,FRA,3,,Paris (FRA),05 APR 2009,1175
22,2:25:49,,Ashu KASIM,20 OCT 1984,ETH,4,,Paris (FRA),05 APR 2009,1174
23,2:25:53,,Tatyana PETROVA,08 APR 1983,RUS,4f1,,Dubai (UAE),16 JAN 2009,1174
24,2:26:03,,Marisa BARROS,25 FEB 1980,POR,1f1,,Sevilla (ESP),22 FEB 2009,1172
25,2:26:08,,Xiaolin ZHU,20 FEB 1984,CHN,5,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1171
26,2:26:22,,Agnes KIPROP,14 JAN 1980,KEN,1,,Torino (ITA),19 APR 2009,1169
26,2:26:22,,Catherine NDEREBA,21 JUL 1972,KEN,6,,London (GBR),26 APR 2009,1169
28,2:26:24,,Silviya SKVORTSOVA,16 NOV 1974,RUS,2,,Berlin (GER),20 SEP 2009,1168
29,2:26:29,,Tomo MORIMOTO,27 DEC 1983,JPN,7,,London (GBR),26 APR 2009,1168
30,2:26:30,,Nailia IULAMANOVA,06 SEP 1980,RUS,1,,Rotterdam (NED),05 APR 2009,1167
31,2:26:37,,Genet GETANEH,06 JAN 1986,ETH,5f1,,Dubai (UAE),16 JAN 2009,1166
32,2:26:38,,Mamitu DASKA,16 OCT 1983,ETH,3,,Berlin (GER),20 SEP 2009,1166
33,2:26:45,,Rosaria CONSOLE,17 DEC 1979,ITA,4,,Berlin (GER),20 SEP 2009,1165
34,2:26:51,,Eyerusalem KUMA,07 SEP 1981,ETH,6f1,,Dubai (UAE),16 JAN 2009,1164
35,2:26:53,,Amane GOBENA,11 SEP 1986,ETH,2,,"Los Angeles, CA (USA)",25 MAY 2009,1164
36,2:26:54,,Gete WAMI,11 DEC 1974,ETH,8,,London (GBR),26 APR 2009,1163
37,2:26:55,,Tetyana FILONYUK,05 APR 1984,UKR,2,,Ljubljana (SLO),25 OCT 2009,1163
38,2:26:57,,Yumiko HARA,09 JAN 1982,JPN,3,,Osaka (JPN),25 JAN 2009,1163
38,2:26:57,,Yuri KANO,27 OCT 1978,JPN,7,,"Olympiastadion, Berlin (GER)",23 AUG 2009,1163
