Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:11:53,,Tigst ASSEFA,03 DEC 1996,ETH,1,,Berlin (GER),24 SEP 2023,1318
2,2:13:44,,Sifan HASSAN,01 JAN 1993,NED,1,,"Chicago, IL (USA)",08 OCT 2023,1299
3,2:15:37,,Ruth CHEPNGETICH,08 AUG 1994,KEN,2,,"Chicago, IL (USA)",08 OCT 2023,1279
4,2:15:51,,Worknesh DEGEFA,28 OCT 1990,ETH,1,,Valencia (ESP),03 DEC 2023,1276
5,2:16:22,,Almaz AYANA,21 NOV 1991,ETH,2,,Valencia (ESP),03 DEC 2023,1271
6,2:16:28,,Rosemary WANJIRU,09 DEC 1994,KEN,1,,Tokyo (JPN),05 MAR 2023,1270
7,2:16:56,,Tsehay GEMECHU,12 DEC 1998,ETH,2,,Tokyo (JPN),05 MAR 2023,1265
8,2:17:09,,Megertu ALEMU,12 OCT 1997,ETH,3,,"Chicago, IL (USA)",08 OCT 2023,1263
9,2:17:23,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,4,,"Chicago, IL (USA)",08 OCT 2023,1260
10,2:17:49,,Sheila CHEPKIRUI,27 DEC 1990,KEN,2,,Berlin (GER),24 SEP 2023,1256
11,2:17:59,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,3,,Valencia (ESP),03 DEC 2023,1254
12,2:18:09,,Ruti AGA,16 JAN 1994,ETH,1,,Dongying (CHN),22 OCT 2023,1252
13,2:18:21,,Meseret BELETE,16 SEP 1999,ETH,1,,Amsterdam (NED),15 OCT 2023,1250
14,2:18:38,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,3,,London (GBR),23 APR 2023,1247
15,2:18:41,,Magdalena SHAURI,25 FEB 1996,TAN,3,,Berlin (GER),24 SEP 2023,1247
16,2:18:53,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,5,,London (GBR),23 APR 2023,1245
17,2:19:07,,Zeineba YIMER,17 JUN 1998,ETH,4,,Berlin (GER),24 SEP 2023,1242
18,2:19:11,,Ashete BEKERE,17 APR 1988,ETH,3,,Tokyo (JPN),05 MAR 2023,1242
19,2:19:15,,Brigid KOSGEI,20 FEB 1994,KEN,1,,Abu Dhabi (UAE),16 DEC 2023,1241
20,2:19:21,,Senbere TEFERI,03 MAY 1995,ETH,5,,Berlin (GER),24 SEP 2023,1240
21,2:19:24,,Hitomi NIIYA,26 FEB 1988,JPN,1,,"Houston, TX (USA)",15 JAN 2023,1239
21,2:19:24,,Dera DIDA,26 OCT 1996,ETH,6,,Berlin (GER),24 SEP 2023,1239
23,2:19:27,,Buzunesh GETACHEW,18 APR 1997,ETH,1,,Frankfurt (GER),29 OCT 2023,1239
24,2:19:40,,Workenesh EDESA,11 SEP 1992,ETH,7,,Berlin (GER),24 SEP 2023,1237
25,2:19:44,,Helen BEKELE,21 NOV 1994,ETH,8,,Berlin (GER),24 SEP 2023,1236
26,2:19:50,,Meseret ABEBAYAHAU,28 JUN 1998,ETH,2,,Amsterdam (NED),15 OCT 2023,1235
27,2:20:02,,Dorcas Jepchirchir TUITOEK,31 JAN 1998,KEN,3,,Amsterdam (NED),15 OCT 2023,1233
28,2:20:03,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,2,,Barcelona (ESP),19 MAR 2023,1233
29,2:20:04,,Tadu TESHOME,09 JUN 2001,ETH,5,,"Chicago, IL (USA)",08 OCT 2023,1233
30,2:20:18,,Tiruye MESFIN,11 SEP 2002,ETH,2,,Hamburg (GER),23 APR 2023,1230
31,2:20:23,,Stella CHESANG,01 DEC 1996,UGA,3,,Hamburg (GER),23 APR 2023,1229
32,2:20:29,,Jackline CHELAL,1992,KEN,1,,Sevilla (ESP),19 FEB 2023,1228
33,2:20:31,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,1,,Rotterdam (NED),16 APR 2023,1228
34,2:20:41,,Judith Jeptum KORIR,12 DEC 1995,KEN,6,,London (GBR),23 APR 2023,1226
35,2:20:46,,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,4,,Valencia (ESP),03 DEC 2023,1225
36,2:20:47,,Desi Jisa MOKONIN,12 JUL 1997,BRN,2,,Doha (QAT),20 JAN 2023,1225
37,2:20:49,,Delvine Relin MERINGOR,01 AUG 1992,ROU,3,,Barcelona (ESP),19 MAR 2023,1225
38,2:20:55,,Winfridah MOSETI,12 NOV 1996,KEN,2,,Frankfurt (GER),29 OCT 2023,1224
39,2:21:05,,Zinah SENBETA,30 SEP 1998,ETH,1,,Ljubljana (SLO),22 OCT 2023,1222
40,2:21:13,,Haven Hailu DESSE,10 SEP 1998,ETH,1,,Osaka (JPN),29 JAN 2023,1221
41,2:21:27,,Majida MAAYOUF,27 APR 1989,ESP,5,,Valencia (ESP),03 DEC 2023,1218
41,2:21:27,,Sultan HAYDAR,23 JUN 1987,TUR,6,,Valencia (ESP),03 DEC 2023,1218
43,2:21:28,,Siranesh YIRGA,11 SEP 2000,ETH,1,,Shanghai (CHN),26 NOV 2023,1218
44,2:21:35,,Dolshi TESFU,17 JUN 1999,ERI,2,,Rotterdam (NED),16 APR 2023,1217
45,2:21:40,,Betsy SAINA,30 JUN 1988,USA,5,,Tokyo (JPN),05 MAR 2023,1216
46,2:21:44,,Mizuki MATSUDA,31 MAY 1995,JPN,6,,Tokyo (JPN),05 MAR 2023,1216
47,2:21:47,,Genzebe DIBABA,08 FEB 1991,ETH,6,,"Chicago, IL (USA)",08 OCT 2023,1215
48,2:21:52,,Ayuko SUZUKI,08 OCT 1991,JPN,2,,Nagoya (JPN),12 MAR 2023,1214
49,2:21:54,,Aberu AYANA,11 SEP 1993,ETH,2,,Sevilla (ESP),19 FEB 2023,1214
50,2:21:57,,Vibian CHEPKURUI,05 JUN 1994,KEN,1,,Beijing (CHN),29 OCT 2023,1213
51,2:22:07,,Sharon CHELIMO,27 JUL 1994,KEN,3,,Frankfurt (GER),29 OCT 2023,1212
51,2:22:07,,Fikrte WERETA,21 SEP 2000,ETH,1,,Shenzhen (CHN),03 DEC 2023,1212
53,2:22:08,,Ai HOSODA,27 NOV 1995,JPN,7,,Tokyo (JPN),05 MAR 2023,1211
54,2:22:09,,Emily SISSON,12 OCT 1991,USA,7,,"Chicago, IL (USA)",08 OCT 2023,1211
55,2:22:10,,Tsige HAILESLASE,21 SEP 2000,ETH,4,,Hamburg (GER),23 APR 2023,1211
56,2:22:12,,Sisay Meseret GOLA,30 DEC 1997,ETH,2,,Osaka (JPN),29 JAN 2023,1211
57,2:22:17,,Charlotte PURDUE,10 JUN 1991,GBR,9,,Berlin (GER),24 SEP 2023,1210
57,2:22:17,,Calli THACKERY,09 JAN 1993,GBR,1,,"Valley Cottage, NY (USA)",14 OCT 2023,1210
59,2:22:22,,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,4,,Shanghai (CHN),26 NOV 2023,1209
60,2:22:23,,Anchialem HAYMANOT,09 MAY 2001,ETH,6,,Amsterdam (NED),15 OCT 2023,1209
61,2:22:28,,Beatrice CHEPTOO,01 JUN 1993,KEN,3,,Doha (QAT),20 JAN 2023,1208
62,2:22:32,,Honami MAEDA,17 JUL 1996,JPN,3,,Nagoya (JPN),12 MAR 2023,1207
63,2:22:35,,Marion KIBOR,27 SEP 1994,KEN,5,,Hamburg (GER),23 APR 2023,1207
64,2:22:45,,Shyline Jepkorir TOROITICH,20 OCT 1994,KEN,1,,Enschede (NED),16 APR 2023,1205
65,2:22:57,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,4,,Frankfurt (GER),29 OCT 2023,1203
66,2:22:59,,Yuka ANDO,16 MAR 1994,JPN,3,,Osaka (JPN),29 JAN 2023,1203
67,2:23:00,,Janet RUGURU,20 MAY 1993,KEN,2,,Beijing (CHN),29 OCT 2023,1203
68,2:23:02,,Betty CHEPKWONY,26 APR 1995,KEN,1,,Roma (ITA),19 MAR 2023,1202
69,2:23:05,,Urge DIRO,16 JAN 1994,ETH,3,,Sevilla (ESP),19 FEB 2023,1202
70,2:23:07,,Beyenu DEGEFA,12 JUL 1999,ETH,2,,Osaka (JPN),26 FEB 2023,1201
70,2:23:07,,Molly SEIDEL,12 JUL 1994,USA,8,,"Chicago, IL (USA)",08 OCT 2023,1201
72,2:23:08,,Momoko WATANABE,13 JUN 1998,JPN,3,,Osaka (JPN),26 FEB 2023,1201
72,2:23:08,,Genevieve GREGSON,04 AUG 1989,AUS,8,,Valencia (ESP),03 DEC 2023,1201
72,2:23:08,,Ruth JEBET,17 NOV 1996,BRN,1,,Mersin (TUR),10 DEC 2023,1201
75,2:23:11,,Buze DIRIBA,09 FEB 1994,ETH,1,,Toronto (CAN),15 OCT 2023,1201
76,2:23:12,,Waganesh MEKASHA,16 JAN 1992,ETH,2,,Toronto (CAN),15 OCT 2023,1201
77,2:23:14,,Rodah JEPKORIR,25 APR 1991,KEN,1,,København (DEN),14 MAY 2023,1200
78,2:23:15,,Lisa WEIGHTMAN,16 JAN 1979,AUS,4,,Osaka (JPN),26 FEB 2023,1200
78,2:23:15,,Afera GODFAY,25 SEP 1991,ETH,3,,Toronto (CAN),15 OCT 2023,1200
80,2:23:16,,Sofiia YAREMCHUK,03 JUN 1994,ITA,9,,Valencia (ESP),03 DEC 2023,1200
81,2:23:17,,Tigist GETNET,2003,ETH,5,,Dubai (UAE),12 FEB 2023,1200
82,2:23:18,,Amid Fozya JEMAL,11 SEP 1998,ETH,4,,Toronto (CAN),15 OCT 2023,1200
83,2:23:19,,Helah Jelagat KIPROP,07 APR 1985,KEN,1,,Paris (FRA),02 APR 2023,1199
83,2:23:19,,Atalel ANMUT,15 DEC 1999,ETH,2,,Paris (FRA),02 APR 2023,1199
85,2:23:21,,Rose HARVEY,25 AUG 1992,GBR,9,,"Chicago, IL (USA)",08 OCT 2023,1199
86,2:23:24,,Sara VAUGHN,16 MAY 1986,USA,10,,"Chicago, IL (USA)",08 OCT 2023,1199
87,2:23:27,,Isobel BATT-DOYLE,14 SEP 1995,AUS,10,,Valencia (ESP),03 DEC 2023,1198
