Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:20:18,,Tirfi TSEGAYE,25 NOV 1984,ETH,1,,Berlin (GER),28 SEP 2014,1230
2,2:20:21,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,1,,London (GBR),13 APR 2014,1230
3,2:20:24,,Florence KIPLAGAT,27 FEB 1987,KEN,2,,London (GBR),13 APR 2014,1229
4,2:20:27,,Boru Feyse TADESE,19 NOV 1988,ETH,2,,Berlin (GER),28 SEP 2014,1229
5,2:20:35,,Tirunesh DIBABA,01 OCT 1985,ETH,3,,London (GBR),13 APR 2014,1227
6,2:21:14,,Shalane FLANAGAN,08 JUL 1981,USA,3,,Berlin (GER),28 SEP 2014,1221
7,2:21:36,,Mare DIBABA,20 OCT 1989,ETH,1,,Xiamen (CHN),02 JAN 2014,1217
8,2:21:52,,Tigist TUFA,26 JAN 1987,ETH,1,,Shanghai (CHN),02 NOV 2014,1214
9,2:22:21,,Aberu KEBEDE,12 SEP 1986,ETH,1,,Frankfurt (GER),26 OCT 2014,1209
10,2:22:30,,Birhane DIBABA,11 SEP 1993,ETH,2,,Tokyo (JPN),23 FEB 2014,1208
11,2:22:44,,Philomena CHEYECH,05 JUL 1982,KEN,1,,Paris (FRA),06 APR 2014,1205
12,2:23:02,,Tadelech BEKELE,11 APR 1991,ETH,4,,Berlin (GER),28 SEP 2014,1202
13,2:23:15,,Mulu SEBOKA,25 SEP 1984,ETH,1,,Toronto (CAN),19 OCT 2014,1200
14,2:23:34,,Firehiwot Tesfaye DADO,09 JAN 1984,ETH,1,,Praha (CZE),11 MAY 2014,1197
15,2:23:44,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,2,,Frankfurt (GER),26 OCT 2014,1195
16,2:24:07,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,1,,Nagoya (JPN),09 MAR 2014,1191
17,2:24:16,,Lucy Kabuu WANGUI,24 MAR 1984,KEN,3,,Tokyo (JPN),23 FEB 2014,1190
18,2:24:25,,Jessica AUGUSTO,08 NOV 1981,POR,6,,London (GBR),13 APR 2014,1188
19,2:24:35,,Caroline ROTICH,13 MAY 1984,KEN,4,,Tokyo (JPN),23 FEB 2014,1187
20,2:24:59,,Ashete BEKERE,17 APR 1988,ETH,3,,Frankfurt (GER),26 OCT 2014,1183
21,2:25:02,,Abebech AFEWORK,11 DEC 1990,ETH,5,,Berlin (GER),28 SEP 2014,1182
22,2:25:07,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,"New York, NY (USA)",02 NOV 2014,1181
23,2:25:10,,Jemima Jelagat SUMGONG,21 DEC 1984,KEN,2,,"New York, NY (USA)",02 NOV 2014,1181
24,2:25:14,,Christelle DAUNAY,05 DEC 1974,FRA,1,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1180
24,2:25:14,,Emily Chemutai NGETICH,27 SEP 1984,KEN,4,,Frankfurt (GER),26 OCT 2014,1180
26,2:25:22,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,2,,Shanghai (CHN),02 NOV 2014,1179
27,2:25:23,,Meselech MELKAMU,19 APR 1985,ETH,2,,Dubai (UAE),24 JAN 2014,1179
28,2:25:26,,Ryoko KIZAKI,21 JUN 1985,JPN,2,,Nagoya (JPN),09 MAR 2014,1178
29,2:25:27,,Valeria STRANEO,05 APR 1976,ITA,2,,"Letzigrund, Zürich (SUI)",16 AUG 2014,1178
30,2:25:31,,Eri HAYAKAWA,15 NOV 1981,JPN,3,,Nagoya (JPN),09 MAR 2014,1177
31,2:25:37,,Eunice Jepkirui KIRWA,20 MAY 1984,BRN,1,,Incheon (KOR),02 OCT 2014,1176
32,2:25:59,,Meskerem ASSEFA,03 OCT 1991,ETH,2,,"Houston, TX (USA)",19 JAN 2014,1173
33,2:26:00,,Yukiko AKABA,18 OCT 1979,JPN,1,,Osaka (JPN),26 JAN 2014,1172
33,2:26:00,,Sara MOREIRA,17 OCT 1985,POR,3,,"New York, NY (USA)",02 NOV 2014,1172
35,2:26:03,,Gelete BURKA,23 JAN 1986,ETH,3,,"Houston, TX (USA)",19 JAN 2014,1172
35,2:26:03,,Janet Jelagat RONO,08 DEC 1988,KEN,5,,Tokyo (JPN),23 FEB 2014,1172
37,2:26:05,,Tomomi TANAKA,25 SEP 1988,JPN,4,,Nagoya (JPN),09 MAR 2014,1172
38,2:26:20,,Meseret Hailu DEBELE,12 SEP 1990,ETH,4,,Dubai (UAE),24 JAN 2014,1169
39,2:26:21,,Yebrgual MELESE,18 APR 1990,ETH,2,,Paris (FRA),06 APR 2014,1169
40,2:26:22,,Bruktayit ESHETU,29 SEP 1990,ETH,4,,"Houston, TX (USA)",19 JAN 2014,1169
41,2:26:25,,Kayoko FUKUSHI,25 MAR 1982,JPN,6,,Berlin (GER),28 SEP 2014,1168
42,2:26:31,,Karolina NADOLSKA,06 SEP 1981,POL,2,,Osaka (JPN),26 JAN 2014,1167
43,2:26:36,,Meseret LEGESE,26 AUG 1987,ETH,2,,Xiamen (CHN),02 JAN 2014,1166
44,2:26:42,,Bethelhem MOGES,03 MAY 1991,ETH,5,,Dubai (UAE),24 JAN 2014,1165
45,2:26:44,,Anna HAHNER,20 NOV 1989,GER,7,,Berlin (GER),28 SEP 2014,1165
46,2:26:46,,Sairi MAEDA,07 NOV 1991,JPN,3,,Osaka (JPN),26 JAN 2014,1165
46,2:26:46,,Dulce FÉLIX,23 OCT 1982,POR,7,,London (GBR),13 APR 2014,1165
