Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
75,2:27:08,,Salomé ROCHA,25 APR 1990,POR,6,,Praha (CZE),07 MAY 2017,1161
77,2:27:11,,Rose CHELIMO,12 JUL 1989,BRN,1,,"Olympic Stadium, London (GBR)",06 AUG 2017,1161
78,2:27:14,,Volha MAZURONAK,14 APR 1989,BLR,2,,Valencia (ESP),19 NOV 2017,1160
79,2:27:18,,Anne BERERWE,04 NOV 1982,KEN,2,,Chongqing (CHN),19 MAR 2017,1159
79,2:27:18,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,2,,"Olympic Stadium, London (GBR)",06 AUG 2017,1159
79,2:27:18,,Amy CRAGG,21 JAN 1984,USA,3,,"Olympic Stadium, London (GBR)",06 AUG 2017,1159
79,2:27:18,,Winny JEPKORIR,10 JUN 1990,KEN,3,,Valencia (ESP),19 NOV 2017,1159
83,2:27:21,,Sara HALL,15 APR 1983,USA,5,,Frankfurt (GER),29 OCT 2017,1159
84,2:27:27,,Aberu KEBEDE,12 SEP 1986,ETH,11,,London (GBR),23 APR 2017,1158
85,2:27:34,,Sheila JEROTICH,06 JUN 1989,KEN,1,,Košice (SVK),01 OCT 2017,1157
86,2:27:35,,Hisami ISHII,10 AUG 1995,JPN,5,,Nagoya (JPN),12 MAR 2017,1157
87,2:27:37,,Marta MEGRA,30 DEC 1990,ETH,5,,Tokyo (JPN),26 FEB 2017,1156
87,2:27:37,,Naomi TUEI,20 MAY 1993,KEN,4,,Valencia (ESP),19 NOV 2017,1156
89,2:27:39,,Tigist MEMUYE,26 OCT 1994,ETH,1,,Zhengzhou (CHN),26 MAR 2017,1156
90,2:27:48,,Pamela ROTICH,25 DEC 1984,KEN,1,,Daegu (KOR),02 APR 2017,1154
90,2:27:48,,Fate TOLA,22 OCT 1987,GER,1,,Hannover (GER),09 APR 2017,1154
92,2:27:49,,Merima MOHAMMED,10 JUN 1992,BRN,6,,Frankfurt (GER),29 OCT 2017,1154
93,2:27:52,,Purity CHANGWONY,1990,KEN,2,,Ljubljana (SLO),29 OCT 2017,1154
94,2:27:54,,Miharu SHIMOKADO,24 APR 1990,JPN,6,,Nagoya (JPN),12 MAR 2017,1153
95,2:28:05,,Valentine KIPKETER,05 JAN 1993,KEN,5,,"Chicago, IL (USA)",08 OCT 2017,1152
96,2:28:06,,Makeda HARONA,05 SEP 1988,ETH,1,,Sydney (AUS),17 SEP 2017,1151
97,2:28:08,,Mamitu DASKA,16 OCT 1983,ETH,3,,"New York, NY (USA)",05 NOV 2017,1151
97,2:28:08,,Muluhabt TSEGA,22 DEC 1997,ETH,1,,Hangzhou (CHN),05 NOV 2017,1151
99,2:28:12,,Misaki KATO,15 JUN 1991,JPN,1,,Hofu (JPN),17 DEC 2017,1150
100,2:28:14,,Stellah Jepngetich BARSOSIO,12 MAR 1993,KEN,1,,Wrocław (POL),10 SEP 2017,1150
