Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:17:01,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,London (GBR),23 APR 2017,1264
2,2:17:56,,Tirunesh DIBABA,01 OCT 1985,ETH,2,,London (GBR),23 APR 2017,1255
3,2:19:47,,Sarah CHEPCHIRCHIR,27 JUL 1984,KEN,1,,Tokyo (JPN),26 FEB 2017,1236
4,2:20:22,,Brigid KOSGEI,20 FEB 1994,KEN,2,,"Chicago, IL (USA)",08 OCT 2017,1230
5,2:20:23,,Gladys CHERONO,12 MAY 1983,KEN,1,,Berlin (GER),24 SEP 2017,1229
6,2:20:41,,Ruti AGA,16 JAN 1994,ETH,2,,Berlin (GER),24 SEP 2017,1226
7,2:20:53,,Valary JEMELI,08 JUN 1991,KEN,3,,Berlin (GER),24 SEP 2017,1224
8,2:20:55,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,1,,Paris (FRA),09 APR 2017,1224
9,2:20:57,,Jordan HASAY,21 SEP 1991,USA,3,,"Chicago, IL (USA)",08 OCT 2017,1224
10,2:20:59,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,2,,Paris (FRA),09 APR 2017,1223
11,2:21:17,,Eunice Jepkirui KIRWA,20 MAY 1984,BRN,1,,Nagoya (JPN),12 MAR 2017,1220
12,2:21:19,,Birhane DIBABA,11 SEP 1993,ETH,2,,Tokyo (JPN),26 FEB 2017,1220
13,2:21:22,,Philomena CHEYECH,05 JUL 1982,KEN,3,,Paris (FRA),09 APR 2017,1219
14,2:21:36,,Yuka ANDO,16 MAR 1994,JPN,2,,Nagoya (JPN),12 MAR 2017,1217
15,2:21:37,,Visiline JEPKESHO,30 DEC 1989,KEN,4,,Paris (FRA),09 APR 2017,1217
16,2:21:54,,Tadelech BEKELE,11 APR 1991,ETH,1,,Amsterdam (NED),15 OCT 2017,1214
17,2:22:15,,Amane Beriso SHANKULE,13 OCT 1991,ETH,2,,Praha (CZE),07 MAY 2017,1210
18,2:22:36,,Worknesh DEGEFA,28 OCT 1990,ETH,1,,Dubai (UAE),20 JAN 2017,1207
18,2:22:36,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,Istanbul (TUR),12 NOV 2017,1207
20,2:22:43,,Roza DEREJE,09 MAY 1997,ETH,1,,Shanghai (CHN),12 NOV 2017,1206
21,2:22:51,,Yebrgual MELESE,18 APR 1990,ETH,5,,Paris (FRA),09 APR 2017,1204
21,2:22:51,,Helen BEKELE,21 NOV 1994,ETH,4,,Berlin (GER),24 SEP 2017,1204
23,2:22:57,,Shure DEMISE,21 JAN 1996,ETH,2,,Dubai (UAE),20 JAN 2017,1203
24,2:23:08,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,3,,London (GBR),23 APR 2017,1201
25,2:23:09,,Amane GOBENA,11 SEP 1986,ETH,3,,Tokyo (JPN),26 FEB 2017,1201
26,2:23:31,,Lydia CHEROMEI,11 MAY 1977,KEN,2,,Shanghai (CHN),12 NOV 2017,1197
27,2:23:35,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,1,,Frankfurt (GER),29 OCT 2017,1197
27,2:23:35,,Hirut TIBEBU,13 DEC 1994,ETH,3,,Shanghai (CHN),12 NOV 2017,1197
29,2:23:47,,Mao KIYOTA,12 SEP 1993,JPN,3,,Nagoya (JPN),12 MAR 2017,1195
30,2:23:59,,Gulume CHALA,11 SEP 1992,ETH,4,,Shanghai (CHN),12 NOV 2017,1193
31,2:24:18,,Meskerem ASSEFA,03 OCT 1991,ETH,1,,Rotterdam (NED),09 APR 2017,1189
32,2:24:20,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,1,,Wien (AUT),23 APR 2017,1189
33,2:24:22,,Risa SHIGETOMO,29 AUG 1987,JPN,1,,Osaka (JPN),29 JAN 2017,1189
34,2:24:25,,Rebeca CHESIRE,04 DEC 1992,KEN,2,,Wien (AUT),23 APR 2017,1188
35,2:24:27,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,,Rotterdam (NED),09 APR 2017,1188
36,2:24:44,,Madaí PÉREZ,02 FEB 1980,MEX,4,,"Chicago, IL (USA)",08 OCT 2017,1185
37,2:24:51,,Gladys CHESIR,20 FEB 1993,KEN,2,,Amsterdam (NED),15 OCT 2017,1184
38,2:25:01,,Letebrhan Haylay GEBRESLASEA,29 OCT 1990,ETH,1,,Dongying (CHN),07 MAY 2017,1182
39,2:25:12,,Rahma TUSA,14 SEP 1993,ETH,1,,Guangzhou (CHN),10 DEC 2017,1180
40,2:25:15,,Lisa WEIGHTMAN,16 JAN 1979,AUS,5,,London (GBR),23 APR 2017,1180
41,2:25:17,,Lucy KARIMI,06 OCT 1986,KEN,3,,Rotterdam (NED),09 APR 2017,1180
42,2:25:23,,Azmera ABREHA,31 JAN 1998,ETH,3,,Amsterdam (NED),15 OCT 2017,1179
43,2:25:29,,Margaret AGAI,10 JUN 1988,KEN,5,,Shanghai (CHN),12 NOV 2017,1178
44,2:25:30,,Jessica AUGUSTO,08 NOV 1981,POR,1,,Hamburg (GER),23 APR 2017,1177
45,2:25:32,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,4,,Amsterdam (NED),15 OCT 2017,1177
46,2:25:34,,Abebech AFEWORK,11 DEC 1990,ETH,1,,Gold Coast (AUS),02 JUL 2017,1177
47,2:25:38,,Laura THWEATT,17 DEC 1988,USA,6,,London (GBR),23 APR 2017,1176
48,2:25:39,,Helah Jelagat KIPROP,07 APR 1985,KEN,7,,London (GBR),23 APR 2017,1176
49,2:25:44,,Misato HORIE,10 MAR 1987,JPN,2,,Osaka (JPN),29 JAN 2017,1175
50,2:25:45,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,1,,See Genezareth (ISR),06 JAN 2017,1175
51,2:25:52,,Tigist TUFA,26 JAN 1987,ETH,8,,London (GBR),23 APR 2017,1174
52,2:25:57,,Ashete BEKERE,17 APR 1988,ETH,2,,Seoul (KOR),19 MAR 2017,1173
53,2:25:58,,Meseret MENGISTU,06 MAR 1990,ETH,1,,Xiamen (CHN),02 JAN 2017,1173
54,2:26:06,,Shuko GENEMO,13 SEP 1995,ETH,4,,Wien (AUT),23 APR 2017,1171
55,2:26:09,,Sayaka KUWAHARA,08 MAR 1993,JPN,4,,Nagoya (JPN),12 MAR 2017,1171
56,2:26:13,,Eunice JEPTOO,24 JUN 1983,KEN,1,,Eindhoven (NED),08 OCT 2017,1170
57,2:26:17,,Aberu Mekuria ZENNEBE,24 DEC 1983,ETH,1,,Valencia (ESP),19 NOV 2017,1170
58,2:26:19,,Hanae TANAKA,12 FEB 1990,JPN,3,,Osaka (JPN),29 JAN 2017,1169
59,2:26:22,,Rael Nguriatukei KINYARA,04 APR 1984,KEN,1,,Chongqing (CHN),19 MAR 2017,1169
60,2:26:25,,Florence KIPLAGAT,27 FEB 1987,KEN,9,,London (GBR),23 APR 2017,1168
61,2:26:26,,Caroline ROTICH,13 MAY 1984,KEN,5,,Amsterdam (NED),15 OCT 2017,1168
62,2:26:27,,Workenesh EDESA,11 SEP 1992,ETH,2,,Xiamen (CHN),02 JAN 2017,1168
63,2:26:29,,Jane Jelagat SEUREY,02 MAR 1986,KEN,4,,Rotterdam (NED),09 APR 2017,1168
64,2:26:30,,Chemutai RIONOTUKEI,04 SEP 1986,KEN,2,,Dongying (CHN),07 MAY 2017,1167
65,2:26:31,,Angela TANUI,27 JUL 1992,KEN,5,,Wien (AUT),23 APR 2017,1167
66,2:26:44,,Tsegaye MELESECH,1994,ETH,2,,Barcelona (ESP),12 MAR 2017,1165
67,2:26:46,,Boru Feyse TADESE,19 NOV 1988,ETH,5,,Praha (CZE),07 MAY 2017,1165
68,2:26:47,,Melkam GIZAW,17 SEP 1990,ETH,3,,Xiamen (CHN),02 JAN 2017,1165
69,2:26:52,,Mercy KIBARUS,25 FEB 1984,KEN,3,,Seoul (KOR),19 MAR 2017,1164
70,2:26:53,,Serena BURLA,29 JUL 1982,USA,4,,Osaka (JPN),29 JAN 2017,1164
70,2:26:53,,Shalane FLANAGAN,08 JUL 1981,USA,1,,"New York, NY (USA)",05 NOV 2017,1164
72,2:26:58,,Monica JEPKOECH,01 JAN 1983,KEN,1,,Porto (POR),05 NOV 2017,1163
73,2:27:01,,Jessica TRENGOVE,15 AUG 1987,AUS,10,,London (GBR),23 APR 2017,1162
74,2:27:04,,Aberash FAYESA,1995,ETH,3,,Barcelona (ESP),12 MAR 2017,1162
75,2:27:08,,Ayaka FUJIMOTO,08 JUL 1997,JPN,4,,Tokyo (JPN),26 FEB 2017,1161
