Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
17,2:25:12,,Alevtina BIKTIMIROVA,10 SEP 1982,RUS,1,,Frankfurt (GER),30 OCT 2005,1180
18,2:25:15,,Živilé BALČIUNAITĖ,03 APR 1979,LTU,2,,Tokyo (JPN),20 NOV 2005,1180
19,2:25:21,,Yasuko HASHIMOTO,12 AUG 1975,JPN,4,,Nagoya (JPN),13 MAR 2005,1179
20,2:25:22,,Margaret OKAYO,30 MAY 1976,KEN,4,,London (GBR),17 APR 2005,1179
21,2:25:46,,Harumi HIROYAMA-SUZUKI,02 SEP 1968,JPN,8,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1175
21,2:25:46,,Masako CHIBA,18 JUL 1976,JPN,1,,Sapporo (JPN),28 AUG 2005,1175
23,2:25:55,,Yanan WEI,06 DEC 1981,CHN,2,,Seoul (KOR),13 MAR 2005,1173
24,2:26:02,,Kiyomi OGAWA,15 SEP 1981,JPN,5,,Nagoya (JPN),13 MAR 2005,1172
25,2:26:11,,Lyubov DENISOVA,06 OCT 1971,RUS,1,,"Los Angeles, CA (USA)",06 MAR 2005,1171
26,2:26:14,,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,9,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1170
26,2:26:14,,Kiyoko SHIMAHARA,22 DEC 1976,JPN,2,,Sapporo (JPN),28 AUG 2005,1170
28,2:26:26,,Marleen RENDERS,24 DEC 1968,BEL,2,,Frankfurt (GER),30 OCT 2005,1168
29,2:26:29,,Lyudmila PETROVA,07 OCT 1968,RUS,5,,London (GBR),17 APR 2005,1168
30,2:26:32,,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,6,,London (GBR),17 APR 2005,1167
31,2:26:46,,Luminita ZAITUC,09 OCT 1968,GER,1,,Düsseldorf (GER),08 MAY 2005,1165
32,2:26:50,,Madaí PÉREZ,02 FEB 1980,MEX,11,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1164
32,2:26:50,,Elfinesh ALEMU,15 MAR 1975,ETH,3,,Tokyo (JPN),20 NOV 2005,1164
34,2:26:55,,Miki OYAMA,22 OCT 1979,JPN,4,,Osaka (JPN),30 JAN 2005,1163
34,2:26:55,,Svetlana ZAKHAROVA,15 SEP 1970,RUS,4,,Tokyo (JPN),20 NOV 2005,1163
36,2:27:01,,Lidia ŞIMON,04 SEP 1973,ROU,5,,Osaka (JPN),30 JAN 2005,1162
36,2:27:01,,Lidiya GRIGORYEVA,21 JAN 1974,RUS,1,,Paris (FRA),10 APR 2005,1162
36,2:27:01,,Joyce CHEPCHUMBA,06 NOV 1970,KEN,7,,London (GBR),17 APR 2005,1162
39,2:27:06,,Edith MASAI,04 APR 1967,KEN,1,,Hamburg (GER),24 APR 2005,1161
40,2:27:14,,Galina KARNATSEVICH,02 NOV 1969,BLR,12,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1160
41,2:27:18,,Florence BARSOSIO,11 AUG 1976,KEN,2,,Paris (FRA),10 APR 2005,1159
42,2:27:22,,Chieko YAMAZAKI,28 MAY 1977,JPN,6,,Nagoya (JPN),13 MAR 2005,1159
43,2:27:35,,Weiwei SUN,13 JAN 1985,CHN,3,,Beijing (CHN),16 OCT 2005,1157
44,2:27:36,,Lornah KIPLAGAT,01 MAY 1974,NED,1,,Rotterdam (NED),10 APR 2005,1156
45,2:27:38,,Asha GIGI,15 OCT 1973,ETH,3,,Paris (FRA),10 APR 2005,1156
45,2:27:38,,Mara YAMAUCHI,13 AUG 1973,GBR,5,,Tokyo (JPN),20 NOV 2005,1156
47,2:27:40,,Yoko SHIBUI,14 MAR 1979,JPN,7,,Nagoya (JPN),13 MAR 2005,1156
48,2:27:41,,Shujing ZHANG,13 SEP 1978,CHN,4,,Beijing (CHN),16 OCT 2005,1156
49,2:27:46,,Dorota GRUCA,05 DEC 1970,POL,13,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1155
50,2:28:04,,Rosaria CONSOLE,17 DEC 1979,ITA,4,,Paris (FRA),10 APR 2005,1152
51,2:28:07,,Hiromi OMINAMI,15 NOV 1975,JPN,6,,Osaka (JPN),30 JAN 2005,1151
52,2:28:21,,Albina MAYOROVA,16 MAY 1977,RUS,1,,Nagano (JPN),17 APR 2005,1149
53,2:28:27,,Askale Magarsa TAFA,27 SEP 1984,ETH,3,,Berlin (GER),25 SEP 2005,1148
54,2:28:34,,Mihaela Maria BOTEZAN-PRUNDUS,21 NOV 1976,ROU,7,,Osaka (JPN),30 JAN 2005,1147
55,2:28:40,,Colleen DE REUCK,13 APR 1964,USA,4,,"Chicago, IL (USA)",09 OCT 2005,1146
56,2:28:42,,Salina Jebet KOSGEI,16 NOV 1976,KEN,1,,Praha (CZE),22 MAY 2005,1145
57,2:28:46,,Małgorzata SOBAŃSKA,25 APR 1969,POL,2,,Hamburg (GER),24 APR 2005,1145
58,2:28:48,,Corinne RAUX,16 AUG 1976,FRA,5,,Paris (FRA),10 APR 2005,1144
59,2:28:50,,Eri HAYAKAWA,15 NOV 1981,JPN,5,,"Chicago, IL (USA)",09 OCT 2005,1144
60,2:29:00,,Dulce María RODRÍGUEZ,14 AUG 1972,MEX,1,,Torreón (MEX),06 MAR 2005,1142
61,2:29:01,,Sonia O'SULLIVAN,28 NOV 1969,IRL,8,,London (GBR),17 APR 2005,1142
62,2:29:10,,Blake PHILLIPS-RUSSELL,24 JUL 1975,USA,6,,"Chicago, IL (USA)",09 OCT 2005,1141
63,2:29:15,,Chika HORIE,15 FEB 1981,JPN,3,,Sapporo (JPN),28 AUG 2005,1140
64,2:29:18,,Helena JAVORNIK,26 MAR 1966,SLO,3,,Seoul (KOR),13 MAR 2005,1140
65,2:29:30,,Robe GUTA,12 OCT 1986,ETH,3,,Frankfurt (GER),30 OCT 2005,1138
66,2:29:43,,Yong-Ok JONG,24 JAN 1981,PRK,14,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1135
67,2:29:44,,Irina PERMITINA,03 FEB 1968,RUS,6,,Paris (FRA),10 APR 2005,1135
68,2:29:45,,Mary PTIKANY,1978,KEN,4,,Frankfurt (GER),30 OCT 2005,1135
69,2:29:49,,Claudia DREHER,02 MAY 1971,GER,3,,Hamburg (GER),24 APR 2005,1134
70,2:29:54,,Workenesh TOLA,06 JUN 1977,ETH,4,,Seoul (KOR),13 MAR 2005,1134
71,2:29:56,,Lyudmyla PUSKINA,02 OCT 1965,UKR,1,,"Columbus, OH (USA)",16 OCT 2005,1133
72,2:30:01,,Kathy BUTLER,22 OCT 1973,GBR,7,,"Chicago, IL (USA)",09 OCT 2005,1132
73,2:30:03,,Lyudmila KORCHAGINA,26 JUL 1971,CAN,1,,"Dallas, TX (USA)",11 DEC 2005,1132
74,2:30:06,,Kutre DULECHA,22 AUG 1978,ETH,1,,Amsterdam (NED),16 OCT 2005,1132
75,2:30:11,,Irina TIMOFEYEVA,05 APR 1970,RUS,7,,Paris (FRA),10 APR 2005,1131
76,2:30:14,,Larisa ZYUZKO,27 APR 1969,RUS,2,,Praha (CZE),22 MAY 2005,1130
77,2:30:15,,Mizuho NASUKAWA,22 NOV 1979,JPN,8,,Osaka (JPN),30 JAN 2005,1130
78,2:30:24,,Olesya NURGALIEVA,09 JAN 1976,RUS,1,,"Honolulu, HI (USA)",11 DEC 2005,1129
79,2:30:41,,Beatrice OMWANZA,24 FEB 1974,KEN,1,,Torino (ITA),17 APR 2005,1126
80,2:30:45,,Anastasia Njambi NDEREBA,27 SEP 1974,KEN,9,,Osaka (JPN),30 JAN 2005,1125
81,2:30:48,,Dire TUNE,19 JUN 1985,ETH,4,,"Los Angeles, CA (USA)",06 MAR 2005,1125
82,2:30:54,,Mulu SEBOKA,25 SEP 1984,ETH,9,,London (GBR),17 APR 2005,1124
83,2:31:03,,Tatyana PETROVA,08 APR 1983,RUS,8,,"Chicago, IL (USA)",09 OCT 2005,1122
84,2:31:05,,Tetyana POZDNYAKOVA,04 MAR 1956,UKR,5,,"Los Angeles, CA (USA)",06 MAR 2005,1122
85,2:31:16,,Takami OMINAMI,15 NOV 1975,JPN,8,,Nagoya (JPN),13 MAR 2005,1120
86,2:31:22,,Alina IVANOVA,16 MAR 1969,RUS,4,,Hamburg (GER),24 APR 2005,1119
87,2:31:23,,Margaret Karie TOROITICH,29 DEC 1979,KEN,2,,Torreón (MEX),06 MAR 2005,1119
88,2:31:26,,Svetlana PONOMARENKO,28 NOV 1969,RUS,5,,Frankfurt (GER),30 OCT 2005,1119
89,2:31:27,,Ana DIAS,15 JAN 1974,POR,2,,Rotterdam (NED),10 APR 2005,1118
90,2:31:28,,Hellen Cherono KOSKEI,22 FEB 1984,KEN,3,,Praha (CZE),22 MAY 2005,1118
91,2:31:41,,Jung-hee OH,04 DEC 1978,KOR,6,,Seoul (KOR),13 MAR 2005,1116
92,2:31:43,,Olivera JEVTIĆ,24 JUL 1977,SCG,10,,Osaka (JPN),30 JAN 2005,1116
93,2:31:46,,Bong-Sil HAM,24 JUL 1974,PRK,1,,Pyongyang (PRK),10 APR 2005,1115
94,2:31:51,,Yanyan DAI,08 JAN 1980,CHN,5,,Beijing (CHN),16 OCT 2005,1114
95,2:31:53,,Lidiya VASILEVSKAYA,01 APR 1973,RUS,1,,Ottawa (CAN),28 MAY 2005,1114
96,2:31:54,,Adriana FERNÁNDEZ MIRANDA,04 APR 1971,MEX,1,,"Las Vegas, NV (USA)",04 DEC 2005,1114
96,2:31:54,,Galina BOGOMOLOVA,15 OCT 1977,RUS,2,,"Las Vegas, NV (USA)",04 DEC 2005,1114
98,2:31:57,,Nuţa OLARU,28 AUG 1970,ROU,4,,"Las Vegas, NV (USA)",04 DEC 2005,1113
99,2:32:11,,Kazue OGOSHI,02 MAR 1981,JPN,11,,Osaka (JPN),30 JAN 2005,1111
100,2:32:14,,Rie MATSUOKA,09 MAR 1977,JPN,7,,Tokyo (JPN),20 NOV 2005,1111
