Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:17:42,,Paula RADCLIFFE,17 DEC 1973,GBR,1,,London (GBR),17 APR 2005,1257
2,2:19:12,,Mizuki NOGUCHI,03 JUL 1978,JPN,1,,Berlin (GER),25 SEP 2005,1242
3,2:21:01,,Yingjie SUN,19 JAN 1979,CHN,1,,Beijing (CHN),16 OCT 2005,1223
4,2:21:11,,Chunxiu ZHOU,15 NOV 1978,CHN,2,,Beijing (CHN),16 OCT 2005,1221
5,2:21:25,,Deena KASTOR,14 FEB 1973,USA,1,,"Chicago, IL (USA)",09 OCT 2005,1219
6,2:21:30,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,2,,"Chicago, IL (USA)",09 OCT 2005,1218
7,2:22:01,,Catherine NDEREBA,21 JUL 1972,KEN,2,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1213
8,2:22:56,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,1,,Osaka (JPN),30 JAN 2005,1203
9,2:23:30,,Derartu TULU,21 MAR 1972,ETH,4,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1198
10,2:23:59,,Mari OZAKI,16 JUL 1975,JPN,2,,Osaka (JPN),30 JAN 2005,1193
11,2:24:00,,Susan CHEPKEMEI,25 JUN 1975,KEN,3,,London (GBR),17 APR 2005,1193
12,2:24:19,,Yumiko HARA,09 JAN 1982,JPN,1,,Nagoya (JPN),13 MAR 2005,1189
13,2:24:22,,Rita Jeptoo SITIENEI,15 FEB 1981,KEN,7,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1189
14,2:24:25,,Megumi TANAKA-OSHIMA,04 SEP 1975,JPN,2,,Nagoya (JPN),13 MAR 2005,1188
15,2:24:39,,Naoko TAKAHASHI,06 MAY 1972,JPN,1,,Tokyo (JPN),20 NOV 2005,1186
16,2:24:54,,Ryoko KITAJIMA-EDA,12 JUN 1976,JPN,3,,Nagoya (JPN),13 MAR 2005,1183
