Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:22:04,,Atsede BAYISA,16 APR 1987,ETH,1,,Paris (FRA),11 APR 2010,1212
2,2:22:38,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,1,,London (GBR),25 APR 2010,1206
3,2:22:43,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,1,,Toronto (CAN),26 SEP 2010,1206
4,2:22:44,,Tirfi TSEGAYE,25 NOV 1984,ETH,2,,Toronto (CAN),26 SEP 2010,1205
5,2:23:06,,Merima MOHAMMED,10 JUN 1992,ETH,3,,Toronto (CAN),26 SEP 2010,1202
6,2:23:17,,Bezunesh BEKELE,29 JAN 1983,ETH,2,,London (GBR),25 APR 2010,1200
7,2:23:25,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,1,,Frankfurt (GER),31 OCT 2010,1198
8,2:23:44,,Dire TUNE,19 JUN 1985,ETH,2,,Frankfurt (GER),31 OCT 2010,1195
9,2:23:53,,Teyba ERKESSO,30 OCT 1982,ETH,1,,"Houston, TX (USA)",17 JAN 2010,1194
10,2:23:58,,Aberu KEBEDE,12 SEP 1986,ETH,1,,Berlin (GER),26 SEP 2010,1193
11,2:24:07,,Agnes KIPROP,14 JAN 1980,KEN,3,,Frankfurt (GER),31 OCT 2010,1191
12,2:24:13,,Amane GOBENA,11 SEP 1986,ETH,1,,Seoul (KOR),21 MAR 2010,1190
13,2:24:18,,Mamitu DASKA,16 OCT 1983,ETH,1,,Dubai (UAE),22 JAN 2010,1189
14,2:24:22,,Christelle DAUNAY,05 DEC 1974,FRA,2,,Paris (FRA),11 APR 2010,1189
15,2:24:33,,Koren Jelila YAL,18 JAN 1987,ETH,4,,Toronto (CAN),26 SEP 2010,1187
16,2:24:39,,Askale Magarsa TAFA,27 SEP 1984,ETH,3,,London (GBR),25 APR 2010,1186
17,2:24:54,,Helena Loshanyang KIROP,09 SEP 1976,KEN,3,,Dubai (UAE),22 JAN 2010,1183
18,2:24:55,,Yukiko AKABA,18 OCT 1979,JPN,4,,London (GBR),25 APR 2010,1183
19,2:25:00,,Chunxiu ZHOU,15 NOV 1978,CHN,1,,Guangzhou (CHN),27 NOV 2010,1182
20,2:25:03,,Alice Jemeli TIMBILILI,01 FEB 1983,KEN,1,,Amsterdam (NED),17 OCT 2010,1182
21,2:25:10,,Isabellah ANDERSSON,12 NOV 1980,SWE,4,,Frankfurt (GER),31 OCT 2010,1181
22,2:25:18,,Xue BAI,13 DEC 1988,CHN,5,,London (GBR),25 APR 2010,1179
23,2:25:21,,Kimberley SMITH,19 NOV 1981,NZL,6,,London (GBR),25 APR 2010,1179
24,2:25:27,,Mare DIBABA,20 OCT 1989,ETH,5,,Frankfurt (GER),31 OCT 2010,1178
25,2:25:28,,Firehiwot Tesfaye DADO,09 JAN 1984,ETH,1,,Roma (ITA),21 MAR 2010,1178
26,2:25:31,,Kebebush Haile LEMA,13 APR 1986,ETH,2,,Roma (ITA),21 MAR 2010,1177
27,2:25:34,,Azalech MASRESHA,04 MAY 1988,ETH,4,,Paris (FRA),11 APR 2010,1177
28,2:25:35,,Atsede HABTAMU,26 OCT 1987,ETH,1,,Eindhoven (NED),10 OCT 2010,1177
29,2:25:38,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,1,,"Los Angeles, CA (USA)",21 MAR 2010,1176
30,2:25:43,,Mari OZAKI,16 JUL 1975,JPN,7,,London (GBR),25 APR 2010,1175
31,2:25:44,,Marisa BARROS,25 FEB 1980,POR,2,,Osaka (JPN),31 JAN 2010,1175
32,2:25:50,,Asnaketch MENGISTU,09 MAY 1986,ETH,1,,Milano (ITA),11 APR 2010,1174
33,2:26:10,,Tomo MORIMOTO,27 DEC 1983,JPN,3,,Berlin (GER),26 SEP 2010,1171
34,2:26:13,,Tatyana ARYASOVA,02 APR 1979,RUS,1,,Dublin (IRL),25 OCT 2010,1170
35,2:26:16,,Mara YAMAUCHI,13 AUG 1973,GBR,8,,London (GBR),25 APR 2010,1170
36,2:26:20,,Misikir DEMISSE,23 JUL 1986,ETH,2,,"Los Angeles, CA (USA)",21 MAR 2010,1169
36,2:26:20,,Desiree DAVILA,26 JUL 1983,USA,2,,"Chicago, IL (USA)",10 OCT 2010,1169
38,2:26:21,,Sabrina MOCKENHAUPT,06 DEC 1980,GER,4,,Berlin (GER),26 SEP 2010,1169
39,2:26:22,,Magdalena LEWY-BOULET,01 AUG 1973,USA,2,,Rotterdam (NED),11 APR 2010,1169
40,2:26:23,,Hilde KIBET,27 MAR 1981,NED,6,,Frankfurt (GER),31 OCT 2010,1169
41,2:26:24,,Tetyana FILONYUK,05 APR 1984,UKR,4,,Roma (ITA),21 MAR 2010,1168
42,2:26:35,,Xiaolin ZHU,20 FEB 1984,CHN,2,,Guangzhou (CHN),27 NOV 2010,1167
43,2:26:40,,Irina MIKITENKO,23 AUG 1972,GER,3,,"Chicago, IL (USA)",10 OCT 2010,1166
44,2:27:02,,Prisca JEPTOO,24 JUN 1984,KEN,1,,Torino (ITA),14 NOV 2010,1162
45,2:27:04,,Eyerusalem KUMA,07 SEP 1981,ETH,2,,Amsterdam (NED),17 OCT 2010,1162
46,2:27:06,,Kum-Ok KIM,09 DEC 1988,PRK,3,,Guangzhou (CHN),27 NOV 2010,1161
47,2:27:08,,Alevtina IVANOVA,22 MAY 1975,RUS,6,,Toronto (CAN),26 SEP 2010,1161
48,2:27:11,,Lidia ŞIMON,04 SEP 1973,ROU,4,,Osaka (JPN),31 JAN 2010,1161
48,2:27:11,,Yuri KANO,27 OCT 1978,JPN,1,,Nagoya (JPN),14 MAR 2010,1161
50,2:27:19,,Kayoko OBATA,18 SEP 1971,JPN,5,,Osaka (JPN),31 JAN 2010,1159
51,2:27:20,,Silviya SKVORTSOVA,16 NOV 1974,RUS,3,,"Los Angeles, CA (USA)",21 MAR 2010,1159
52,2:27:23,,Bizunesh DEBA,08 SEP 1987,ETH,1,,St. Paul (USA),03 OCT 2010,1159
53,2:27:25,,Ashu KASIM,20 OCT 1984,ETH,1,,Istanbul (TUR),17 OCT 2010,1158
54,2:27:34,,Ryoko KIZAKI,21 JUN 1985,JPN,6,,Osaka (JPN),31 JAN 2010,1157
55,2:27:42,,Yuliya GROMOVA,21 MAY 1974,RUS,1,,"San Diego, CA (USA)",06 JUN 2010,1155
56,2:27:44,,Robe GUTA,12 OCT 1986,ETH,3,,Amsterdam (NED),17 OCT 2010,1155
56,2:27:44,,Yuliya RUBAN,06 OCT 1983,UKR,7,,Frankfurt (GER),31 OCT 2010,1155
58,2:27:45,,Yeshimebet TADESSE BIFA,15 OCT 1988,ETH,7,,Dubai (UAE),22 JAN 2010,1155
59,2:27:51,,Woynishet GIRMA,28 JUL 1986,ETH,4,,Amsterdam (NED),17 OCT 2010,1154
59,2:27:51,,Kateryna STETSENKO,16 JAN 1982,UKR,2,,Dublin (IRL),25 OCT 2010,1154
61,2:27:54,,Alemitu Abera BEGNA,1986,ETH,2,,Istanbul (TUR),17 OCT 2010,1153
62,2:28:01,,Yelena SOKOLOVA,27 DEC 1979,RUS,8,,Frankfurt (GER),31 OCT 2010,1152
63,2:28:02,,Elza SHAYAKHMETOVA-KIREYEVA,26 MAR 1979,RUS,3,,Dublin (IRL),25 OCT 2010,1152
64,2:28:06,,Albina MAYOROVA,16 MAY 1977,RUS,7,,Toronto (CAN),26 SEP 2010,1151
65,2:28:08,,Makeda HARONA,05 SEP 1988,ETH,1,,Venezia (ITA),24 OCT 2010,1151
66,2:28:13,,Derartu TULU,21 MAR 1972,ETH,2,,Nagoya (JPN),14 MAR 2010,1150
67,2:28:17,,Xueqin WANG,01 JAN 1991,CHN,4,,Seoul (KOR),21 MAR 2010,1150
68,2:28:22,,Anne BERERWE,04 NOV 1982,KEN,2,,Milano (ITA),11 APR 2010,1149
68,2:28:22,,Fate TOLA,22 OCT 1987,ETH,2,,Torino (ITA),14 NOV 2010,1149
70,2:28:24,,Goitetom Haftu TESEMA,1987,ETH,1,,La Rochelle (FRA),28 NOV 2010,1148
71,2:28:29,,Chika HORIE,15 FEB 1981,JPN,7,,Osaka (JPN),31 JAN 2010,1148
72,2:28:31,,Olena BURKOVSKA,09 AUG 1981,UKR,5,,Berlin (GER),26 SEP 2010,1147
73,2:28:35,,Hiromi OMINAMI,15 NOV 1975,JPN,3,,Nagoya (JPN),14 MAR 2010,1147
74,2:28:38,,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,9,,Frankfurt (GER),31 OCT 2010,1146
75,2:28:40,,Shalane FLANAGAN,08 JUL 1981,USA,2,,"New York, NY (USA)",07 NOV 2010,1146
76,2:28:44,,Margarita PLAKSINA,01 OCT 1977,RUS,2,,"Houston, TX (USA)",17 JAN 2010,1145
77,2:28:48,,Lisa WEIGHTMAN,16 JAN 1979,AUS,1,,Nagano (JPN),18 APR 2010,1144
78,2:28:58,,Melkam GIZAW,17 SEP 1990,ETH,1,,Reims (FRA),17 OCT 2010,1143
79,2:29:01,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,3,,"New York, NY (USA)",07 NOV 2010,1142
80,2:29:12,,Azusa NOJIRI,06 JUN 1982,JPN,8,,Osaka (JPN),31 JAN 2010,1141
80,2:29:12,,Shiru DERIBA,22 OCT 1985,ETH,2,,"San Diego, CA (USA)",06 JUN 2010,1141
82,2:29:13,,Mai ITO,23 MAY 1984,JPN,4,,Nagoya (JPN),14 MAR 2010,1140
83,2:29:17,,Yeshi ESAYIAS,28 DEC 1985,ETH,1,,Daegu (KOR),11 APR 2010,1140
84,2:29:21,,Elizabeth CHEMWENO,13 JUL 1978,KEN,2,,Venezia (ITA),24 OCT 2010,1139
85,2:29:25,,Workitu AYANU,19 APR 1987,ETH,5,,Paris (FRA),11 APR 2010,1138
86,2:29:27,,Sung-eun KIM,24 FEB 1989,KOR,5,,Seoul (KOR),21 MAR 2010,1138
86,2:29:27,,Tiki GELANA,22 OCT 1987,ETH,4,,"Los Angeles, CA (USA)",21 MAR 2010,1138
88,2:29:31,,Jiali WANG,01 FEB 1986,CHN,1,,Beijing (CHN),24 OCT 2010,1137
89,2:29:36,,Mayumi FUJITA,26 MAY 1983,JPN,5,,Nagoya (JPN),14 MAR 2010,1137
90,2:29:41,,Lyudmila PETROVA,07 OCT 1968,RUS,6,,"New York, NY (USA)",07 NOV 2010,1136
91,2:29:45,,Kaori YOSHIDA,04 AUG 1981,JPN,6,,"Chicago, IL (USA)",10 OCT 2010,1135
92,2:29:46,,Rong CHEN,18 MAY 1988,CHN,2,,Beijing (CHN),24 OCT 2010,1135
92,2:29:46,,Caroline ROTICH,13 MAY 1984,KEN,7,,"New York, NY (USA)",07 NOV 2010,1135
94,2:29:48,,Bruktayit ESHETU,29 SEP 1990,ETH,2,,Hamburg (GER),25 APR 2010,1135
94,2:29:48,,Shitaye BEDASO,1988,ETH,5,,Amsterdam (NED),17 OCT 2010,1135
96,2:29:52,,Emma Muthoni KARIUKI,04 JAN 1981,KEN,1,,Taiyuan (CHN),05 SEP 2010,1134
