Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
67,2:29:56,,Mika OKUNAGA,27 OCT 1982,JPN,7,,Osaka (JPN),29 JAN 2006,1133
68,2:29:59,,Ayumi HAYASHI,07 JUN 1982,JPN,7,,Nagoya (JPN),12 MAR 2006,1133
69,2:30:01,,Edith MASAI,04 APR 1967,KEN,7,,Hamburg (GER),23 APR 2006,1132
69,2:30:01,,Ulrike MAISCH,21 JAN 1977,GER,1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1132
71,2:30:12,,Monika STEFANOWICZ,15 MAY 1980,POL,3,,Berlin (GER),24 SEP 2006,1131
72,2:30:13,,Yuanyuan JIANG,20 DEC 1986,CHN,4,,Xiamen (CHN),25 MAR 2006,1130
73,2:30:27,,Mihaela Maria BOTEZAN-PRUNDUS,21 NOV 1976,ROU,4,,Paris (FRA),09 APR 2006,1128
73,2:30:27,,Olivera JEVTIĆ,24 JUL 1977,SRB,2,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1128
75,2:30:35,,Shujing ZHANG,13 SEP 1978,CHN,5,,Xiamen (CHN),25 MAR 2006,1127
76,2:30:39,,Lidia ŞIMON,04 SEP 1973,ROU,11,,"Chicago, IL (USA)",22 OCT 2006,1126
77,2:30:41,,Mulu SEBOKA,25 SEP 1984,ETH,9,,Nagoya (JPN),12 MAR 2006,1126
78,2:30:53,,Maria Elena VALENCIA JIMÉNEZ,25 MAY 1983,MEX,1,,Monterrey (MEX),09 DEC 2006,1124
79,2:30:54,,Kerryn MCCANN,02 MAY 1967,AUS,1,,Melbourne (AUS),19 MAR 2006,1124
79,2:30:54,,Nailia IULAMANOVA,06 SEP 1980,RUS,1,,Saransk (RUS),03 JUN 2006,1124
81,2:30:56,,Hellen Cherono KOSKEI,22 FEB 1984,KEN,2,,Melbourne (AUS),19 MAR 2006,1123
81,2:30:56,,Jane Auro EKIMAT,12 JUN 1974,KEN,1,,Taipei City (TPE),17 DEC 2006,1123
83,2:31:01,,Živilé BALČIUNAITĖ,03 APR 1979,LTU,4,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1123
84,2:31:03,,Mika HIKICHI,07 FEB 1982,JPN,10,,Nagoya (JPN),12 MAR 2006,1122
85,2:31:08,,Caroline KWAMBAI,09 SEP 1975,KEN,2,,Praha (CZE),14 MAY 2006,1121
86,2:31:10,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,3,,Praha (CZE),14 MAY 2006,1121
87,2:31:11,,Ayelech WORKU,12 JUN 1979,ETH,5,,Amsterdam (NED),15 OCT 2006,1121
88,2:31:15,,Bruna GENOVESE,24 SEP 1976,ITA,5,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1120
89,2:31:20,,Kirsten Melkevik OTTERBU,29 MAY 1970,NOR,2,,Frankfurt (GER),29 OCT 2006,1120
90,2:31:22,,Naoko TAKAHASHI,06 MAY 1972,JPN,3,,Tokyo (JPN),19 NOV 2006,1119
91,2:31:27,,Zinayida SEMYONOVA,19 MAR 1962,RUS,8,,Hamburg (GER),23 APR 2006,1118
92,2:31:29,,Mary PTIKANY,1978,KEN,3,,Wien (AUT),07 MAY 2006,1118
93,2:31:30,,Hafida IZEM,20 APR 1979,MAR,3,,Frankfurt (GER),29 OCT 2006,1118
94,2:31:31,,Deborah TONIOLO,24 APR 1977,ITA,7,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1118
95,2:31:34,,Zahia DAHMANI,02 JUN 1972,FRA,6,,Paris (FRA),09 APR 2006,1117
96,2:31:39,,Liz YELLING,05 DEC 1974,GBR,6,,Amsterdam (NED),15 OCT 2006,1116
97,2:31:41,,Eri HAYAKAWA,15 NOV 1981,JPN,10,,London (GBR),23 APR 2006,1116
98,2:31:43,,Yanan WEI,06 DEC 1981,CHN,6,,Xiamen (CHN),25 MAR 2006,1116
99,2:31:44,,Debellu Shitaye GEMECHU,17 JUN 1980,ETH,1,,"Tempe, AZ (USA)",15 JAN 2006,1116
100,2:31:48,,Elva DRYER,26 SEP 1971,USA,12,,"Chicago, IL (USA)",22 OCT 2006,1115
