Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:19:36,,Deena KASTOR,14 FEB 1973,USA,1,,London (GBR),23 APR 2006,1237
2,2:19:51,,Chunxiu ZHOU,15 NOV 1978,CHN,1,,Seoul (KOR),12 MAR 2006,1235
3,2:20:42,,Berhane ADERE,23 NOV 1973,ETH,1,,"Chicago, IL (USA)",22 OCT 2006,1226
4,2:20:47,,Galina BOGOMOLOVA,15 OCT 1977,RUS,2,,"Chicago, IL (USA)",22 OCT 2006,1225
5,2:21:29,,Lyudmila PETROVA,07 OCT 1968,RUS,2,,London (GBR),23 APR 2006,1218
6,2:21:34,,Gete WAMI,11 DEC 1974,ETH,1,,Berlin (GER),24 SEP 2006,1217
7,2:21:46,,Susan CHEPKEMEI,25 JUN 1975,KEN,3,,London (GBR),23 APR 2006,1215
8,2:22:36,,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,3,,"Chicago, IL (USA)",22 OCT 2006,1207
9,2:22:59,,Madaí PÉREZ,02 FEB 1980,MEX,4,,"Chicago, IL (USA)",22 OCT 2006,1203
10,2:23:22,,Salina Jebet KOSGEI,16 NOV 1976,KEN,2,,Berlin (GER),24 SEP 2006,1199
11,2:23:26,,Harumi HIROYAMA-SUZUKI,02 SEP 1968,JPN,1,,Nagoya (JPN),12 MAR 2006,1198
12,2:23:58,,Yoko SHIBUI,14 MAR 1979,JPN,2,,Nagoya (JPN),12 MAR 2006,1193
13,2:24:25,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,5,,"Chicago, IL (USA)",22 OCT 2006,1188
14,2:24:33,,Tomo MORIMOTO,27 DEC 1983,JPN,1,,Wien (AUT),07 MAY 2006,1187
15,2:24:35,,Robe GUTA,12 OCT 1986,ETH,1,,Hamburg (GER),23 APR 2006,1187
16,2:25:05,,Catherine NDEREBA,21 JUL 1972,KEN,1,,Osaka (JPN),29 JAN 2006,1182
17,2:25:10,,Lidiya GRIGORYEVA,21 JAN 1974,RUS,1,,"Los Angeles, CA (USA)",18 MAR 2006,1181
18,2:25:13,,Mara YAMAUCHI,13 AUG 1973,GBR,6,,London (GBR),23 APR 2006,1180
19,2:25:37,,Nuţa OLARU,28 AUG 1970,ROU,6,,"Chicago, IL (USA)",22 OCT 2006,1176
20,2:25:44,,Tetyana HLADYR,17 APR 1975,UKR,1,,Roma (ITA),26 MAR 2006,1175
21,2:25:52,,Kayoko OBATA,18 SEP 1971,JPN,2,,Osaka (JPN),29 JAN 2006,1174
22,2:26:04,,Hiromi OMINAMI,15 NOV 1975,JPN,7,,"Chicago, IL (USA)",22 OCT 2006,1172
23,2:26:15,,Reiko TOSA,11 JUN 1976,JPN,1,,Tokyo (JPN),19 NOV 2006,1170
24,2:26:18,,Lyubov DENISOVA,06 OCT 1971,RUS,3,,"Los Angeles, CA (USA)",18 MAR 2006,1169
25,2:26:26,,Larisa ZYUZKO,27 APR 1969,RUS,2,,Roma (ITA),26 MAR 2006,1168
26,2:26:32,,Weiwei SUN,13 JAN 1985,CHN,1,,Xiamen (CHN),25 MAR 2006,1167
27,2:26:47,,Kiyoko SHIMAHARA,22 DEC 1976,JPN,3,,Osaka (JPN),29 JAN 2006,1165
28,2:27:09,,Rose CHERUIYOT,21 JUL 1976,KEN,2,,Hamburg (GER),23 APR 2006,1161
29,2:27:13,,Masami SAKATA,11 OCT 1984,JPN,4,,Osaka (JPN),29 JAN 2006,1160
30,2:27:22,,Bun-Hui JO,29 NOV 1979,PRK,1,,Pyongyang (PRK),08 APR 2006,1159
30,2:27:22,,Irina TIMOFEYEVA,05 APR 1970,RUS,1,,Paris (FRA),09 APR 2006,1159
32,2:27:32,,Natalya VOLGINA,15 MAR 1977,RUS,2,,Paris (FRA),09 APR 2006,1157
33,2:27:34,,Yong-Ok JONG,24 JAN 1981,PRK,2,,Pyongyang (PRK),08 APR 2006,1157
34,2:27:35,,Irina PERMITINA,03 FEB 1968,RUS,3,,Hamburg (GER),23 APR 2006,1157
35,2:27:38,,Adenech ZEKIROS,26 MAR 1982,ETH,3,,Roma (ITA),26 MAR 2006,1156
36,2:27:57,,Askale Magarsa TAFA,27 SEP 1984,ETH,1,,Milano (ITA),08 OCT 2006,1153
37,2:28:01,,Chika HORIE,15 FEB 1981,JPN,3,,Nagoya (JPN),12 MAR 2006,1152
38,2:28:27,,Xiaolin ZHU,20 FEB 1984,CHN,2,,Xiamen (CHN),25 MAR 2006,1148
39,2:28:30,,Gishu MINDAYE,18 AUG 1986,ETH,1,,Rotterdam (NED),09 APR 2006,1147
39,2:28:30,,Luminita ZAITUC,09 OCT 1968,GER,1,,Köln (GER),08 OCT 2006,1147
41,2:28:39,,Kathy BUTLER,22 OCT 1973,GBR,9,,"Chicago, IL (USA)",22 OCT 2006,1146
42,2:28:42,,Emily Chepar KIMURIA,10 JUN 1975,KEN,4,,Hamburg (GER),23 APR 2006,1145
43,2:28:51,,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,2,,Milano (ITA),08 OCT 2006,1144
43,2:28:51,,Helena Loshanyang KIROP,09 SEP 1976,KEN,2,,Amsterdam (NED),15 OCT 2006,1144
43,2:28:51,,Akemi OZAKI,12 OCT 1977,JPN,2,,Tokyo (JPN),19 NOV 2006,1144
46,2:28:52,,Albina MAYOROVA,16 MAY 1977,RUS,1,,Nagano (JPN),16 APR 2006,1144
47,2:28:54,,Dulce María RODRÍGUEZ,14 AUG 1972,MEX,10,,"Chicago, IL (USA)",22 OCT 2006,1143
48,2:28:55,,Elizabeth CHEMWENO,13 JUL 1978,KEN,5,,Hamburg (GER),23 APR 2006,1143
49,2:29:09,,Chieko YAMAZAKI,28 MAY 1977,JPN,2,,Wien (AUT),07 MAY 2006,1141
50,2:29:16,,Margaret OKAYO,30 MAY 1976,KEN,9,,London (GBR),23 APR 2006,1140
51,2:29:17,,Dorota GRUCA,05 DEC 1970,POL,6,,Osaka (JPN),29 JAN 2006,1140
52,2:29:20,,Alina IVANOVA,16 MAR 1969,RUS,1,,Praha (CZE),14 MAY 2006,1139
53,2:29:28,,Silviya SKVORTSOVA,16 NOV 1974,RUS,2,,Nagano (JPN),16 APR 2006,1138
54,2:29:30,,Camelia Alina TECUŢĂ-GHERASIM,10 NOV 1971,ROU,4,,Nagoya (JPN),12 MAR 2006,1138
55,2:29:32,,Jennifer RHINES,01 JUL 1974,USA,4,,Roma (ITA),26 MAR 2006,1137
55,2:29:32,,Leila AMAN,24 NOV 1977,ETH,3,,Amsterdam (NED),15 OCT 2006,1137
57,2:29:37,,Helena JAVORNIK,26 MAR 1966,SLO,2,,Rotterdam (NED),09 APR 2006,1136
58,2:29:42,,Alevtina BIKTIMIROVA,10 SEP 1982,RUS,2,,"Honolulu, HI (USA)",10 DEC 2006,1136
59,2:29:43,,Lyudmila KORCHAGINA,26 JUL 1971,CAN,1,,Ottawa (CAN),28 MAY 2006,1135
60,2:29:46,,Nina RILLSTONE,15 APR 1975,NZL,3,,Nagano (JPN),16 APR 2006,1135
61,2:29:48,,Yuko MACHIDA,11 AUG 1980,JPN,5,,Nagoya (JPN),12 MAR 2006,1135
61,2:29:48,,Pamela CHEPCHUMBA,08 MAR 1979,KEN,3,,Paris (FRA),09 APR 2006,1135
61,2:29:48,,Fernanda RIBEIRO,23 JUN 1969,POR,6,,Hamburg (GER),23 APR 2006,1135
64,2:29:51,,Man JIN,05 DEC 1984,CHN,3,,Xiamen (CHN),25 MAR 2006,1134
65,2:29:53,,Yasuko HASHIMOTO,12 AUG 1975,JPN,6,,Nagoya (JPN),12 MAR 2006,1134
66,2:29:55,,Svetlana PONOMARENKO,28 NOV 1969,RUS,1,,"Dallas, TX (USA)",10 DEC 2006,1133
