Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
62,2:22:28,,Gutemi Shone IMANA,17 NOV 1991,ETH,11,,Berlin (GER),25 SEP 2022,1208
64,2:22:29,,Mao UESUGI,16 AUG 1995,JPN,2,,Osaka (JPN),30 JAN 2022,1208
65,2:22:36,,Sentayehu LEWETEGN,09 MAY 1996,ETH,2,,Ljubljana (SLO),23 OCT 2022,1207
66,2:22:43,,Pamela ROTICH,25 DEC 1984,KEN,2,,Daegu (KOR),03 APR 2022,1206
67,2:22:47,,Pascalia JEPKOGEI,19 NOV 2001,KEN,1,,Eindhoven (NED),09 OCT 2022,1205
67,2:22:47,,Rebecca CHEPTEGEI,22 FEB 1991,UGA,4,,Abu Dhabi (UAE),17 DEC 2022,1205
69,2:22:51,,Nienke BRINKMAN,28 OCT 1993,NED,2,,Rotterdam (NED),10 APR 2022,1204
70,2:22:52,,Fantu JIMMA,11 SEP 1987,ETH,2,,Paris (FRA),03 APR 2022,1204
70,2:22:52,,Bere AYALEW,12 SEP 1999,ETH,2,,Eindhoven (NED),09 OCT 2022,1204
70,2:22:52,,Meseret DINKE,22 SEP 1996,ETH,5,,Abu Dhabi (UAE),17 DEC 2022,1204
73,2:22:56,,Bekelech GUDETA,11 OCT 1997,ETH,1,,Praha (CZE),08 MAY 2022,1203
74,2:23:01,,Sheila JEROTICH,06 JUN 1989,KEN,3,,Wien (AUT),24 APR 2022,1202
75,2:23:05,,Natsumi MATSUSHITA,22 JAN 1995,JPN,3,,Osaka (JPN),30 JAN 2022,1202
76,2:23:09,,Rebbeca Sirwanei TANUI,16 JUN 1992,KEN,1,,San Sebastián (ESP),27 NOV 2022,1201
77,2:23:11,,Mizuki TANIMOTO,18 DEC 1994,JPN,4,,Osaka (JPN),30 JAN 2022,1201
77,2:23:11,,Meseret GEBRE,17 FEB 1993,ETH,1,,Barcelona (ESP),08 MAY 2022,1201
77,2:23:11,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1,,Frankfurt (GER),30 OCT 2022,1201
80,2:23:12,,Natasha WODAK,17 DEC 1981,CAN,12,,Berlin (GER),25 SEP 2022,1201
80,2:23:12,,Rose CHELIMO,12 JUL 1989,BRN,4,,Amsterdam (NED),16 OCT 2022,1201
82,2:23:14,,Meseret BELETE,16 SEP 1999,ETH,13,,Berlin (GER),25 SEP 2022,1200
83,2:23:16,,Besu SADO,12 JAN 1996,ETH,3,,Paris (FRA),03 APR 2022,1200
84,2:23:18,,Emma BATES,08 JUL 1992,USA,7,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1200
85,2:23:20,,Antonina KWAMBAI,01 APR 1992,KEN,1,,Toronto (CAN),16 OCT 2022,1199
86,2:23:23,,Sharon LOKEDI,10 MAR 1994,KEN,1,,"New York, NY (USA)",06 NOV 2022,1199
87,2:23:26,,Agnes KEINO,17 JAN 1988,KEN,1,,München (GER),09 OCT 2022,1198
88,2:23:39,,Adawork ABERTA,28 NOV 1996,ETH,7,,Sevilla (ESP),20 FEB 2022,1196
88,2:23:39,,Bojana BJELJAC,10 APR 1989,CRO,14,,Valencia (ESP),04 DEC 2022,1196
90,2:23:41,,Waganesh MEKASHA,16 JAN 1992,ETH,5,,"Chicago, IL (USA)",09 OCT 2022,1196
91,2:23:53,,Philomena CHEYECH,05 JUL 1982,KEN,2,,Enschede (NED),24 APR 2022,1194
92,2:23:54,,Giovanna EPIS,11 OCT 1988,ITA,15,,Valencia (ESP),04 DEC 2022,1194
93,2:24:00,,Lisa WEIGHTMAN,16 JAN 1979,AUS,15,,Berlin (GER),25 SEP 2022,1193
94,2:24:02,,Yukari ABE,21 AUG 1989,JPN,5,,Osaka (JPN),30 JAN 2022,1192
95,2:24:04,,Margaret AGAI,10 JUN 1988,KEN,1,,Košice (SVK),02 OCT 2022,1192
96,2:24:07,,Adanech ANBESA,23 JAN 1998,ETH,4,,Paris (FRA),03 APR 2022,1191
97,2:24:09,,Yenenesh TILAHUN DINKESA,22 SEP 1994,ETH,5,,Paris (FRA),03 APR 2022,1191
98,2:24:10,,Helah Jelagat KIPROP,07 APR 1985,KEN,1,,København (DEN),15 MAY 2022,1191
99,2:24:16,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,4,,"New York, NY (USA)",06 NOV 2022,1190
100,2:24:21,,Zinah SENBETA,30 SEP 1998,ETH,5,,Amsterdam (NED),16 OCT 2022,1189
