Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:14:18,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,"Chicago, IL (USA)",09 OCT 2022,1293
2,2:14:58,,Amane Beriso SHANKULE,13 OCT 1991,ETH,1,,Valencia (ESP),04 DEC 2022,1286
3,2:15:37,,Tigst ASSEFA,03 DEC 1996,ETH,1,,Berlin (GER),25 SEP 2022,1279
4,2:16:02,,Brigid KOSGEI,20 FEB 1994,KEN,1,,Tokyo (JPN),06 MAR 2022,1274
5,2:16:49,,Letesenbet GIDEY,20 MAR 1998,ETH,2,,Valencia (ESP),04 DEC 2022,1266
6,2:17:20,,Almaz AYANA,21 NOV 1991,ETH,1,,Amsterdam (NED),16 OCT 2022,1261
7,2:17:23,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,,Hamburg (GER),24 APR 2022,1260
8,2:17:29,,Sheila CHEPKIRUI,27 DEC 1990,KEN,3,,Valencia (ESP),04 DEC 2022,1259
9,2:17:36,,Tadu TESHOME,09 JUN 2001,ETH,4,,Valencia (ESP),04 DEC 2022,1258
10,2:17:58,,Ashete BEKERE,17 APR 1988,ETH,2,,Tokyo (JPN),06 MAR 2022,1254
11,2:18:00,,Rosemary WANJIRU,09 DEC 1994,KEN,2,,Berlin (GER),25 SEP 2022,1254
12,2:18:03,,Tigist ABAYECHEW,22 FEB 1994,ETH,3,,Berlin (GER),25 SEP 2022,1253
13,2:18:04,,Joan Chelimo MELLY,10 NOV 1990,ROU,1,,Seoul (KOR),17 APR 2022,1253
14,2:18:05,,Genzebe DIBABA,08 FEB 1991,ETH,2,,Amsterdam (NED),16 OCT 2022,1253
15,2:18:07,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,2,,London (GBR),02 OCT 2022,1253
16,2:18:11,,Gotytom GEBRESLASE,15 JAN 1995,ETH,1,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1252
16,2:18:11,,Fancy CHEMUTAI,20 MAR 1995,KEN,5,,Valencia (ESP),04 DEC 2022,1252
18,2:18:12,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,2,,Seoul (KOR),17 APR 2022,1252
19,2:18:20,,Judith Jeptum KORIR,12 DEC 1995,KEN,2,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1250
20,2:18:29,,Emily SISSON,12 OCT 1991,USA,2,,"Chicago, IL (USA)",09 OCT 2022,1249
21,2:18:32,,Megertu ALEMU,12 OCT 1997,ETH,3,,London (GBR),02 OCT 2022,1248
22,2:18:42,,Angela TANUI,27 JUL 1992,KEN,4,,Tokyo (JPN),06 MAR 2022,1247
23,2:18:45,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,2,,Nagoya (JPN),13 MAR 2022,1246
24,2:18:47,,Tiruye MESFIN,11 SEP 2002,ETH,6,,Valencia (ESP),04 DEC 2022,1246
25,2:18:51,,Workenesh EDESA,11 SEP 1992,ETH,4,,Berlin (GER),25 SEP 2022,1245
26,2:18:52,,Tigist GIRMA,12 JUL 1993,ETH,7,,Valencia (ESP),04 DEC 2022,1245
27,2:18:59,,Tsehay GEMECHU,12 DEC 1998,ETH,3,,Amsterdam (NED),16 OCT 2022,1244
28,2:19:10,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,5,,Tokyo (JPN),06 MAR 2022,1242
29,2:19:12,,Keira D'AMATO,21 OCT 1984,USA,1,,"Houston, TX (USA)",16 JAN 2022,1242
30,2:20:02,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,3,,Seoul (KOR),17 APR 2022,1233
31,2:20:03,,Etagegne WOLDU,10 MAY 1996,ETH,8,,Valencia (ESP),04 DEC 2022,1233
32,2:20:10,,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,4,,Seoul (KOR),17 APR 2022,1232
33,2:20:18,,Vivian KIPLAGAT,09 NOV 1991,KEN,1,,Milano (ITA),03 APR 2022,1230
34,2:20:22,,Mary Wacera NGUGI,17 DEC 1988,KEN,7,,London (GBR),02 OCT 2022,1230
35,2:20:29,,Nazret WELDU,01 JAN 1990,ERI,4,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1228
36,2:20:40,,Dolshi TESFU,17 JUN 1999,ERI,9,,Valencia (ESP),04 DEC 2022,1226
37,2:20:50,,Sisay Meseret GOLA,30 DEC 1997,ETH,2,,Sevilla (ESP),20 FEB 2022,1225
38,2:20:52,,Mizuki MATSUDA,31 MAY 1995,JPN,1,,Osaka (JPN),30 JAN 2022,1224
39,2:20:59,,Vibian CHEPKURUI,05 JUN 1994,KEN,1,,Wien (AUT),24 APR 2022,1223
40,2:21:01,,Majida MAAYOUF,27 APR 1989,MAR,10,,Valencia (ESP),04 DEC 2022,1223
41,2:21:02,,Mao ICHIYAMA,29 MAY 1997,JPN,6,,Tokyo (JPN),06 MAR 2022,1223
42,2:21:03,,Ruth CHEBITOK,26 DEC 1990,KEN,2,,Wien (AUT),24 APR 2022,1223
43,2:21:08,,Siranesh YIRGA,11 SEP 2000,ETH,1,,Ljubljana (SLO),23 OCT 2022,1222
44,2:21:10,,Maurine CHEPKEMOI,24 MAY 1998,KEN,1,,Enschede (NED),24 APR 2022,1221
45,2:21:17,,Yeshi Kalayu CHEKOLE,12 JUL 1997,ETH,3,,Sevilla (ESP),20 FEB 2022,1220
45,2:21:17,,Hitomi NIIYA,26 FEB 1988,JPN,7,,Tokyo (JPN),06 MAR 2022,1220
47,2:21:25,,Mare DIBABA,20 OCT 1989,ETH,3,,Abu Dhabi (UAE),17 DEC 2022,1219
48,2:21:34,,Bruktayit ESHETU,29 SEP 1990,ETH,11,,Valencia (ESP),04 DEC 2022,1217
48,2:21:34,,Sinead DIVER,17 FEB 1977,AUS,12,,Valencia (ESP),04 DEC 2022,1217
50,2:21:41,,Ruti AGA,16 JAN 1994,ETH,4,,"Chicago, IL (USA)",09 OCT 2022,1216
51,2:21:42,,Ai HOSODA,27 NOV 1995,JPN,9,,London (GBR),02 OCT 2022,1216
52,2:21:55,,Rika KASEDA,02 MAR 1999,JPN,7,,Berlin (GER),25 SEP 2022,1214
53,2:22:01,,Haven Hailu DESSE,10 SEP 1998,ETH,1,,Rotterdam (NED),10 APR 2022,1213
54,2:22:02,,Ayuko SUZUKI,08 OCT 1991,JPN,8,,Berlin (GER),25 SEP 2022,1212
55,2:22:10,,Sara HALL,15 APR 1983,USA,5,,"Autzen Complex, Eugene, OR (USA)",18 JUL 2022,1211
56,2:22:13,,Chimdesa KUMSA,1995,ETH,4,,Sevilla (ESP),20 FEB 2022,1211
56,2:22:13,,Sayaka SATO,27 MAY 1994,JPN,9,,Berlin (GER),25 SEP 2022,1211
58,2:22:19,,Sintayehu TILAHUN,1999,ETH,2,,Milano (ITA),03 APR 2022,1210
59,2:22:21,,Atalel ANMUT,15 DEC 1999,ETH,3,,Milano (ITA),03 APR 2022,1209
60,2:22:22,,Yuka ANDO,16 MAR 1994,JPN,3,,Nagoya (JPN),13 MAR 2022,1209
61,2:22:27,,Jess PIASECKI,18 APR 1990,GBR,5,,Sevilla (ESP),20 FEB 2022,1208
62,2:22:28,,Kidsan ALEMA,29 JUL 1995,ETH,6,,Sevilla (ESP),20 FEB 2022,1208
