Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:19:25,,Gladys CHERONO,12 MAY 1983,KEN,1,,Berlin (GER),27 SEP 2015,1239
2,2:19:52,,Mare DIBABA,20 OCT 1989,ETH,1,,Xiamen (CHN),03 JAN 2015,1235
3,2:20:02,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,1,,Dubai (UAE),23 JAN 2015,1233
4,2:20:21,,Lucy Kabuu WANGUI,24 MAR 1984,KEN,3,,Dubai (UAE),23 JAN 2015,1230
5,2:20:48,,Aberu KEBEDE,12 SEP 1986,ETH,2,,Berlin (GER),27 SEP 2015,1225
6,2:20:59,,Shure DEMISE,21 JAN 1996,ETH,4,,Dubai (UAE),23 JAN 2015,1223
7,2:21:56,,Mulu SEBOKA,25 SEP 1984,ETH,6,,Dubai (UAE),23 JAN 2015,1213
8,2:22:08,,Eunice Jepkirui KIRWA,20 MAY 1984,BRN,1,,Nagoya (JPN),08 MAR 2015,1211
9,2:22:48,,Sairi MAEDA,07 NOV 1991,JPN,2,,Nagoya (JPN),08 MAR 2015,1205
10,2:22:51,,Tadelech BEKELE,11 APR 1991,ETH,7,,Dubai (UAE),23 JAN 2015,1204
11,2:23:12,,Gulume CHALA,11 SEP 1992,ETH,1,,Frankfurt (GER),25 OCT 2015,1201
11,2:23:12,,Dinknesh Mekash TEFERA,11 SEP 1985,ETH,2,,Frankfurt (GER),25 OCT 2015,1201
13,2:23:15,,Birhane DIBABA,11 SEP 1993,ETH,1,,Tokyo (JPN),22 FEB 2015,1200
14,2:23:22,,Tigist TUFA,26 JAN 1987,ETH,1,,London (GBR),26 APR 2015,1199
15,2:23:23,,Yebrgual MELESE,18 APR 1990,ETH,1,,"Houston, TX (USA)",18 JAN 2015,1199
16,2:23:26,,Meseret MENGISTU,06 MAR 1990,ETH,1,,Paris (FRA),12 APR 2015,1198
17,2:23:30,,Amane GOBENA,11 SEP 1986,ETH,2,,Paris (FRA),12 APR 2015,1198
18,2:23:32,,Gutemi Shone IMANA,17 NOV 1991,ETH,2,,"Houston, TX (USA)",18 JAN 2015,1197
19,2:23:33,,Abebech AFEWORK,11 DEC 1990,ETH,8,,Dubai (UAE),23 JAN 2015,1197
19,2:23:33,,Florence KIPLAGAT,27 FEB 1987,KEN,1,,"Chicago, IL (USA)",11 OCT 2015,1197
