Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
21,2:23:40,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,2,,London (GBR),26 APR 2015,1196
22,2:23:41,,Tirfi TSEGAYE,25 NOV 1984,ETH,3,,London (GBR),26 APR 2015,1196
23,2:23:43,,Ashete BEKERE,17 APR 1988,ETH,9,,Dubai (UAE),23 JAN 2015,1195
24,2:23:51,,Bruktayit ESHETU,29 SEP 1990,ETH,3,,"Houston, TX (USA)",18 JAN 2015,1194
25,2:23:52,,Koren Jelila YAL,18 JAN 1987,ETH,3,,Frankfurt (GER),25 OCT 2015,1194
26,2:24:03,,Helah Jelagat KIPROP,07 APR 1985,KEN,2,,Tokyo (JPN),22 FEB 2015,1192
27,2:24:07,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,1,,Osaka (JPN),25 JAN 2015,1191
28,2:24:11,,Joyce CHEPKIRUI,20 AUG 1988,KEN,1,,Amsterdam (NED),18 OCT 2015,1191
29,2:24:16,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,2,,Toronto (CAN),18 OCT 2015,1190
29,2:24:16,,Fatuma SADO,11 OCT 1991,ETH,3,,Toronto (CAN),18 OCT 2015,1190
31,2:24:23,,Jemima Jelagat SUMGONG,21 DEC 1984,KEN,6,,London (GBR),26 APR 2015,1189
32,2:24:25,,Kayoko FUKUSHI,25 MAR 1982,JPN,4,,"Chicago, IL (USA)",11 OCT 2015,1188
33,2:24:26,,Tiki GELANA,22 OCT 1987,ETH,3,,Tokyo (JPN),22 FEB 2015,1188
34,2:24:29,,Bethelhem MOGES,03 MAY 1991,ETH,10,,Dubai (UAE),23 JAN 2015,1188
35,2:24:33,,Meseret Hailu DEBELE,12 SEP 1990,ETH,3,,Berlin (GER),27 SEP 2015,1187
36,2:24:38,,Philomena CHEYECH,05 JUL 1982,KEN,2,,Amsterdam (NED),18 OCT 2015,1186
36,2:24:38,,Sardana TROFIMOVA,28 MAR 1988,RUS,4,,Frankfurt (GER),25 OCT 2015,1186
38,2:24:42,,Mai ITO,23 MAY 1984,JPN,3,,Nagoya (JPN),08 MAR 2015,1185
39,2:24:44,,Sultan HAYDAR,23 JUN 1987,TUR,11,,Dubai (UAE),23 JAN 2015,1185
39,2:24:44,,Visiline JEPKESHO,30 DEC 1989,KEN,3,,Paris (FRA),12 APR 2015,1185
41,2:24:49,,Sara MOREIRA,17 OCT 1985,POR,2,,Praha (CZE),03 MAY 2015,1184
42,2:25:01,,Prisca JEPTOO,24 JUN 1984,KEN,7,,London (GBR),26 APR 2015,1182
43,2:25:09,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,1,,Lisboa (POR),18 OCT 2015,1181
44,2:25:11,,Meskerem ASSEFA,03 OCT 1991,ETH,6,,"Chicago, IL (USA)",11 OCT 2015,1181
45,2:25:15,,Dulce FÉLIX,23 OCT 1982,POR,8,,London (GBR),26 APR 2015,1180
46,2:25:22,,Rebeca CHESIRE,04 DEC 1992,KEN,12,,Dubai (UAE),23 JAN 2015,1179
47,2:25:24,,Letebrhan Haylay GEBRESLASEA,29 OCT 1990,ETH,3,,Praha (CZE),03 MAY 2015,1178
48,2:25:30,,Aberu Mekuria ZENNEBE,24 DEC 1983,ETH,1,,Ottawa (CAN),24 MAY 2015,1177
49,2:25:36,,Volha MAZURONAK,14 APR 1989,BLR,9,,London (GBR),26 APR 2015,1176
50,2:25:42,,Melkam GIZAW,17 SEP 1990,ETH,1,,Ljubljana (SLO),25 OCT 2015,1175
51,2:25:44,,Atsede BAYISA,16 APR 1987,ETH,1,,Saitama (JPN),15 NOV 2015,1175
52,2:25:46,,Agnes KIPROP,14 JAN 1980,KEN,1,,Hengshui (CHN),26 SEP 2015,1175
53,2:25:59,,Marta MEGRA,30 DEC 1990,ETH,2,,Hengshui (CHN),26 SEP 2015,1173
54,2:26:14,,Fantu JIMMA,11 SEP 1987,ETH,14,,Dubai (UAE),23 JAN 2015,1170
55,2:26:16,,Sylvia Jebiwot KIBET,28 MAR 1984,KEN,2,,Hamburg (GER),26 APR 2015,1170
56,2:26:23,,Rael Nguriatukei KINYARA,04 APR 1984,KEN,1,,Shanghai (CHN),08 NOV 2015,1169
57,2:26:30,,Asami KATO,12 OCT 1990,JPN,1,,Rotterdam (NED),12 APR 2015,1167
58,2:26:31,,Janet Jelagat RONO,08 DEC 1988,KEN,4,,Praha (CZE),03 MAY 2015,1167
59,2:26:39,,Risa SHIGETOMO,29 AUG 1987,JPN,2,,Osaka (JPN),25 JAN 2015,1166
60,2:26:43,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,4,,Tokyo (JPN),22 FEB 2015,1165
61,2:26:45,,Meselech MELKAMU,19 APR 1985,ETH,5,,Ottawa (CAN),24 MAY 2015,1165
62,2:26:46,,Andrea DEELTSTRA,06 MAR 1985,NED,5,,Berlin (GER),27 SEP 2015,1165
63,2:26:49,,Maja NEUENSCHWANDER,13 FEB 1980,SUI,6,,Berlin (GER),27 SEP 2015,1164
64,2:26:54,,Changqin DING,27 NOV 1991,CHN,1,,Chongqing (CHN),22 MAR 2015,1163
65,2:26:57,,Christelle DAUNAY,05 DEC 1974,FRA,5,,"New York, NY (USA)",01 NOV 2015,1163
65,2:26:57,,Beata NAIGAMBO,11 MAR 1980,NAM,1,,Valencia (ESP),15 NOV 2015,1163
67,2:27:06,,Mercy KIBARUS,25 FEB 1984,KEN,2,,Warszawa (POL),26 APR 2015,1161
68,2:27:08,,Lucy KARIMI,06 OCT 1986,KEN,15,,Dubai (UAE),23 JAN 2015,1161
69,2:27:12,,Sechale DALASA,20 SEP 1991,ETH,4,,"Houston, TX (USA)",18 JAN 2015,1160
70,2:27:14,,Yeshi ESAYIAS,28 DEC 1985,ETH,6,,Ottawa (CAN),24 MAY 2015,1160
71,2:27:16,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,10,,London (GBR),26 APR 2015,1160
72,2:27:17,,Meseret TOLWAK,08 NOV 1993,ETH,5,,Frankfurt (GER),25 OCT 2015,1160
73,2:27:21,,Souad AIT SALEM,06 JAN 1979,ALG,1,,Hannover (GER),19 APR 2015,1159
74,2:27:26,,Monica JEPKOECH,01 JAN 1983,KEN,4,,Toronto (CAN),18 OCT 2015,1158
75,2:27:28,,Meseret LEGESE,26 AUG 1987,ETH,7,,Paris (FRA),12 APR 2015,1158
76,2:27:29,,Shuko GENEMO,13 SEP 1995,ETH,3,,Hengshui (CHN),26 SEP 2015,1158
77,2:27:34,,Nancy Jepkosgei KIPROP,07 JUL 1979,KEN,2,,Valencia (ESP),15 NOV 2015,1157
78,2:27:35,,Yinli HE,20 SEP 1988,CHN,2,,Chongqing (CHN),22 MAR 2015,1157
79,2:27:45,,Jessica TRENGOVE,15 AUG 1987,AUS,1,,Melbourne (AUS),18 OCT 2015,1155
80,2:27:47,,Iwona LEWANDOWSKA,19 FEB 1985,POL,11,,London (GBR),26 APR 2015,1155
80,2:27:47,,Deena KASTOR,14 FEB 1973,USA,7,,"Chicago, IL (USA)",11 OCT 2015,1155
82,2:27:50,,Diane NUKURI,01 DEC 1984,BDI,12,,London (GBR),26 APR 2015,1154
83,2:27:52,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,3,,Chongqing (CHN),22 MAR 2015,1154
84,2:27:53,,Mirriam WANGARI,22 FEB 1979,KEN,3,,Xiamen (CHN),03 JAN 2015,1154
85,2:27:57,,Lisa Christina NEMEC,18 MAY 1984,CRO,7,,Berlin (GER),27 SEP 2015,1153
86,2:28:00,,Filomena COSTA,22 FEB 1985,POR,1,,Sevilla (ESP),22 FEB 2015,1152
86,2:28:00,,Tomomi TANAKA,25 SEP 1988,JPN,8,,Berlin (GER),27 SEP 2015,1152
88,2:28:02,,Tizita TERECHA,12 OCT 1992,ETH,1,,Guangzhou (CHN),06 DEC 2015,1152
89,2:28:04,,Sonia THOMAS-SAMUELS,16 MAY 1979,GBR,9,,Berlin (GER),27 SEP 2015,1152
90,2:28:09,,Risa TAKENAKA,06 JAN 1990,JPN,4,,Nagoya (JPN),08 MAR 2015,1151
90,2:28:09,,Lanni MARCHANT,11 APR 1984,CAN,5,,Toronto (CAN),18 OCT 2015,1151
92,2:28:12,,Gladys TEJEDA,30 SEP 1985,PER,2,,Rotterdam (NED),12 APR 2015,1150
93,2:28:18,,Aynalem KASSAHUN,28 NOV 1993,ETH,1,,Barcelona (ESP),15 MAR 2015,1149
93,2:28:18,,Inés MELCHOR,30 AUG 1986,PER,1,,Santiago de Chile (CHI),12 APR 2015,1149
95,2:28:19,,Keiko NOGAMI,06 DEC 1985,JPN,5,,Nagoya (JPN),08 MAR 2015,1149
96,2:28:20,,Sung-eun KIM,24 FEB 1989,KOR,2,,Seoul (KOR),15 MAR 2015,1149
97,2:28:23,,Laura THWEATT,17 DEC 1988,USA,7,,"New York, NY (USA)",01 NOV 2015,1149
98,2:28:24,,Fate TOLA,22 OCT 1987,ETH,10,,Berlin (GER),27 SEP 2015,1148
99,2:28:29,,Annie BERSAGEL,30 MAR 1983,USA,1,,Düsseldorf (GER),26 APR 2015,1148
100,2:28:35,,Ruihuan LIU,29 JUN 1992,CHN,4,,Hengshui (CHN),26 SEP 2015,1147
