Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:19:19,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,London (GBR),17 APR 2011,1240
2,2:19:44,,Florence KIPLAGAT,27 FEB 1987,KEN,1,,Berlin (GER),25 SEP 2011,1236
3,2:20:46,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,2,,London (GBR),17 APR 2011,1225
4,2:21:59,,Mamitu DASKA,16 OCT 1983,ETH,1,,Frankfurt (GER),30 OCT 2011,1213
5,2:22:08,,Tiki GELANA,22 OCT 1987,ETH,1,,Amsterdam (NED),16 OCT 2011,1211
6,2:22:09,,Ejegayehu DIBABA,21 MAR 1982,ETH,1,,"Chicago, IL (USA)",09 OCT 2011,1211
7,2:22:18,,Irina MIKITENKO,23 AUG 1972,GER,2,,Berlin (GER),25 SEP 2011,1210
8,2:22:34,,Lydia CHEROMEI,11 MAY 1977,KEN,1,,Praha (CZE),08 MAY 2011,1207
9,2:22:43,,Koren Jelila YAL,18 JAN 1987,ETH,1,,Toronto (CAN),16 OCT 2011,1206
10,2:22:45,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,1,,Dubai (UAE),21 JAN 2011,1205
11,2:22:55,,Prisca JEPTOO,24 JUN 1984,KEN,1,,Paris (FRA),10 APR 2011,1203
12,2:23:15,,Firehiwot Tesfaye DADO,09 JAN 1984,ETH,1,,"New York, NY (USA)",06 NOV 2011,1200
13,2:23:19,,Bizunesh DEBA,08 SEP 1987,ETH,2,,"New York, NY (USA)",06 NOV 2011,1199
14,2:23:25,,Mare DIBABA,20 OCT 1989,ETH,2,,Toronto (CAN),16 OCT 2011,1198
15,2:23:41,,Isabellah ANDERSSON,12 NOV 1980,SWE,3,,Dubai (UAE),21 JAN 2011,1196
16,2:23:42,,Bezunesh BEKELE,29 JAN 1983,ETH,3,,London (GBR),17 APR 2011,1196
17,2:23:46,,Paula RADCLIFFE,17 DEC 1973,GBR,3,,Berlin (GER),25 SEP 2011,1195
18,2:23:50,,Atsede BAYISA,16 APR 1987,ETH,4,,London (GBR),17 APR 2011,1194
19,2:23:54,,Agnes KIPROP,14 JAN 1980,KEN,2,,Frankfurt (GER),30 OCT 2011,1194
20,2:23:56,,Yoshimi OZAKI,01 JUL 1981,JPN,1,,Yokohama (JPN),20 FEB 2011,1193
21,2:24:09,,Yukiko AKABA,18 OCT 1979,JPN,5,,London (GBR),17 APR 2011,1191
21,2:24:09,,Kebebush Haile LEMA,13 APR 1986,ETH,1,,Shanghai (CHN),04 DEC 2011,1191
23,2:24:12,,Tirfi TSEGAYE,25 NOV 1984,ETH,2,,Shanghai (CHN),04 DEC 2011,1190
24,2:24:20,,Philes ONGORI,19 JUL 1986,KEN,1,,Rotterdam (NED),10 APR 2011,1189
25,2:24:21,,Filomena CHEPCHIRCHIR,01 DEC 1981,KEN,3,,Frankfurt (GER),30 OCT 2011,1189
26,2:24:25,,Atsede HABTAMU,26 OCT 1987,ETH,4,,Berlin (GER),25 SEP 2011,1188
27,2:24:27,,Hilde KIBET,27 MAR 1981,NED,2,,Rotterdam (NED),10 APR 2011,1188
28,2:24:29,,Remi NAKASATO,24 JUN 1988,JPN,2,,Yokohama (JPN),20 FEB 2011,1188
29,2:24:32,,Merima MOHAMMED,10 JUN 1992,ETH,4,,Frankfurt (GER),30 OCT 2011,1187
30,2:24:33,,Jessica AUGUSTO,08 NOV 1981,POR,7,,London (GBR),17 APR 2011,1187
30,2:24:33,,Georgina RONO,19 MAY 1980,KEN,1,,Eindhoven (NED),09 OCT 2011,1187
32,2:24:34,,Aberu KEBEDE,12 SEP 1986,ETH,8,,London (GBR),17 APR 2011,1187
33,2:24:38,,Kayoko FUKUSHI,25 MAR 1982,JPN,2,,"Chicago, IL (USA)",09 OCT 2011,1186
34,2:24:55,,Eyerusalem KUMA,07 SEP 1981,ETH,2,,Amsterdam (NED),16 OCT 2011,1183
35,2:25:01,,Tatyana PETROVA,08 APR 1983,RUS,5,,Berlin (GER),25 SEP 2011,1182
36,2:25:04,,Marisa BARROS,25 FEB 1980,POR,3,,Yokohama (JPN),20 FEB 2011,1182
37,2:25:09,,Shitaye BEDASO,1988,ETH,2,,Eindhoven (NED),09 OCT 2011,1181
38,2:25:20,,Boru Feyse TADESE,19 NOV 1988,ETH,3,,Eindhoven (NED),09 OCT 2011,1179
39,2:25:23,,Rael Nguriatukei KINYARA,04 APR 1984,KEN,4,,Eindhoven (NED),09 OCT 2011,1179
40,2:25:24,,Askale Magarsa TAFA,27 SEP 1984,ETH,9,,London (GBR),17 APR 2011,1178
41,2:25:29,,Azusa NOJIRI,06 JUN 1982,JPN,10,,London (GBR),17 APR 2011,1178
42,2:25:32,,Anna INCERTI,19 JAN 1980,ITA,6,,Berlin (GER),25 SEP 2011,1177
43,2:25:40,,Yoshiko FUJINAGA,15 AUG 1981,JPN,11,,London (GBR),17 APR 2011,1176
43,2:25:40,,Dulce FÉLIX,23 OCT 1982,POR,4,,"New York, NY (USA)",06 NOV 2011,1176
45,2:25:44,,Rita Jeptoo SITIENEI,15 FEB 1981,KEN,5,,Frankfurt (GER),30 OCT 2011,1175
46,2:25:46,,Kimberley SMITH,19 NOV 1981,NZL,5,,"New York, NY (USA)",06 NOV 2011,1175
47,2:25:52,,Lornah KIPLAGAT,01 MAY 1974,NED,3,,Amsterdam (NED),16 OCT 2011,1174
48,2:25:57,,Genet GETANEH,06 JAN 1986,ETH,4,,Amsterdam (NED),16 OCT 2011,1173
48,2:25:57,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,6,,"New York, NY (USA)",06 NOV 2011,1173
50,2:26:04,,Yeshi ESAYIAS,28 DEC 1985,ETH,2,,Daegu (KOR),10 APR 2011,1172
51,2:26:10,,Rosaria CONSOLE,17 DEC 1979,ITA,7,,Berlin (GER),25 SEP 2011,1171
52,2:26:12,,Jiali WANG,01 FEB 1986,CHN,1,,Dalian (CHN),30 APR 2011,1170
53,2:26:15,,Nadia EJJAFINI,08 NOV 1977,ITA,6,,Frankfurt (GER),30 OCT 2011,1170
54,2:26:17,,Belainesh Zemedkun GEBRE,23 DEC 1987,ETH,3,,"Chicago, IL (USA)",09 OCT 2011,1170
55,2:26:21,,Goitetom Haftu TESEMA,1987,ETH,2,,Roma (ITA),20 MAR 2011,1169
55,2:26:21,,Fate TOLA,22 OCT 1987,ETH,1,,Wien (AUT),17 APR 2011,1169
57,2:26:28,,Xiaolin ZHU,20 FEB 1984,CHN,12,,London (GBR),17 APR 2011,1168
58,2:26:32,,Ryoko KIZAKI,21 JUN 1985,JPN,1,,Yokohama (JPN),20 NOV 2011,1167
59,2:26:33,,Alemitu Abera BEGNA,1986,ETH,3,,Daegu (KOR),10 APR 2011,1167
59,2:26:33,,Valeria STRANEO,05 APR 1976,ITA,8,,Berlin (GER),25 SEP 2011,1167
61,2:26:41,,Jie WEI,25 JAN 1993,CHN,1,,Zhengzhou (CHN),27 MAR 2011,1166
61,2:26:41,,Christelle DAUNAY,05 DEC 1974,FRA,4,,"Chicago, IL (USA)",09 OCT 2011,1166
63,2:26:49,,Rong CHEN,18 MAY 1988,CHN,2,,Dalian (CHN),30 APR 2011,1164
64,2:26:51,,Robe GUTA,12 OCT 1986,ETH,1,,Seoul (KOR),20 MAR 2011,1164
65,2:26:52,,Melkam GIZAW,17 SEP 1990,ETH,6,,Eindhoven (NED),09 OCT 2011,1164
66,2:26:53,,Diana Chepkemoi SIGEI,1987,KEN,6,,Dubai (UAE),21 JAN 2011,1164
67,2:26:54,,Noriko MATSUOKA,02 MAY 1979,JPN,13,,London (GBR),17 APR 2011,1163
68,2:26:55,,Mai ITO,23 MAY 1984,JPN,2,,Osaka (JPN),30 JAN 2011,1163
69,2:26:56,,Lishan DULA,17 FEB 1987,BRN,3,,Rotterdam (NED),10 APR 2011,1163
70,2:26:58,,Kaoru NAGAO,26 SEP 1989,JPN,4,,Yokohama (JPN),20 FEB 2011,1163
71,2:27:00,,Alessandra AGUILAR,01 JUL 1978,ESP,4,,Rotterdam (NED),10 APR 2011,1162
72,2:27:02,,Madaí PÉREZ,02 FEB 1980,MEX,14,,London (GBR),17 APR 2011,1162
73,2:27:06,,Caroline ROTICH,13 MAY 1984,KEN,7,,"New York, NY (USA)",06 NOV 2011,1161
74,2:27:07,,Margarita PLAKSINA,01 OCT 1977,RUS,5,,Paris (FRA),10 APR 2011,1161
75,2:27:10,,Yuliya RUBAN,06 OCT 1983,UKR,1,,Torino (ITA),13 NOV 2011,1161
76,2:27:13,,Yanan WEI,06 DEC 1981,CHN,2,,Seoul (KOR),20 MAR 2011,1160
77,2:27:15,,Werknesh KIDANE,07 JAN 1981,ETH,8,,Dubai (UAE),21 JAN 2011,1160
78,2:27:16,,Karolina NADOLSKA,06 SEP 1981,POL,5,,Yokohama (JPN),20 FEB 2011,1160
79,2:27:17,,Peninah ARUSEI,23 FEB 1979,KEN,3,,Wien (AUT),17 APR 2011,1160
80,2:27:24,,Mara YAMAUCHI,13 AUG 1973,GBR,3,,Yokohama (JPN),20 NOV 2011,1158
81,2:27:26,,Chika HORIE,15 FEB 1981,JPN,3,,Osaka (JPN),30 JAN 2011,1158
82,2:27:34,,Bruktayit ESHETU,29 SEP 1990,ETH,8,,Frankfurt (GER),30 OCT 2011,1157
83,2:27:36,,Helena Loshanyang KIROP,09 SEP 1976,KEN,1,,Taipei City (TPE),18 DEC 2011,1156
84,2:27:46,,Makeda HARONA,05 SEP 1988,ETH,4,,Daegu (KOR),10 APR 2011,1155
85,2:27:47,,Ashu KASIM,20 OCT 1984,ETH,2,,"Houston, TX (USA)",30 JAN 2011,1155
86,2:27:51,,Silviya SKVORTSOVA,16 NOV 1974,RUS,3,,Toronto (CAN),16 OCT 2011,1154
87,2:27:55,,YuanYuan YIN,31 MAY 1991,CHN,3,,Dalian (CHN),30 APR 2011,1153
88,2:28:01,,Fatuma SADO,11 OCT 1991,ETH,2,,Istanbul (TUR),16 OCT 2011,1152
