Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:20:38,,Chunxiu ZHOU,15 NOV 1978,CHN,1,,London (GBR),22 APR 2007,1227
2,2:21:37,,Mizuki NOGUCHI,03 JUL 1978,JPN,1,,Tokyo (JPN),18 NOV 2007,1217
3,2:21:45,,Gete WAMI,11 DEC 1974,ETH,2,,London (GBR),22 APR 2007,1215
4,2:23:12,,Yanan WEI,06 DEC 1981,CHN,1,,Seoul (KOR),18 MAR 2007,1201
5,2:23:31,,Salina Jebet KOSGEI,16 NOV 1976,KEN,2,,Tokyo (JPN),18 NOV 2007,1197
6,2:23:48,,Yumiko HARA,09 JAN 1982,JPN,1,,Osaka (JPN),28 JAN 2007,1195
7,2:23:55,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,3,,London (GBR),22 APR 2007,1193
8,2:24:39,,Mari OZAKI,16 JUL 1975,JPN,2,,Osaka (JPN),28 JAN 2007,1186
9,2:24:43,,Yuri KANO,27 OCT 1978,JPN,3,,Osaka (JPN),28 JAN 2007,1185
10,2:24:46,,Lornah KIPLAGAT,01 MAY 1974,NED,5,,London (GBR),22 APR 2007,1185
11,2:24:51,,Irina MIKITENKO,23 AUG 1972,GER,2,,Berlin (GER),30 SEP 2007,1184
12,2:25:07,,Askale Magarsa TAFA,27 SEP 1984,ETH,1,,Paris (FRA),15 APR 2007,1181
13,2:25:08,,Souad AIT SALEM,06 JAN 1979,ALG,1,,Roma (ITA),18 MAR 2007,1181
14,2:25:36,,Pamela CHEPCHUMBA,08 MAR 1979,KEN,1,,Milano (ITA),02 DEC 2007,1176
15,2:25:41,,Mara YAMAUCHI,13 AUG 1973,GBR,6,,London (GBR),22 APR 2007,1176
16,2:26:02,,Yong-Ok JONG,24 JAN 1981,PRK,1,,Pyongyang (PRK),08 APR 2007,1172
17,2:26:08,,Xiaolin ZHU,20 FEB 1984,CHN,1,,Xiamen (CHN),31 MAR 2007,1171
18,2:26:27,,Helah Jelagat KIPROP,07 APR 1985,KEN,3,,Berlin (GER),30 SEP 2007,1168
19,2:26:37,,Hiromi OMINAMI,15 NOV 1975,JPN,1,,Rotterdam (NED),15 APR 2007,1166
20,2:26:46,,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,2,,Roma (ITA),18 MAR 2007,1165
21,2:26:52,,Dire TUNE,19 JUN 1985,ETH,1,,"Houston, TX (USA)",14 JAN 2007,1164
22,2:26:54,,Irina TIMOFEYEVA,05 APR 1970,RUS,4,,Berlin (GER),30 SEP 2007,1163
23,2:26:56,,Kum-Ok KIM,09 DEC 1988,PRK,2,,Pyongyang (PRK),08 APR 2007,1163
24,2:27:02,,Lenah CHERUIYOT,01 MAR 1973,KEN,1,,Venezia (ITA),28 OCT 2007,1162
25,2:27:05,,Rong CHEN,18 MAY 1988,CHN,1,,Beijing (CHN),21 OCT 2007,1162
26,2:27:20,,Yingying ZHANG,04 JAN 1990,CHN,2,,Beijing (CHN),21 OCT 2007,1159
