Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:18:11,,Gladys CHERONO,12 MAY 1983,KEN,1,,Berlin (GER),16 SEP 2018,1252
2,2:18:31,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,1,,London (GBR),22 APR 2018,1249
3,2:18:34,,Ruti AGA,16 JAN 1994,ETH,2,,Berlin (GER),16 SEP 2018,1248
4,2:18:35,,Brigid KOSGEI,20 FEB 1994,KEN,1,,"Chicago, IL (USA)",07 OCT 2018,1248
4,2:18:35,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,Istanbul (TUR),11 NOV 2018,1248
6,2:18:55,,Tirunesh DIBABA,01 OCT 1985,ETH,3,,Berlin (GER),16 SEP 2018,1244
7,2:19:17,,Roza DEREJE,09 MAY 1997,ETH,1,,Dubai (UAE),26 JAN 2018,1241
8,2:19:30,,Boru Feyse TADESE,19 NOV 1988,ETH,2,,Dubai (UAE),26 JAN 2018,1238
9,2:19:36,,Yebrgual MELESE,18 APR 1990,ETH,3,,Dubai (UAE),26 JAN 2018,1237
10,2:19:51,,Birhane DIBABA,11 SEP 1993,ETH,1,,Tokyo (JPN),25 FEB 2018,1235
11,2:19:53,,Worknesh DEGEFA,28 OCT 1990,ETH,4,,Dubai (UAE),26 JAN 2018,1234
12,2:20:13,,Haftamnesh TESFAYE,28 APR 1994,ETH,5,,Dubai (UAE),26 JAN 2018,1231
13,2:20:36,,Meskerem ASSEFA,03 OCT 1991,ETH,1,,Frankfurt (GER),28 OCT 2018,1227
14,2:20:45,,Gelete BURKA,23 JAN 1986,ETH,6,,Dubai (UAE),26 JAN 2018,1226
15,2:21:14,,Ashete BEKERE,17 APR 1988,ETH,1,,Valencia (ESP),02 DEC 2018,1221
16,2:21:18,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,4,,Berlin (GER),16 SEP 2018,1220
17,2:21:32,,Bedatu HIRPA,28 APR 1999,ETH,3,,Frankfurt (GER),28 OCT 2018,1218
18,2:21:38,,Valary JEMELI,08 JUN 1991,KEN,1,,Beijing (CHN),16 SEP 2018,1217
19,2:21:40,,Tadelech BEKELE,11 APR 1991,ETH,3,,London (GBR),22 APR 2018,1216
20,2:21:42,,Amy CRAGG,21 JAN 1984,USA,3,,Tokyo (JPN),25 FEB 2018,1216
21,2:21:45,,Dera DIDA,26 OCT 1996,ETH,7,,Dubai (UAE),26 JAN 2018,1215
