Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:15:55,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,,Tokyo (JPN),03 MAR 2024,1276
2,2:16:07,,Tigist KETEMA,15 SEP 1998,ETH,1,,Dubai (UAE),07 JAN 2024,1274
3,2:16:14,,Rosemary WANJIRU,09 DEC 1994,KEN,2,,Tokyo (JPN),03 MAR 2024,1272
4,2:16:16,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,London (GBR),21 APR 2024,1272
5,2:16:23,,Tigst ASSEFA,03 DEC 1996,ETH,2,,London (GBR),21 APR 2024,1271
6,2:16:24,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,3,,London (GBR),21 APR 2024,1271
7,2:16:34,,Megertu ALEMU,12 OCT 1997,ETH,4,,London (GBR),21 APR 2024,1269
8,2:16:58,,Amane Beriso SHANKULE,13 OCT 1991,ETH,3,,Tokyo (JPN),03 MAR 2024,1265
9,2:18:05,,Sifan HASSAN,01 JAN 1993,NED,4,,Tokyo (JPN),03 MAR 2024,1253
10,2:18:09,,Ruti AGA,16 JAN 1994,ETH,2,,Dubai (UAE),07 JAN 2024,1252
11,2:18:22,,Irine Chepet CHEPTAI,04 FEB 1992,KEN,1,,Hamburg (GER),28 APR 2024,1250
12,2:18:25,,Winfridah MOSETI,12 NOV 1996,KEN,2,,Hamburg (GER),28 APR 2024,1250
13,2:18:51,,Workenesh EDESA,11 SEP 1992,ETH,1,,Osaka (JPN),28 JAN 2024,1245
14,2:18:59,,Honami MAEDA,17 JUL 1996,JPN,2,,Osaka (JPN),28 JAN 2024,1244
15,2:19:02,,Brigid KOSGEI,20 FEB 1994,KEN,5,,London (GBR),21 APR 2024,1243
16,2:19:17,,Betsy SAINA,30 JUN 1988,USA,5,,Tokyo (JPN),03 MAR 2024,1241
17,2:19:29,,Dera DIDA,26 OCT 1996,ETH,3,,Dubai (UAE),07 JAN 2024,1239
18,2:19:30,,Ashete BEKERE,17 APR 1988,ETH,1,,Rotterdam (NED),14 APR 2024,1238
19,2:19:31,,Sheila CHEPKIRUI,27 DEC 1990,KEN,6,,London (GBR),21 APR 2024,1238
20,2:19:33,,Rahma TUSA,14 SEP 1993,ETH,1,,"Houston, TX (USA)",14 JAN 2024,1238
21,2:19:52,,Degitu AZIMERAW,24 JAN 1999,ETH,1,,Barcelona (ESP),10 MAR 2024,1235
22,2:19:55,,Vicoty CHEPNGENO,12 NOV 1993,KEN,2,,"Houston, TX (USA)",14 JAN 2024,1234
23,2:20:45,,Mestawut FIKIR,02 MAR 2000,ETH,1,,Paris (FRA),07 APR 2024,1226
24,2:20:48,,Enatnesh Alamrew TIRUSEW,1995,ETH,2,,Paris (FRA),07 APR 2024,1225
25,2:20:57,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,,Rotterdam (NED),14 APR 2024,1224
26,2:21:18,,Yuka ANDO,16 MAR 1994,JPN,1,,Nagoya (JPN),10 MAR 2024,1220
27,2:21:19,,Gotytom GEBRESLASE,15 JAN 1995,ETH,3,,Hamburg (GER),28 APR 2024,1220
28,2:21:25,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,,Nagoya (JPN),10 MAR 2024,1219
29,2:21:27,,Jackline SAKILU,28 DEC 1986,TAN,1,,Chongqing (CHN),24 MAR 2024,1218
30,2:21:32,,Fikrte WERETA,21 SEP 2000,ETH,1,,Seoul (KOR),17 MAR 2024,1218
30,2:21:32,,Angela TANUI,27 JUL 1992,KEN,2,,Daegu (KOR),07 APR 2024,1218
32,2:21:33,,Ayuko SUZUKI,08 OCT 1991,JPN,3,,Nagoya (JPN),10 MAR 2024,1217
33,2:21:35,,Shuko GENEMO,13 SEP 1995,ETH,2,,Barcelona (ESP),10 MAR 2024,1217
34,2:21:40,,Jackline CHERONO,25 JUN 1998,KEN,4,,Hamburg (GER),28 APR 2024,1216
35,2:21:46,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,3,,Paris (FRA),07 APR 2024,1215
36,2:21:47,,Melat Yisak KEJETA,27 SEP 1992,GER,4,,Dubai (UAE),07 JAN 2024,1215
37,2:21:50,,Hitomi NIIYA,26 FEB 1988,JPN,6,,Tokyo (JPN),03 MAR 2024,1215
38,2:21:53,,Amid Fozya JEMAL,11 SEP 1998,ETH,5,,Dubai (UAE),07 JAN 2024,1214
39,2:21:55,,Shitaye ESHETE,21 MAY 1990,BRN,6,,Dubai (UAE),07 JAN 2024,1214
40,2:22:10,,Fiona O'KEEFFE,24 MAY 1998,USA,1,,"Orlando, FL (USA)",03 FEB 2024,1211
41,2:22:11,,Rika KASEDA,02 MAR 1999,JPN,4,,Nagoya (JPN),10 MAR 2024,1211
41,2:22:11,,Evaline CHIRCHIR,02 FEB 1998,KEN,3,,Daegu (KOR),07 APR 2024,1211
43,2:22:13,,Azmera GEBRU,31 OCT 1995,ETH,1,,Sevilla (ESP),18 FEB 2024,1211
44,2:22:19,,Desi Jisa MOKONIN,12 JUL 1997,BRN,2,,Seoul (KOR),17 MAR 2024,1210
45,2:22:23,,Atalel ANMUT,15 DEC 1999,ETH,7,,Dubai (UAE),07 JAN 2024,1209
46,2:22:42,,Emily SISSON,12 OCT 1991,USA,2,,"Orlando, FL (USA)",03 FEB 2024,1206
47,2:22:46,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,3,,Rotterdam (NED),14 APR 2024,1205
48,2:22:51,,Magdalyne MASAI,21 NOV 1993,KEN,2,,Sevilla (ESP),18 FEB 2024,1204
49,2:22:52,,Visiline JEPKESHO,30 DEC 1989,KEN,3,,Seoul (KOR),17 MAR 2024,1204
50,2:22:54,,Bekelech GUDETA,11 OCT 1997,ETH,1,,Xiamen (CHN),07 JAN 2024,1204
51,2:22:58,,Meseret DINKE,22 SEP 1996,ETH,3,,Barcelona (ESP),10 MAR 2024,1203
52,2:23:07,,Mizuki MATSUDA,31 MAY 1995,JPN,3,,Osaka (JPN),28 JAN 2024,1201
53,2:23:08,,Meseret ABEBAYAHAU,28 JUN 1998,ETH,7,,Tokyo (JPN),03 MAR 2024,1201
54,2:23:18,,Derartu HAILU,08 MAY 2000,ETH,3,,Sevilla (ESP),18 FEB 2024,1200
