Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:18:37,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,,London (GBR),22 APR 2012,1248
2,2:18:58,,Tiki GELANA,22 OCT 1987,ETH,1,,Rotterdam (NED),15 APR 2012,1244
3,2:19:31,,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,1,,Dubai (UAE),27 JAN 2012,1238
4,2:19:34,,Lucy Kabuu WANGUI,24 MAR 1984,KEN,2,,Dubai (UAE),27 JAN 2012,1238
5,2:19:50,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,2,,London (GBR),22 APR 2012,1235
6,2:19:52,,Mare DIBABA,20 OCT 1989,ETH,3,,Dubai (UAE),27 JAN 2012,1235
7,2:20:14,,Prisca JEPTOO,24 JUN 1984,KEN,3,,London (GBR),22 APR 2012,1231
8,2:20:30,,Bezunesh BEKELE,29 JAN 1983,ETH,4,,Dubai (UAE),27 JAN 2012,1228
8,2:20:30,,Aberu KEBEDE,12 SEP 1986,ETH,1,,Berlin (GER),30 SEP 2012,1228
10,2:20:57,,Florence KIPLAGAT,27 FEB 1987,KEN,4,,London (GBR),22 APR 2012,1224
11,2:21:01,,Meselech MELKAMU,19 APR 1985,ETH,1,,Frankfurt (GER),28 OCT 2012,1223
12,2:21:09,,Meseret Hailu DEBELE,12 SEP 1990,ETH,1,,Amsterdam (NED),21 OCT 2012,1221
13,2:21:19,,Tirfi TSEGAYE,25 NOV 1984,ETH,2,,Berlin (GER),30 SEP 2012,1220
14,2:21:30,,Lydia CHEROMEI,11 MAY 1977,KEN,6,,Dubai (UAE),27 JAN 2012,1218
15,2:21:39,,Georgina RONO,19 MAY 1980,KEN,2,,Frankfurt (GER),28 OCT 2012,1216
16,2:21:41,,Eunice Jepkirui KIRWA,20 MAY 1984,KEN,2,,Amsterdam (NED),21 OCT 2012,1216
17,2:22:03,,Atsede BAYISA,16 APR 1987,ETH,1,,"Chicago, IL (USA)",07 OCT 2012,1212
18,2:22:04,,Rita Jeptoo SITIENEI,15 FEB 1981,KEN,2,,"Chicago, IL (USA)",07 OCT 2012,1212
19,2:22:39,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,7,,Dubai (UAE),27 JAN 2012,1206
20,2:22:41,,Jiali WANG,01 FEB 1986,CHN,1,,Chongqing (CHN),18 MAR 2012,1206
21,2:23:07,,Boru Feyse TADESE,19 NOV 1988,ETH,1,,Shanghai (CHN),02 DEC 2012,1201
22,2:23:09,,Ashu KASIM,20 OCT 1984,ETH,1,,Xiamen (CHN),07 JAN 2012,1201
23,2:23:14,,Alemitu Abera BEGNA,1986,ETH,1,,"Houston, TX (USA)",15 JAN 2012,1200
24,2:23:22,,Caroline ROTICH,13 MAY 1984,KEN,4,,"Chicago, IL (USA)",07 OCT 2012,1199
25,2:23:23,,Risa SHIGETOMO,29 AUG 1987,JPN,1,,Osaka (JPN),29 JAN 2012,1199
26,2:23:29,,Tatyana PETROVA,08 APR 1983,RUS,3,,"Olympic Stadium, London (GBR)",05 AUG 2012,1198
27,2:23:32,,Olena SHURHNO,08 JAN 1978,UKR,3,,Berlin (GER),30 SEP 2012,1197
28,2:23:42,,Chunxiu ZHOU,15 NOV 1978,CHN,2,,Chongqing (CHN),18 MAR 2012,1196
29,2:23:44,,Valeria STRANEO,05 APR 1976,ITA,2,,Rotterdam (NED),15 APR 2012,1195
30,2:23:52,,Albina MAYOROVA,16 MAY 1977,RUS,1,,Nagoya (JPN),11 MAR 2012,1194
30,2:23:52,,Mamitu DASKA,16 OCT 1983,ETH,3,,Frankfurt (GER),28 OCT 2012,1194
32,2:24:12,,Netsanet ACHAMO,14 DEC 1987,ETH,1,,Hamburg (GER),29 APR 2012,1190
33,2:24:14,,Yoshimi OZAKI,01 JUL 1981,JPN,2,,Nagoya (JPN),11 MAR 2012,1190
34,2:24:17,,Margaret AGAI,10 JUN 1988,KEN,3,,Shanghai (CHN),02 DEC 2012,1190
35,2:24:19,,Xiaolin ZHU,20 FEB 1984,CHN,3,,Chongqing (CHN),18 MAR 2012,1189
36,2:24:27,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,5,,Frankfurt (GER),28 OCT 2012,1188
37,2:24:28,,Remi NAKASATO,24 JUN 1988,JPN,3,,Nagoya (JPN),11 MAR 2012,1188
38,2:24:53,,Irina MIKITENKO,23 AUG 1972,GER,7,,London (GBR),22 APR 2012,1184
39,2:24:56,,Filomena CHEPCHIRCHIR,01 DEC 1981,KEN,4,,Berlin (GER),30 SEP 2012,1183
40,2:24:57,,Azusa NOJIRI,06 JUN 1982,JPN,2,,Osaka (JPN),29 JAN 2012,1183
41,2:24:59,,Jessica AUGUSTO,08 NOV 1981,POR,8,,London (GBR),22 APR 2012,1183
42,2:25:02,,Yoko SHIBUI,14 MAR 1979,JPN,4,,Nagoya (JPN),11 MAR 2012,1182
43,2:25:09,,Sultan HAYDAR,23 JUN 1987,TUR,2,,Paris (FRA),15 APR 2012,1181
44,2:25:14,,Fate TOLA,22 OCT 1987,ETH,5,,Berlin (GER),30 SEP 2012,1180
45,2:25:21,,Merima MOHAMMED,10 JUN 1992,ETH,4,,Shanghai (CHN),02 DEC 2012,1179
46,2:25:26,,Mai ITO,23 MAY 1984,JPN,5,,Nagoya (JPN),11 MAR 2012,1178
47,2:25:28,,Atsede HABTAMU,26 OCT 1987,ETH,1,,Tokyo (JPN),26 FEB 2012,1178
48,2:25:29,,Askale Magarsa TAFA,27 SEP 1984,ETH,2,,Seoul (KOR),18 MAR 2012,1178
49,2:25:33,,Mizuki NOGUCHI,03 JUL 1978,JPN,6,,Nagoya (JPN),11 MAR 2012,1177
50,2:25:34,,Helena Loshanyang KIROP,09 SEP 1976,KEN,1,,Köln (GER),14 OCT 2012,1177
51,2:25:38,,Shalane FLANAGAN,08 JUL 1981,USA,1,,"Houston, TX (USA)",14 JAN 2012,1176
51,2:25:38,,Genet GETANEH,06 JAN 1986,ETH,3,,Amsterdam (NED),21 OCT 2012,1176
53,2:25:41,,Isabellah ANDERSSON,12 NOV 1980,SWE,10,,Dubai (UAE),27 JAN 2012,1176
53,2:25:41,,Agnes KIPROP,14 JAN 1980,KEN,1,,Praha (CZE),13 MAY 2012,1176
55,2:25:45,,Mulu SEBOKA,25 SEP 1984,ETH,11,,Dubai (UAE),27 JAN 2012,1175
56,2:25:46,,Hilde KIBET,27 MAR 1981,NED,2,,Torino (ITA),18 NOV 2012,1175
57,2:25:49,,Etalemahu KIDANE,14 FEB 1983,ETH,2,,Hamburg (GER),29 APR 2012,1174
58,2:25:53,,Xueqin WANG,01 JAN 1991,CHN,4,,Chongqing (CHN),18 MAR 2012,1174
59,2:25:55,,Desiree DAVILA,26 JUL 1983,USA,2,,"Houston, TX (USA)",14 JAN 2012,1173
60,2:26:00,,Yeshi ESAYIAS,28 DEC 1985,ETH,2,,Tokyo (JPN),26 FEB 2012,1172
61,2:26:06,,Kara GOUCHER,09 JUL 1978,USA,3,,"Houston, TX (USA)",14 JAN 2012,1171
62,2:26:08,,Eri OKUBO,02 JUN 1983,JPN,4,,Tokyo (JPN),26 FEB 2012,1171
62,2:26:08,,Yukiko AKABA,18 OCT 1979,JPN,8,,Nagoya (JPN),11 MAR 2012,1171
64,2:26:09,,Helalia JOHANNES,13 AUG 1980,NAM,11,,"Olympic Stadium, London (GBR)",05 AUG 2012,1171
64,2:26:09,,Fatuma SADO,11 OCT 1991,ETH,5,,"Chicago, IL (USA)",07 OCT 2012,1171
66,2:26:13,,Marisa BARROS,25 FEB 1980,POR,12,,"Olympic Stadium, London (GBR)",05 AUG 2012,1170
67,2:26:23,,Yoko MIYAUCHI,19 JUN 1983,JPN,9,,Nagoya (JPN),11 MAR 2012,1169
