Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:19:57,,Rita Jeptoo SITIENEI,15 FEB 1981,KEN,1,,"Chicago, IL (USA)",13 OCT 2013,1234
2,2:20:15,,Prisca JEPTOO,24 JUN 1984,KEN,1,,London (GBR),21 APR 2013,1231
3,2:20:48,,Jemima Jelagat SUMGONG,21 DEC 1984,KEN,2,,"Chicago, IL (USA)",13 OCT 2013,1225
4,2:21:06,,Boru Feyse TADESE,19 NOV 1988,ETH,1,,Paris (FRA),07 APR 2013,1222
5,2:21:13,,Florence KIPLAGAT,27 FEB 1987,KEN,1,,Berlin (GER),29 SEP 2013,1221
6,2:21:32,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,2,,London (GBR),21 APR 2013,1218
7,2:22:28,,Sharon Jemutai CHEROP,16 MAR 1984,KEN,2,,Berlin (GER),29 SEP 2013,1208
8,2:22:34,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,1,,Frankfurt (GER),27 OCT 2013,1207
9,2:23:00,,Filomena CHEPCHIRCHIR,01 DEC 1981,KEN,2,,Frankfurt (GER),27 OCT 2013,1203
10,2:23:01,,Birhane DIBABA,11 SEP 1993,ETH,3,,Frankfurt (GER),27 OCT 2013,1202
11,2:23:02,,Valentine KIPKETER,05 JAN 1993,KEN,1,,Amsterdam (NED),20 OCT 2013,1202
12,2:23:14,,Merima MOHAMMED,10 JUN 1992,ETH,2,,Paris (FRA),07 APR 2013,1200
13,2:23:23,,Tirfi TSEGAYE,25 NOV 1984,ETH,1,,Dubai (UAE),25 JAN 2013,1199
13,2:23:23,,Mamitu DASKA,16 OCT 1983,ETH,4,,Frankfurt (GER),27 OCT 2013,1199
15,2:23:28,,Margaret AGAI,10 JUN 1988,KEN,1,,Daegu (KOR),14 APR 2013,1198
15,2:23:28,,Aberu KEBEDE,12 SEP 1986,ETH,1,,Shanghai (CHN),01 DEC 2013,1198
17,2:23:34,,Ryoko KIZAKI,21 JUN 1985,JPN,1,,Nagoya (JPN),10 MAR 2013,1197
17,2:23:34,,Eunice Jepkirui KIRWA,20 MAY 1984,KEN,3,,Paris (FRA),07 APR 2013,1197
19,2:23:39,,Kiros REDA,13 JAN 1988,ETH,2,,Dubai (UAE),25 JAN 2013,1196
20,2:23:43,,Mulu SEBOKA,25 SEP 1984,ETH,2,,Daegu (KOR),14 APR 2013,1195
21,2:23:50,,Amane GOBENA,11 SEP 1986,ETH,3,,Dubai (UAE),25 JAN 2013,1194
22,2:23:59,,Abebech AFEWORK,11 DEC 1990,ETH,2,,Rotterdam (NED),14 APR 2013,1193
23,2:24:03,,Agnes Jeruto BARSOSIO,05 AUG 1982,KEN,3,,Daegu (KOR),14 APR 2013,1192
24,2:24:05,,Mizuki NOGUCHI,03 JUL 1978,JPN,3,,Nagoya (JPN),10 MAR 2013,1192
25,2:24:06,,Yeshi ESAYIAS,28 DEC 1985,ETH,6,,Frankfurt (GER),27 OCT 2013,1191
26,2:24:21,,Kayoko FUKUSHI,25 MAR 1982,JPN,1,,Osaka (JPN),27 JAN 2013,1189
27,2:24:26,,Bizunesh DEBA,08 SEP 1987,ETH,2,,"Houston, TX (USA)",13 JAN 2013,1188
28,2:24:30,,Aheza KIROS,16 OCT 1985,ETH,4,,Dubai (UAE),25 JAN 2013,1187
29,2:24:34,,Philomena CHEYECH,05 JUL 1982,KEN,1,,Wien (AUT),14 APR 2013,1187
30,2:24:40,,Helena Loshanyang KIROP,09 SEP 1976,KEN,1,,Roma (ITA),17 MAR 2013,1186
31,2:24:43,,Yukiko AKABA,18 OCT 1979,JPN,3,,London (GBR),21 APR 2013,1185
32,2:24:54,,Irina MIKITENKO,23 AUG 1972,GER,3,,Berlin (GER),29 SEP 2013,1183
33,2:25:01,,Belaynesh OLJIRA,26 JUN 1990,ETH,5,,Dubai (UAE),25 JAN 2013,1182
34,2:25:09,,Dinknesh Mekash TEFERA,11 SEP 1985,ETH,4,,Paris (FRA),07 APR 2013,1181
35,2:25:14,,Atsede BAYISA,16 APR 1987,ETH,4,,London (GBR),21 APR 2013,1180
36,2:25:15,,Salomie Kassa GETNET,10 APR 1986,ETH,2,,Roma (ITA),17 MAR 2013,1180
37,2:25:17,,Meskerem ASSEFA,03 OCT 1991,ETH,3,,"Houston, TX (USA)",13 JAN 2013,1180
38,2:25:22,,Agnes KIPROP,14 JAN 1980,KEN,5,,Paris (FRA),07 APR 2013,1179
39,2:25:44,,Lisa Christina NEMEC,18 MAY 1984,CRO,1,,Zürich (SUI),07 APR 2013,1175
40,2:25:45,,Misikir DEMISSE,23 JUL 1986,ETH,2,,Ottawa (CAN),26 MAY 2013,1175
41,2:25:46,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,4,,Nagoya (JPN),10 MAR 2013,1175
41,2:25:46,,Meselech MELKAMU,19 APR 1985,ETH,5,,London (GBR),21 APR 2013,1175
43,2:25:47,,Shitaye BEDASO,1988,ETH,6,,Dubai (UAE),25 JAN 2013,1175
44,2:25:53,,Emebet ETAA BEDADA,11 JAN 1990,ETH,2,,Seoul (KOR),17 MAR 2013,1174
45,2:25:55,,Albina MAYOROVA,16 MAY 1977,RUS,1,,Yokohama (JPN),17 NOV 2013,1173
46,2:25:56,,Yuko WATANABE,03 NOV 1987,JPN,2,,Osaka (JPN),27 JAN 2013,1173
