Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:17:43,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,1,,London (GBR),03 OCT 2021,1257
2,2:17:57,,Angela TANUI,27 JUL 1992,KEN,1,,Amsterdam (NED),17 OCT 2021,1254
3,2:17:58,,Degitu AZIMERAW,24 JAN 1999,ETH,2,,London (GBR),03 OCT 2021,1254
4,2:18:18,,Ashete BEKERE,17 APR 1988,ETH,3,,London (GBR),03 OCT 2021,1251
5,2:18:40,,Brigid KOSGEI,20 FEB 1994,KEN,4,,London (GBR),03 OCT 2021,1247
6,2:18:54,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,5,,London (GBR),03 OCT 2021,1245
7,2:19:31,,Nancy JELAGAT,1986,KEN,1,,Valencia (ESP),05 DEC 2021,1238
8,2:19:35,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,1,,Milano (ITA),16 MAY 2021,1238
9,2:20:09,,Gotytom GEBRESLASE,15 JAN 1995,ETH,1,,Berlin (GER),26 SEP 2021,1232
10,2:20:14,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,1,,Praha (CZE),30 MAY 2021,1231
11,2:20:16,,Etagegne WOLDU,10 MAY 1996,ETH,2,,Valencia (ESP),05 DEC 2021,1231
12,2:20:18,,Maurine CHEPKEMOI,24 MAY 1998,KEN,2,,Amsterdam (NED),17 OCT 2021,1230
13,2:20:19,,Haven Hailu DESSE,10 SEP 1998,ETH,3,,Amsterdam (NED),17 OCT 2021,1230
14,2:20:35,,Valary JEMELI,08 JUN 1991,KEN,6,,London (GBR),03 OCT 2021,1227
15,2:21:11,,Mao ICHIYAMA,29 MAY 1997,JPN,1,,Osaka (JPN),31 JAN 2021,1221
16,2:21:22,,Gebeyanesh AYELE,01 MAY 1995,ETH,4,,Amsterdam (NED),17 OCT 2021,1219
17,2:21:23,,Joan Chelimo MELLY,10 NOV 1990,ROU,7,,London (GBR),03 OCT 2021,1219
18,2:21:40,,Zeineba YIMER,17 JUN 1998,ETH,8,,London (GBR),03 OCT 2021,1216
19,2:21:46,,Gutemi Shone IMANA,17 NOV 1991,ETH,2,,Praha (CZE),30 MAY 2021,1215
20,2:21:51,,Mizuki MATSUDA,31 MAY 1995,JPN,1,,Nagoya (JPN),14 MAR 2021,1214
21,2:22:08,,Stellah Jepngetich BARSOSIO,12 MAR 1993,KEN,1,,Rotterdam (NED),24 OCT 2021,1211
22,2:22:30,,Judith Jeptum KORIR,12 DEC 1995,KEN,1,,Abu Dhabi (UAE),26 NOV 2021,1208
23,2:22:31,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,,"Chicago, IL (USA)",10 OCT 2021,1208
24,2:22:39,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,"New York, NY (USA)",07 NOV 2021,1206
25,2:22:44,,Violah CHEPTOO,01 MAR 1989,KEN,2,,"New York, NY (USA)",07 NOV 2021,1205
26,2:22:45,,Tigist GIRMA,12 JUL 1993,ETH,9,,London (GBR),03 OCT 2021,1205
27,2:22:46,,Purity CHANGWONY,1990,KEN,2,,Siena (ITA),11 APR 2021,1205
28,2:22:52,,Ababel YESHANEH,22 JUL 1991,ETH,3,,"New York, NY (USA)",07 NOV 2021,1204
29,2:22:58,,Bedatu HIRPA,28 APR 1999,ETH,4,,Praha (CZE),30 MAY 2021,1203
30,2:23:04,,Beyenu DEGEFA,12 JUL 1999,ETH,3,,Valencia (ESP),05 DEC 2021,1202
31,2:23:05,,Helen BEKELE,21 NOV 1994,ETH,3,,Berlin (GER),26 SEP 2021,1202
32,2:23:10,,Eunice Chebichii CHUMBA,23 MAY 1993,BRN,2,,Milano (ITA),16 MAY 2021,1201
33,2:23:20,,Rahma TUSA,14 SEP 1993,ETH,4,,Valencia (ESP),05 DEC 2021,1199
34,2:23:26,,Charlotte PURDUE,10 JUN 1991,GBR,10,,London (GBR),03 OCT 2021,1198
35,2:23:30,,Honami MAEDA,17 JUL 1996,JPN,2,,Osaka (JPN),31 JAN 2021,1198
36,2:23:38,,Bethelhem MOGES,03 MAY 1991,ETH,3,,Milano (ITA),16 MAY 2021,1196
36,2:23:38,,Celestine CHEPCHIRCHIR,18 DEC 1995,KEN,1,,La Rochelle (FRA),28 NOV 2021,1196
38,2:23:45,,Risper CHEBET,06 JUN 1992,KEN,4,,Milano (ITA),16 MAY 2021,1195
39,2:23:53,,Tadu TESHOME,09 JUN 2001,ETH,1,,Barcelona (ESP),07 NOV 2021,1194
40,2:23:58,,Fionnuala MCCORMACK,24 SEP 1984,IRL,5,,Valencia (ESP),05 DEC 2021,1193
41,2:24:01,,Azmera GEBRU,31 OCT 1995,ETH,6,,Valencia (ESP),05 DEC 2021,1192
42,2:24:09,,Sisay Meseret GOLA,30 DEC 1997,ETH,2,,Barcelona (ESP),07 NOV 2021,1191
43,2:24:13,,Adanech ANBESA,23 JAN 1998,ETH,7,,Valencia (ESP),05 DEC 2021,1190
44,2:24:15,,Sheila JEROTICH,06 JUN 1989,KEN,1,,Istanbul (TUR),07 NOV 2021,1190
45,2:24:16,,Betty Wilson LEMPUS,09 JUL 1991,KEN,5,,Praha (CZE),30 MAY 2021,1190
46,2:24:20,,Antonina KWAMBAI,01 APR 1992,KEN,5,,Siena (ITA),11 APR 2021,1189
46,2:24:20,,Emma BATES,08 JUL 1992,USA,2,,"Chicago, IL (USA)",10 OCT 2021,1189
48,2:24:21,,Birhane DIBABA,11 SEP 1993,ETH,11,,London (GBR),03 OCT 2021,1189
48,2:24:21,,Jackline CHEPNGENO,16 JAN 1993,KEN,2,,Istanbul (TUR),07 NOV 2021,1189
50,2:24:23,,Tigist MEMUYE,26 OCT 1994,ETH,2,,Genève (SUI),02 MAY 2021,1189
51,2:24:24,,Lucy KARIMI,06 OCT 1986,KEN,3,,Genève (SUI),02 MAY 2021,1188
52,2:24:25,,Meseret BELETE,16 SEP 1999,ETH,3,,Barcelona (ESP),07 NOV 2021,1188
53,2:24:29,,Vibian CHEPKURUI,05 JUN 1994,KEN,1,,Wien (AUT),12 SEP 2021,1188
54,2:24:32,,Sayaka SATO,27 MAY 1994,JPN,2,,Nagoya (JPN),14 MAR 2021,1187
54,2:24:32,,Delvine Relin MERINGOR,01 AUG 1992,KEN,6,,Siena (ITA),11 APR 2021,1187
56,2:24:33,,Edith CHELIMO,16 JUL 1986,KEN,4,,Berlin (GER),26 SEP 2021,1187
57,2:24:35,,Ayantu KUMELA,14 MAY 1996,ETH,1,,Košice (SVK),03 OCT 2021,1187
58,2:24:41,,Yukari ABE,29 NOV 1991,JPN,3,,Osaka (JPN),31 JAN 2021,1186
59,2:24:42,,Maeregu HAYELOM,20 MAY 1999,ETH,2,,Košice (SVK),03 OCT 2021,1185
