Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
59,2:24:42,,Molly SEIDEL,12 JUL 1994,USA,4,,"New York, NY (USA)",07 NOV 2021,1185
61,2:24:43,,Shure DEMISE,21 JAN 1996,ETH,5,,Berlin (GER),26 SEP 2021,1185
62,2:24:45,,Ayantu ABDI,01 MAR 1992,ETH,3,,Istanbul (TUR),07 NOV 2021,1185
63,2:24:50,,Yenenesh TILAHUN DINKESA,22 SEP 1994,ETH,5,,Milano (ITA),16 MAY 2021,1184
63,2:24:50,,Tseginesh MEKONNIN,11 SEP 1992,ETH,1,,Málaga (ESP),12 DEC 2021,1184
65,2:24:51,,Bekelech GUDETA,11 OCT 1997,ETH,4,,Barcelona (ESP),07 NOV 2021,1184
66,2:24:52,,Mao UESUGI,16 AUG 1995,JPN,4,,Osaka (JPN),31 JAN 2021,1184
67,2:24:53,,Sentayehu LEWETEGN,09 MAY 1996,ETH,6,,Milano (ITA),16 MAY 2021,1184
68,2:24:54,,Dorcas Jepchirchir TUITOEK,31 JAN 1998,KEN,8,,Valencia (ESP),05 DEC 2021,1183
69,2:24:58,,Fancy CHEMUTAI,20 MAR 1995,KEN,6,,Berlin (GER),26 SEP 2021,1183
70,2:25:00,,Dinknesh Mekash TEFERA,11 SEP 1985,ETH,3,,Košice (SVK),03 OCT 2021,1182
71,2:25:02,,Yeneabeba EIGU,12 SEP 1999,ETH,2,,Málaga (ESP),12 DEC 2021,1182
72,2:25:07,,Bere AYALEW,12 SEP 1999,ETH,1,,Lisboa (POR),17 OCT 2021,1181
73,2:25:12,,Meseret DINKE,22 SEP 1996,ETH,9,,Valencia (ESP),05 DEC 2021,1180
74,2:25:15,,Jessica STENSON,15 AUG 1987,AUS,1,,Perth (AUS),17 OCT 2021,1180
75,2:25:20,,Giovanna EPIS,11 OCT 1988,ITA,10,,Valencia (ESP),05 DEC 2021,1179
75,2:25:20,,Beatrice CHEPTOO,01 JUN 1993,KEN,3,,Málaga (ESP),12 DEC 2021,1179
77,2:25:28,,Gerda STEYN,03 MAR 1990,RSA,8,,Siena (ITA),11 APR 2021,1178
78,2:25:32,,Aberash FAYESA,1995,ETH,2,,La Rochelle (FRA),28 NOV 2021,1177
79,2:25:37,,Bornes CHEPKIRUI,23 NOV 1986,KEN,11,,Valencia (ESP),05 DEC 2021,1176
80,2:25:38,,Gelete BURKA,23 JAN 1986,ETH,3,,Wien (AUT),12 SEP 2021,1176
81,2:25:44,,Lydia Naliaka SIMIYU,24 APR 1996,KEN,1,,Cape Town (RSA),17 OCT 2021,1175
82,2:25:59,,Katharina STEINRUCK,22 AUG 1989,GER,1,,Enschede (NED),18 APR 2021,1173
83,2:26:08,,Aleksandra LISOWSKA,12 DEC 1990,POL,1,,Debno (POL),18 APR 2021,1171
83,2:26:08,,Bojana BJELJAC,10 APR 1989,CRO,12,,Valencia (ESP),05 DEC 2021,1171
85,2:26:09,,Helalia JOHANNES,13 AUG 1980,NAM,5,,"New York, NY (USA)",07 NOV 2021,1171
86,2:26:10,,Kellyn TAYLOR,22 JUL 1986,USA,6,,"New York, NY (USA)",07 NOV 2021,1171
87,2:26:11,,Esther CHESANG,26 OCT 1994,KEN,5,,Barcelona (ESP),07 NOV 2021,1171
88,2:26:12,,Aynalem KASSAHUN,28 NOV 1993,ETH,3,,Cape Town (RSA),17 OCT 2021,1170
89,2:26:13,,Tigist ABAYECHEW,22 FEB 1994,ETH,6,,Praha (CZE),30 MAY 2021,1170
90,2:26:14,,Fabienne SCHLUMPF,17 NOV 1990,SUI,2,,Belp (SUI),03 APR 2021,1170
91,2:26:15,,Ayumi HAGIWARA,01 JUN 1992,JPN,5,,Osaka (JPN),31 JAN 2021,1170
92,2:26:18,,Annie FRISBIE,31 DEC 1996,USA,7,,"New York, NY (USA)",07 NOV 2021,1169
93,2:26:20,,Gadise MULU,14 NOV 1997,ETH,1,,Hamburg (GER),12 SEP 2021,1169
94,2:26:21,,Letebrhan Haylay GEBRESLASEA,29 OCT 1990,ETH,2,,Izmir (TUR),11 APR 2021,1169
94,2:26:21,,Fantu JIMMA,11 SEP 1987,ETH,3,,Paris (FRA),17 OCT 2021,1169
96,2:26:26,,Natsumi MATSUSHITA,22 JAN 1995,JPN,3,,Nagoya (JPN),14 MAR 2021,1168
97,2:26:30,,Mirai WAKU,01 JUL 1995,JPN,4,,Nagoya (JPN),14 MAR 2021,1167
98,2:26:32,,Caroline Cheptanui KILEL,21 MAR 1981,KEN,4,,Málaga (ESP),12 DEC 2021,1167
99,2:26:33,,Gladys Jepkurui BIWOTT,22 FEB 1985,KEN,9,,Siena (ITA),11 APR 2021,1167
100,2:26:34,,Nienke BRINKMAN,28 OCT 1993,NED,13,,Valencia (ESP),05 DEC 2021,1167
