Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:19:41,,Yoko SHIBUI,14 MAR 1979,JPN,1,,Berlin (GER),26 SEP 2004,1237
2,2:22:35,,Margaret OKAYO,30 MAY 1976,KEN,1,,London (GBR),18 APR 2004,1207
3,2:23:26,,Hiromi OMINAMI,15 NOV 1975,JPN,2,,Berlin (GER),26 SEP 2004,1198
4,2:23:28,,Chunxiu ZHOU,15 NOV 1978,CHN,1,,Xiamen (CHN),27 MAR 2004,1198
5,2:23:45,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,1,,"Chicago, IL (USA)",10 OCT 2004,1195
6,2:23:57,,Reiko TOSA,11 JUN 1976,JPN,1,,Nagoya (JPN),14 MAR 2004,1193
7,2:24:11,,Yingjie SUN,19 JAN 1979,CHN,1,,Beijing (CHN),17 OCT 2004,1191
8,2:24:32,,Salina Jebet KOSGEI,16 NOV 1976,KEN,1,,Paris (FRA),04 APR 2004,1187
9,2:24:33,,Nuţa OLARU,28 AUG 1970,ROU,2,,"Chicago, IL (USA)",10 OCT 2004,1187
10,2:24:47,,Megumi TANAKA-OSHIMA,04 SEP 1975,JPN,2,,Nagoya (JPN),14 MAR 2004,1185
11,2:25:01,,Svetlana ZAKHAROVA,15 SEP 1970,RUS,3,,"Chicago, IL (USA)",10 OCT 2004,1182
12,2:25:29,,Naoko SAKAMOTO,14 NOV 1980,JPN,1,,Osaka (JPN),25 JAN 2004,1178
13,2:26:02,,Lyudmila PETROVA,07 OCT 1968,RUS,2,,London (GBR),18 APR 2004,1172
14,2:26:05,,Asha GIGI,15 OCT 1973,ETH,2,,Paris (FRA),04 APR 2004,1172
15,2:26:10,,Zhor EL KAMCH,15 MAR 1973,MAR,1,,Rotterdam (NED),04 APR 2004,1171
16,2:26:17,,Eun-jung LEE,21 APR 1981,KOR,1,,Seoul (KOR),14 MAR 2004,1170
17,2:26:20,,Mizuki NOGUCHI,03 JUL 1978,JPN,1,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1169
18,2:26:21,,Joyce CHEPCHUMBA,06 NOV 1970,KEN,4,,"Chicago, IL (USA)",10 OCT 2004,1169
19,2:26:22,,Workenesh TOLA,06 JUN 1977,ETH,2,,Seoul (KOR),14 MAR 2004,1169
