Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score
1,2:17:16,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,Valencia (ESP),06 DEC 2020,1262
2,2:17:45,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,,Tokyo (JPN),01 MAR 2020,1257
3,2:18:35,,Birhane DIBABA,11 SEP 1993,ETH,2,,Tokyo (JPN),01 MAR 2020,1248
4,2:18:40,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,2,,Valencia (ESP),06 DEC 2020,1247
5,2:18:58,,Brigid KOSGEI,20 FEB 1994,KEN,1,,London (GBR),04 OCT 2020,1244
6,2:19:38,,Worknesh DEGEFA,28 OCT 1990,ETH,1,,Dubai (UAE),24 JAN 2020,1237
7,2:19:52,,Helalia JOHANNES,13 AUG 1980,NAM,3,,Valencia (ESP),06 DEC 2020,1235
8,2:19:54,,Zeineba YIMER,17 JUN 1998,ETH,4,,Valencia (ESP),06 DEC 2020,1234
9,2:19:56,,Degitu AZIMERAW,24 JAN 1999,ETH,5,,Valencia (ESP),06 DEC 2020,1234
9,2:19:56,,Tigist GIRMA,12 JUL 1993,ETH,6,,Valencia (ESP),06 DEC 2020,1234
11,2:20:05,,Ruti AGA,16 JAN 1994,ETH,7,,Valencia (ESP),06 DEC 2020,1232
12,2:20:11,,Gutemi Shone IMANA,17 NOV 1991,ETH,2,,Dubai (UAE),24 JAN 2020,1231
13,2:20:29,,Mao ICHIYAMA,29 MAY 1997,JPN,1,,Nagoya (JPN),08 MAR 2020,1228
14,2:20:30,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,3,,Tokyo (JPN),01 MAR 2020,1228
15,2:20:32,,Sara HALL,15 APR 1983,USA,1,,"Chandler, AZ (USA)",20 DEC 2020,1228
16,2:20:57,,Joan Chelimo MELLY,10 NOV 1990,KEN,8,,Valencia (ESP),06 DEC 2020,1224
17,2:21:42,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,4,,Tokyo (JPN),01 MAR 2020,1216
18,2:21:47,,Mizuki MATSUDA,31 MAY 1995,JPN,1,,Osaka (JPN),26 JAN 2020,1215
19,2:21:55,,Bedatu HIRPA,28 APR 1999,ETH,3,,Dubai (UAE),24 JAN 2020,1214
20,2:22:05,,Ruth CHEPNGETICH,08 AUG 1994,KEN,3,,London (GBR),04 OCT 2020,1212
21,2:22:06,,Diana Chemtai KIPYOKEI,05 MAY 1994,KEN,1,,Istanbul (TUR),08 NOV 2020,1212
22,2:22:40,,Mimi BELETE,09 JUN 1988,BRN,2,,Osaka (JPN),26 JAN 2020,1206
23,2:22:41,,Yuka ANDO,16 MAR 1994,JPN,2,,Nagoya (JPN),08 MAR 2020,1206
24,2:22:45,,Tigist ABAYECHEW,22 FEB 1994,ETH,4,,Dubai (UAE),24 JAN 2020,1205
25,2:22:51,,Ashete BEKERE,17 APR 1988,ETH,4,,London (GBR),04 OCT 2020,1204
26,2:22:52,,Dera DIDA,26 OCT 1996,ETH,5,,Dubai (UAE),24 JAN 2020,1204
27,2:22:56,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,3,,Nagoya (JPN),08 MAR 2020,1203
27,2:22:56,,Keira D'AMATO,21 OCT 1984,USA,2,,"Chandler, AZ (USA)",20 DEC 2020,1203
29,2:22:58,,Azmera GEBRU,31 OCT 1995,ETH,6,,Tokyo (JPN),01 MAR 2020,1203
30,2:23:03,,Sentayehu LEWETEGN,09 MAY 1996,ETH,3,,Osaka (JPN),26 JAN 2020,1202
31,2:23:13,,Juliet CHEKWEL,25 MAY 1990,UGA,1,,Sevilla (ESP),23 FEB 2020,1200
32,2:23:17,,Hirut TIBEBU,13 DEC 1994,ETH,4,,Nagoya (JPN),08 MAR 2020,1200
33,2:23:27,,Sayaka SATO,27 MAY 1994,JPN,5,,Nagoya (JPN),08 MAR 2020,1198
34,2:23:29,,Askale MERACHI,04 JAN 1987,ETH,1,,"Houston, TX (USA)",19 JAN 2020,1198
35,2:23:31,,Meskerem ASSEFA,03 OCT 1991,ETH,4,,Osaka (JPN),26 JAN 2020,1197
36,2:23:36,,Hawi FEYSA,01 FEB 1999,ETH,6,,Dubai (UAE),24 JAN 2020,1197
37,2:23:39,,Bontu BEKELE,11 SEP 1989,ETH,2,,Sevilla (ESP),23 FEB 2020,1196
38,2:23:49,,Sifan MELAKU,05 FEB 2000,ETH,3,,Sevilla (ESP),23 FEB 2020,1194
39,2:23:52,,Helen BEKELE,21 NOV 1994,ETH,6,,Nagoya (JPN),08 MAR 2020,1194
40,2:24:14,,Josephine CHEPKOECH,21 APR 1989,KEN,4,,Sevilla (ESP),23 FEB 2020,1190
41,2:24:23,,Megertu ALEMU,12 OCT 1997,ETH,5,,London (GBR),04 OCT 2020,1189
42,2:24:27,,Fancy CHEMUTAI,20 MAR 1995,KEN,10,,Valencia (ESP),06 DEC 2020,1188
43,2:24:30,,Purity CHANGWONY,1990,KEN,5,,Sevilla (ESP),23 FEB 2020,1187
43,2:24:30,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,2,,Istanbul (TUR),08 NOV 2020,1187
